result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size      194, 5462520 req, miss ratio 0.4013, byte miss ratio 0.4013
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size      584, 5462520 req, miss ratio 0.2495, byte miss ratio 0.2495
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size     1949, 5462520 req, miss ratio 0.1988, byte miss ratio 0.1988
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size     5847, 5462520 req, miss ratio 0.1783, byte miss ratio 0.1783
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size    19490, 5462520 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size    38981, 5462520 req, miss ratio 0.1369, byte miss ratio 0.1369
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size    77963, 5462520 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns9272.oracleGeneral.zst FIFO cache size   155927, 5462520 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size      194, 5462520 req, miss ratio 0.2723, byte miss ratio 0.2723
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size      584, 5462520 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size     1949, 5462520 req, miss ratio 0.1751, byte miss ratio 0.1751
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size     5847, 5462520 req, miss ratio 0.1626, byte miss ratio 0.1626
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size    19490, 5462520 req, miss ratio 0.1391, byte miss ratio 0.1391
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size    38981, 5462520 req, miss ratio 0.1125, byte miss ratio 0.1125
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size    77963, 5462520 req, miss ratio 0.0684, byte miss ratio 0.0684
result/tencentBlock.ns9272.oracleGeneral.zst LHD cache size   155927, 5462520 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencentBlock.ns9272.oracleGeneral.zst ARC cache size      194, 5462520 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns9272.oracleGeneral.zst ARC cache size      584, 5462520 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns9272.oracleGeneral.zst ARC cache size     1949, 5462520 req, miss ratio 0.1700, byte miss ratio 0.1700
result/tencentBlock.ns9272.oracleGeneral.zst ARC cache size     5847, 5462520 req, miss ratio 0.1552, byte miss ratio 0.1552
