result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size   138433, 113499024 req, miss ratio 0.0585, byte miss ratio 0.0585
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size   276867, 113499024 req, miss ratio 0.0372, byte miss ratio 0.0372
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size   553734, 113499024 req, miss ratio 0.0212, byte miss ratio 0.0212
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size  1107469, 113499024 req, miss ratio 0.0128, byte miss ratio 0.0128
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size     1384, 113499024 req, miss ratio 0.5613, byte miss ratio 0.5613
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size     4153, 113499024 req, miss ratio 0.3782, byte miss ratio 0.3782
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size    13843, 113499024 req, miss ratio 0.2118, byte miss ratio 0.2118
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size    41530, 113499024 req, miss ratio 0.1284, byte miss ratio 0.1284
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size   138433, 113499024 req, miss ratio 0.0588, byte miss ratio 0.0588
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size   276867, 113499024 req, miss ratio 0.0379, byte miss ratio 0.0379
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size   553734, 113499024 req, miss ratio 0.0219, byte miss ratio 0.0219
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size     1384, 113499024 req, miss ratio 0.5677, byte miss ratio 0.5677
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size     4153, 113499024 req, miss ratio 0.3857, byte miss ratio 0.3857
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size    13843, 113499024 req, miss ratio 0.2130, byte miss ratio 0.2130
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size    41530, 113499024 req, miss ratio 0.1211, byte miss ratio 0.1211
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size   138433, 113499024 req, miss ratio 0.0608, byte miss ratio 0.0608
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size   276867, 113499024 req, miss ratio 0.0395, byte miss ratio 0.0395
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size   553734, 113499024 req, miss ratio 0.0221, byte miss ratio 0.0221
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     1384, 113499024 req, miss ratio 0.5292, byte miss ratio 0.5292
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     4153, 113499024 req, miss ratio 0.3686, byte miss ratio 0.3686
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    13843, 113499024 req, miss ratio 0.2102, byte miss ratio 0.2102
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    41530, 113499024 req, miss ratio 0.1163, byte miss ratio 0.1163
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   138433, 113499024 req, miss ratio 0.0572, byte miss ratio 0.0572
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   276867, 113499024 req, miss ratio 0.0355, byte miss ratio 0.0355
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   553734, 113499024 req, miss ratio 0.0207, byte miss ratio 0.0207
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1107469, 113499024 req, miss ratio 0.0134, byte miss ratio 0.0134
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size     1384, 113499024 req, miss ratio 0.5440, byte miss ratio 0.5440
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size     4153, 113499024 req, miss ratio 0.3841, byte miss ratio 0.3841
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size    13843, 113499024 req, miss ratio 0.2272, byte miss ratio 0.2272
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size    41530, 113499024 req, miss ratio 0.1311, byte miss ratio 0.1311
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst ARC cache size   138433, 113499024 req, miss ratio 0.0625, byte miss ratio 0.0625
