result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size      712, 6722489 req, miss ratio 0.4831, byte miss ratio 0.4831
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size     2137, 6722489 req, miss ratio 0.3785, byte miss ratio 0.3785
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size     7125, 6722489 req, miss ratio 0.3097, byte miss ratio 0.3097
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size    21376, 6722489 req, miss ratio 0.2641, byte miss ratio 0.2641
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size    71254, 6722489 req, miss ratio 0.2190, byte miss ratio 0.2190
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size   142509, 6722489 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size   285018, 6722489 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns22752.oracleGeneral.zst LIRS cache size   570037, 6722489 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size      712, 6722489 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size     2137, 6722489 req, miss ratio 0.3960, byte miss ratio 0.3960
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size     7125, 6722489 req, miss ratio 0.3113, byte miss ratio 0.3113
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size    21376, 6722489 req, miss ratio 0.2792, byte miss ratio 0.2792
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size    71254, 6722489 req, miss ratio 0.2214, byte miss ratio 0.2214
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size   142509, 6722489 req, miss ratio 0.1771, byte miss ratio 0.1771
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size   285018, 6722489 req, miss ratio 0.1225, byte miss ratio 0.1225
result/tencentBlock.ns22752.oracleGeneral.zst LeCaR cache size   570037, 6722489 req, miss ratio 0.1065, byte miss ratio 0.1065
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size      712, 6722489 req, miss ratio 0.4818, byte miss ratio 0.4818
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size     2137, 6722489 req, miss ratio 0.3984, byte miss ratio 0.3984
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size     7125, 6722489 req, miss ratio 0.3180, byte miss ratio 0.3180
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size    21376, 6722489 req, miss ratio 0.2827, byte miss ratio 0.2827
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size    71254, 6722489 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size   142509, 6722489 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size   285018, 6722489 req, miss ratio 0.1276, byte miss ratio 0.1276
result/tencentBlock.ns22752.oracleGeneral.zst Clock cache size   570037, 6722489 req, miss ratio 0.1067, byte miss ratio 0.1067
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size      712, 6722489 req, miss ratio 0.4668, byte miss ratio 0.4668
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size     2137, 6722489 req, miss ratio 0.3749, byte miss ratio 0.3749
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size     7125, 6722489 req, miss ratio 0.3022, byte miss ratio 0.3022
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size    21376, 6722489 req, miss ratio 0.2679, byte miss ratio 0.2679
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size    71254, 6722489 req, miss ratio 0.2201, byte miss ratio 0.2201
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size   142509, 6722489 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size   285018, 6722489 req, miss ratio 0.1285, byte miss ratio 0.1285
result/tencentBlock.ns22752.oracleGeneral.zst Cacheus cache size   570037, 6722489 req, miss ratio 0.1067, byte miss ratio 0.1067
result/tencentBlock.ns22752.oracleGeneral.zst S3FIFO-1 cache size      712, 6722489 req, miss ratio 0.4719, byte miss ratio 0.4719
result/tencentBlock.ns22752.oracleGeneral.zst S3FIFO-1 cache size     2137, 6722489 req, miss ratio 0.3496, byte miss ratio 0.3496
result/tencentBlock.ns22752.oracleGeneral.zst S3FIFO-1 cache size     7125, 6722489 req, miss ratio 0.2975, byte miss ratio 0.2975
result/tencentBlock.ns22752.oracleGeneral.zst S3FIFO-1 cache size    21376, 6722489 req, miss ratio 0.2622, byte miss ratio 0.2622
result/tencentBlock.ns22752.oracleGeneral.zst S3FIFO-1 cache size    71254, 6722489 req, miss ratio 0.2198, byte miss ratio 0.2198
