result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size      329, 3170945 req, miss ratio 0.6067, byte miss ratio 0.6067
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size      988, 3170945 req, miss ratio 0.5728, byte miss ratio 0.5728
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size     3294, 3170945 req, miss ratio 0.5270, byte miss ratio 0.5270
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size     9882, 3170945 req, miss ratio 0.4842, byte miss ratio 0.4842
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size    32942, 3170945 req, miss ratio 0.3835, byte miss ratio 0.3835
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size    65884, 3170945 req, miss ratio 0.2807, byte miss ratio 0.2807
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size   131768, 3170945 req, miss ratio 0.1503, byte miss ratio 0.1503
result/tencentBlock.ns20465.oracleGeneral.zst LHD cache size   263536, 3170945 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size      329, 3170945 req, miss ratio 0.5901, byte miss ratio 0.5901
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size      988, 3170945 req, miss ratio 0.5607, byte miss ratio 0.5607
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size     3294, 3170945 req, miss ratio 0.5010, byte miss ratio 0.5010
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size     9882, 3170945 req, miss ratio 0.4808, byte miss ratio 0.4808
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size    32942, 3170945 req, miss ratio 0.3663, byte miss ratio 0.3663
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size    65884, 3170945 req, miss ratio 0.2962, byte miss ratio 0.2962
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size   131768, 3170945 req, miss ratio 0.1517, byte miss ratio 0.1517
result/tencentBlock.ns20465.oracleGeneral.zst ARC cache size   263536, 3170945 req, miss ratio 0.1044, byte miss ratio 0.1044
