result/io_traces.ns372.oracleGeneral.zst ARC cache size    29257, 18400000 req, miss ratio 0.2676, byte miss ratio 0.2676
result/io_traces.ns372.oracleGeneral.zst ARC cache size    97523, 18400000 req, miss ratio 0.0744, byte miss ratio 0.0744
result/io_traces.ns372.oracleGeneral.zst ARC cache size   195047, 18400000 req, miss ratio 0.0704, byte miss ratio 0.0704
result/io_traces.ns372.oracleGeneral.zst ARC cache size   390094, 18400000 req, miss ratio 0.0599, byte miss ratio 0.0599
result/io_traces.ns372.oracleGeneral.zst ARC cache size   780188, 18400000 req, miss ratio 0.0537, byte miss ratio 0.0537
result/io_traces.ns372.oracleGeneral.zst Clock cache size      975, 18400000 req, miss ratio 0.6514, byte miss ratio 0.6514
result/io_traces.ns372.oracleGeneral.zst Clock cache size     2925, 18400000 req, miss ratio 0.6258, byte miss ratio 0.6258
result/io_traces.ns372.oracleGeneral.zst Clock cache size     9752, 18400000 req, miss ratio 0.5870, byte miss ratio 0.5870
result/io_traces.ns372.oracleGeneral.zst Clock cache size    29257, 18400000 req, miss ratio 0.3044, byte miss ratio 0.3044
result/io_traces.ns372.oracleGeneral.zst Clock cache size    97523, 18400000 req, miss ratio 0.0765, byte miss ratio 0.0765
result/io_traces.ns372.oracleGeneral.zst Clock cache size   195047, 18400000 req, miss ratio 0.0701, byte miss ratio 0.0701
result/io_traces.ns372.oracleGeneral.zst Clock cache size   390094, 18400000 req, miss ratio 0.0598, byte miss ratio 0.0598
result/io_traces.ns372.oracleGeneral.zst Clock cache size   780188, 18400000 req, miss ratio 0.0537, byte miss ratio 0.0537
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size      975, 18400000 req, miss ratio 0.6390, byte miss ratio 0.6390
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size     2925, 18400000 req, miss ratio 0.5923, byte miss ratio 0.5923
result/io_traces.ns372.oracleGeneral.zst Cacheus cache size     9752, 18400000 req, miss ratio 0.5327, byte miss ratio 0.5327
