result/passbird_cache.1.oracleGeneral.sample10.zst LIRS cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size     6023, 496711804 req, miss ratio 0.0801, byte miss ratio 0.0801
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size    18069, 496711804 req, miss ratio 0.0453, byte miss ratio 0.0453
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size    60230, 496711804 req, miss ratio 0.0318, byte miss ratio 0.0318
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size   180690, 496711804 req, miss ratio 0.0254, byte miss ratio 0.0254
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size   602302, 496711804 req, miss ratio 0.0178, byte miss ratio 0.0178
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1204605, 496711804 req, miss ratio 0.0146, byte miss ratio 0.0146
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size  2409211, 496711804 req, miss ratio 0.0124, byte miss ratio 0.0124
result/passbird_cache.1.oracleGeneral.sample10.zst LeCaR cache size  4818422, 496711804 req, miss ratio 0.0121, byte miss ratio 0.0121
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size     6023, 496711804 req, miss ratio 0.0828, byte miss ratio 0.0828
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size    18069, 496711804 req, miss ratio 0.0473, byte miss ratio 0.0473
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size    60230, 496711804 req, miss ratio 0.0342, byte miss ratio 0.0342
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size   180690, 496711804 req, miss ratio 0.0268, byte miss ratio 0.0268
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size   602302, 496711804 req, miss ratio 0.0184, byte miss ratio 0.0184
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size  1204605, 496711804 req, miss ratio 0.0152, byte miss ratio 0.0152
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size  2409211, 496711804 req, miss ratio 0.0124, byte miss ratio 0.0124
result/passbird_cache.1.oracleGeneral.sample10.zst ARC cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     6023, 496711804 req, miss ratio 0.0826, byte miss ratio 0.0826
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    18069, 496711804 req, miss ratio 0.0476, byte miss ratio 0.0476
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    60230, 496711804 req, miss ratio 0.0312, byte miss ratio 0.0312
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   180690, 496711804 req, miss ratio 0.0245, byte miss ratio 0.0245
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   602302, 496711804 req, miss ratio 0.0171, byte miss ratio 0.0171
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1204605, 496711804 req, miss ratio 0.0145, byte miss ratio 0.0145
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  2409211, 496711804 req, miss ratio 0.0125, byte miss ratio 0.0125
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size     6023, 496711804 req, miss ratio 0.0897, byte miss ratio 0.0897
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size    18069, 496711804 req, miss ratio 0.0472, byte miss ratio 0.0472
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size    60230, 496711804 req, miss ratio 0.0318, byte miss ratio 0.0318
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size   180690, 496711804 req, miss ratio 0.0254, byte miss ratio 0.0254
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size   602302, 496711804 req, miss ratio 0.0185, byte miss ratio 0.0185
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size  1204605, 496711804 req, miss ratio 0.0153, byte miss ratio 0.0153
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size  2409211, 496711804 req, miss ratio 0.0129, byte miss ratio 0.0129
result/passbird_cache.1.oracleGeneral.sample10.zst clock2 cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     6023, 496711804 req, miss ratio 0.0834, byte miss ratio 0.0834
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    18069, 496711804 req, miss ratio 0.0458, byte miss ratio 0.0458
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    60230, 496711804 req, miss ratio 0.0312, byte miss ratio 0.0312
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   180690, 496711804 req, miss ratio 0.0245, byte miss ratio 0.0245
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   602302, 496711804 req, miss ratio 0.0171, byte miss ratio 0.0171
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1204605, 496711804 req, miss ratio 0.0148, byte miss ratio 0.0148
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2409211, 496711804 req, miss ratio 0.0125, byte miss ratio 0.0125
result/passbird_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size     6023, 496711804 req, miss ratio 0.0793, byte miss ratio 0.0793
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size    18069, 496711804 req, miss ratio 0.0484, byte miss ratio 0.0484
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size    60230, 496711804 req, miss ratio 0.0349, byte miss ratio 0.0349
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size   180690, 496711804 req, miss ratio 0.0228, byte miss ratio 0.0228
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size   602302, 496711804 req, miss ratio 0.0171, byte miss ratio 0.0171
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size  1204605, 496711804 req, miss ratio 0.0164, byte miss ratio 0.0164
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size  2409211, 496711804 req, miss ratio 0.0124, byte miss ratio 0.0124
result/passbird_cache.1.oracleGeneral.sample10.zst LRB cache size  4818422, 496711804 req, miss ratio 0.0121, byte miss ratio 0.0121
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6023, 496711804 req, miss ratio 0.0977, byte miss ratio 0.0977
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    18069, 496711804 req, miss ratio 0.0569, byte miss ratio 0.0569
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    60230, 496711804 req, miss ratio 0.0349, byte miss ratio 0.0349
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   180690, 496711804 req, miss ratio 0.0262, byte miss ratio 0.0262
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   602302, 496711804 req, miss ratio 0.0206, byte miss ratio 0.0206
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1204605, 496711804 req, miss ratio 0.0175, byte miss ratio 0.0175
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2409211, 496711804 req, miss ratio 0.0138, byte miss ratio 0.0138
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4818422, 496711804 req, miss ratio 0.0126, byte miss ratio 0.0126
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size     6023, 496711804 req, miss ratio 0.0831, byte miss ratio 0.0831
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size    18069, 496711804 req, miss ratio 0.0488, byte miss ratio 0.0488
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size    60230, 496711804 req, miss ratio 0.0332, byte miss ratio 0.0332
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size   180690, 496711804 req, miss ratio 0.0244, byte miss ratio 0.0244
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size   602302, 496711804 req, miss ratio 0.0171, byte miss ratio 0.0171
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1204605, 496711804 req, miss ratio 0.0141, byte miss ratio 0.0141
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size  2409211, 496711804 req, miss ratio 0.0135, byte miss ratio 0.0135
result/passbird_cache.1.oracleGeneral.sample10.zst TwoQ cache size  4818422, 496711804 req, miss ratio 0.0129, byte miss ratio 0.0129
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size     6023, 496711804 req, miss ratio 0.0955, byte miss ratio 0.0955
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size    18069, 496711804 req, miss ratio 0.0519, byte miss ratio 0.0519
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size    60230, 496711804 req, miss ratio 0.0400, byte miss ratio 0.0400
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size   180690, 496711804 req, miss ratio 0.0331, byte miss ratio 0.0331
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size   602302, 496711804 req, miss ratio 0.0257, byte miss ratio 0.0257
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1204605, 496711804 req, miss ratio 0.0220, byte miss ratio 0.0220
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size  2409211, 496711804 req, miss ratio 0.0209, byte miss ratio 0.0209
result/passbird_cache.1.oracleGeneral.sample10.zst B-LRU cache size  4818422, 496711804 req, miss ratio 0.0209, byte miss ratio 0.0209
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6023, 496711804 req, miss ratio 0.0839, byte miss ratio 0.0839
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    18069, 496711804 req, miss ratio 0.0465, byte miss ratio 0.0465
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    60230, 496711804 req, miss ratio 0.0315, byte miss ratio 0.0315
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   180690, 496711804 req, miss ratio 0.0251, byte miss ratio 0.0251
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   602302, 496711804 req, miss ratio 0.0178, byte miss ratio 0.0178
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1204605, 496711804 req, miss ratio 0.0150, byte miss ratio 0.0150
result/passbird_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2409211, 496711804 req, miss ratio 0.0126, byte miss ratio 0.0126
