result/cdn2_colo28.ns172.oracleGeneral.zst Clock cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size    30810, 31583756 req, miss ratio 0.9813, byte miss ratio 0.9813
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size    92430, 31583756 req, miss ratio 0.9806, byte miss ratio 0.9806
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size   308102, 31583756 req, miss ratio 0.9799, byte miss ratio 0.9799
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size   924306, 31583756 req, miss ratio 0.9793, byte miss ratio 0.9793
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size  3081021, 31583756 req, miss ratio 0.9782, byte miss ratio 0.9782
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size  6162043, 31583756 req, miss ratio 0.9772, byte miss ratio 0.9772
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size 12324087, 31583756 req, miss ratio 0.9761, byte miss ratio 0.9761
result/cdn2_colo28.ns172.oracleGeneral.zst clock2 cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size    30810, 31583756 req, miss ratio 0.9800, byte miss ratio 0.9800
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size    92430, 31583756 req, miss ratio 0.9796, byte miss ratio 0.9796
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size   308102, 31583756 req, miss ratio 0.9792, byte miss ratio 0.9792
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size   924306, 31583756 req, miss ratio 0.9787, byte miss ratio 0.9787
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size  3081021, 31583756 req, miss ratio 0.9777, byte miss ratio 0.9777
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size  6162043, 31583756 req, miss ratio 0.9769, byte miss ratio 0.9769
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size 12324087, 31583756 req, miss ratio 0.9761, byte miss ratio 0.9761
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-1 cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size    30810, 31583756 req, miss ratio 0.9817, byte miss ratio 0.9817
result/cdn2_colo28.ns172.oracleGeneral.zst LeCaR cache size    92430, 31583756 req, miss ratio 0.9808, byte miss ratio 0.9808
