result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size      262, 2985091 req, miss ratio 0.5020, byte miss ratio 0.5020
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size      788, 2985091 req, miss ratio 0.3662, byte miss ratio 0.3662
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size     2629, 2985091 req, miss ratio 0.2313, byte miss ratio 0.2313
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size     7888, 2985091 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size    26294, 2985091 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size    52588, 2985091 req, miss ratio 0.1261, byte miss ratio 0.1261
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size   105176, 2985091 req, miss ratio 0.0955, byte miss ratio 0.0955
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-1 cache size   210353, 2985091 req, miss ratio 0.0881, byte miss ratio 0.0881
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size      262, 2985091 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size      788, 2985091 req, miss ratio 0.4027, byte miss ratio 0.4027
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size     2629, 2985091 req, miss ratio 0.2351, byte miss ratio 0.2351
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size     7888, 2985091 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size    26294, 2985091 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size    52588, 2985091 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size   105176, 2985091 req, miss ratio 0.0923, byte miss ratio 0.0923
result/tencentBlock.ns15563.oracleGeneral.zst LeCaR cache size   210353, 2985091 req, miss ratio 0.0881, byte miss ratio 0.0881
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size      262, 2985091 req, miss ratio 0.5394, byte miss ratio 0.5394
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size      788, 2985091 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size     2629, 2985091 req, miss ratio 0.2577, byte miss ratio 0.2577
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size     7888, 2985091 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size    26294, 2985091 req, miss ratio 0.1502, byte miss ratio 0.1502
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size    52588, 2985091 req, miss ratio 0.1153, byte miss ratio 0.1153
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size   105176, 2985091 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns15563.oracleGeneral.zst LRU cache size   210353, 2985091 req, miss ratio 0.0881, byte miss ratio 0.0881
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size      262, 2985091 req, miss ratio 0.6243, byte miss ratio 0.6243
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size      788, 2985091 req, miss ratio 0.4520, byte miss ratio 0.4520
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size     2629, 2985091 req, miss ratio 0.3095, byte miss ratio 0.3095
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size     7888, 2985091 req, miss ratio 0.2359, byte miss ratio 0.2359
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size    26294, 2985091 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size    52588, 2985091 req, miss ratio 0.1248, byte miss ratio 0.1248
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size   105176, 2985091 req, miss ratio 0.1038, byte miss ratio 0.1038
result/tencentBlock.ns15563.oracleGeneral.zst FIFO cache size   210353, 2985091 req, miss ratio 0.0941, byte miss ratio 0.0941
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size      262, 2985091 req, miss ratio 0.5042, byte miss ratio 0.5042
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size      788, 2985091 req, miss ratio 0.3840, byte miss ratio 0.3840
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size     2629, 2985091 req, miss ratio 0.2459, byte miss ratio 0.2459
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size     7888, 2985091 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size    26294, 2985091 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size    52588, 2985091 req, miss ratio 0.1318, byte miss ratio 0.1318
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size   105176, 2985091 req, miss ratio 0.1030, byte miss ratio 0.1030
result/tencentBlock.ns15563.oracleGeneral.zst LIRS cache size   210353, 2985091 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size      262, 2985091 req, miss ratio 0.5303, byte miss ratio 0.5303
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size      788, 2985091 req, miss ratio 0.4027, byte miss ratio 0.4027
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size     2629, 2985091 req, miss ratio 0.2348, byte miss ratio 0.2348
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size     7888, 2985091 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size    26294, 2985091 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size    52588, 2985091 req, miss ratio 0.1276, byte miss ratio 0.1276
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size   105176, 2985091 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns15563.oracleGeneral.zst clock2 cache size   210353, 2985091 req, miss ratio 0.0881, byte miss ratio 0.0881
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size      262, 2985091 req, miss ratio 0.5291, byte miss ratio 0.5291
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size      788, 2985091 req, miss ratio 0.4016, byte miss ratio 0.4016
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size     2629, 2985091 req, miss ratio 0.2494, byte miss ratio 0.2494
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size     7888, 2985091 req, miss ratio 0.2095, byte miss ratio 0.2095
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size    26294, 2985091 req, miss ratio 0.1534, byte miss ratio 0.1534
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size    52588, 2985091 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size   105176, 2985091 req, miss ratio 0.0957, byte miss ratio 0.0957
result/tencentBlock.ns15563.oracleGeneral.zst Clock cache size   210353, 2985091 req, miss ratio 0.0881, byte miss ratio 0.0881
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size      262, 2985091 req, miss ratio 0.4980, byte miss ratio 0.4980
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size      788, 2985091 req, miss ratio 0.4004, byte miss ratio 0.4004
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size     2629, 2985091 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size     7888, 2985091 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size    26294, 2985091 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size    52588, 2985091 req, miss ratio 0.1138, byte miss ratio 0.1138
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size   105176, 2985091 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns15563.oracleGeneral.zst LHD cache size   210353, 2985091 req, miss ratio 0.0883, byte miss ratio 0.0883
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size      262, 2985091 req, miss ratio 0.4855, byte miss ratio 0.4855
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size      788, 2985091 req, miss ratio 0.3748, byte miss ratio 0.3748
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size     2629, 2985091 req, miss ratio 0.2293, byte miss ratio 0.2293
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size     7888, 2985091 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size    26294, 2985091 req, miss ratio 0.1514, byte miss ratio 0.1514
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size    52588, 2985091 req, miss ratio 0.1219, byte miss ratio 0.1219
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size   105176, 2985091 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns15563.oracleGeneral.zst ARC cache size   210353, 2985091 req, miss ratio 0.0881, byte miss ratio 0.0881
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size      262, 2985091 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size      788, 2985091 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size     2629, 2985091 req, miss ratio 0.2345, byte miss ratio 0.2345
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size     7888, 2985091 req, miss ratio 0.2090, byte miss ratio 0.2090
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size    26294, 2985091 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size    52588, 2985091 req, miss ratio 0.1253, byte miss ratio 0.1253
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size   105176, 2985091 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns15563.oracleGeneral.zst Cacheus cache size   210353, 2985091 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-d-1 cache size      262, 2985091 req, miss ratio 0.4888, byte miss ratio 0.4888
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-d-1 cache size      788, 2985091 req, miss ratio 0.3669, byte miss ratio 0.3669
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-d-1 cache size     2629, 2985091 req, miss ratio 0.2312, byte miss ratio 0.2312
result/tencentBlock.ns15563.oracleGeneral.zst S3FIFO-d-1 cache size     7888, 2985091 req, miss ratio 0.2048, byte miss ratio 0.2048
