result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size      212, 1848320 req, miss ratio 0.4948, byte miss ratio 0.4948
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size      636, 1848320 req, miss ratio 0.4690, byte miss ratio 0.4690
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size     2122, 1848320 req, miss ratio 0.4285, byte miss ratio 0.4285
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size     6367, 1848320 req, miss ratio 0.3667, byte miss ratio 0.3667
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size    21225, 1848320 req, miss ratio 0.3477, byte miss ratio 0.3477
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size    42451, 1848320 req, miss ratio 0.2763, byte miss ratio 0.2763
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size    84903, 1848320 req, miss ratio 0.1541, byte miss ratio 0.1541
result/tencentBlock.ns14703.oracleGeneral.zst LeCaR cache size   169806, 1848320 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size      212, 1848320 req, miss ratio 0.5133, byte miss ratio 0.5133
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size      636, 1848320 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size     2122, 1848320 req, miss ratio 0.3895, byte miss ratio 0.3895
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size     6367, 1848320 req, miss ratio 0.3607, byte miss ratio 0.3607
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size    21225, 1848320 req, miss ratio 0.3072, byte miss ratio 0.3072
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size    42451, 1848320 req, miss ratio 0.2466, byte miss ratio 0.2466
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size    84903, 1848320 req, miss ratio 0.1545, byte miss ratio 0.1545
result/tencentBlock.ns14703.oracleGeneral.zst LIRS cache size   169806, 1848320 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size      212, 1848320 req, miss ratio 0.4867, byte miss ratio 0.4867
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size      636, 1848320 req, miss ratio 0.4616, byte miss ratio 0.4616
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size     2122, 1848320 req, miss ratio 0.3995, byte miss ratio 0.3995
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size     6367, 1848320 req, miss ratio 0.3616, byte miss ratio 0.3616
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size    21225, 1848320 req, miss ratio 0.3246, byte miss ratio 0.3246
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size    42451, 1848320 req, miss ratio 0.2799, byte miss ratio 0.2799
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size    84903, 1848320 req, miss ratio 0.1591, byte miss ratio 0.1591
result/tencentBlock.ns14703.oracleGeneral.zst Cacheus cache size   169806, 1848320 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size      212, 1848320 req, miss ratio 0.4960, byte miss ratio 0.4960
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size      636, 1848320 req, miss ratio 0.4564, byte miss ratio 0.4564
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size     2122, 1848320 req, miss ratio 0.3700, byte miss ratio 0.3700
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size     6367, 1848320 req, miss ratio 0.3592, byte miss ratio 0.3592
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size    21225, 1848320 req, miss ratio 0.3109, byte miss ratio 0.3109
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size    42451, 1848320 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size    84903, 1848320 req, miss ratio 0.1571, byte miss ratio 0.1571
result/tencentBlock.ns14703.oracleGeneral.zst S3FIFO-1 cache size   169806, 1848320 req, miss ratio 0.1153, byte miss ratio 0.1153
result/tencentBlock.ns14703.oracleGeneral.zst FIFO cache size      212, 1848320 req, miss ratio 0.6491, byte miss ratio 0.6491
result/tencentBlock.ns14703.oracleGeneral.zst FIFO cache size      636, 1848320 req, miss ratio 0.5212, byte miss ratio 0.5212
result/tencentBlock.ns14703.oracleGeneral.zst FIFO cache size     2122, 1848320 req, miss ratio 0.4517, byte miss ratio 0.4517
result/tencentBlock.ns14703.oracleGeneral.zst FIFO cache size     6367, 1848320 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns14703.oracleGeneral.zst FIFO cache size    21225, 1848320 req, miss ratio 0.3577, byte miss ratio 0.3577
result/tencentBlock.ns14703.oracleGeneral.zst FIFO cache size    42451, 1848320 req, miss ratio 0.3003, byte miss ratio 0.3003
