result/io_traces.ns32.oracleGeneral.zst LHD cache size    75177, 164200000 req, miss ratio 0.2341, byte miss ratio 0.2341
result/io_traces.ns32.oracleGeneral.zst LHD cache size   250593, 164200000 req, miss ratio 0.2172, byte miss ratio 0.2172
result/io_traces.ns32.oracleGeneral.zst LHD cache size   751779, 164200000 req, miss ratio 0.2047, byte miss ratio 0.2047
result/io_traces.ns32.oracleGeneral.zst LHD cache size  2505932, 164200000 req, miss ratio 0.2000, byte miss ratio 0.2000
result/io_traces.ns32.oracleGeneral.zst LHD cache size  5011865, 164200000 req, miss ratio 0.1894, byte miss ratio 0.1894
result/io_traces.ns32.oracleGeneral.zst LHD cache size 10023730, 164200000 req, miss ratio 0.1703, byte miss ratio 0.1703
result/io_traces.ns32.oracleGeneral.zst LHD cache size 20047461, 164200000 req, miss ratio 0.1545, byte miss ratio 0.1545
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size    25059, 164200000 req, miss ratio 0.4186, byte miss ratio 0.4186
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size    75177, 164200000 req, miss ratio 0.2504, byte miss ratio 0.2504
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size   250593, 164200000 req, miss ratio 0.2216, byte miss ratio 0.2216
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size   751779, 164200000 req, miss ratio 0.2057, byte miss ratio 0.2057
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size  2505932, 164200000 req, miss ratio 0.1908, byte miss ratio 0.1908
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size  5011865, 164200000 req, miss ratio 0.1819, byte miss ratio 0.1819
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size 10023730, 164200000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns32.oracleGeneral.zst LeCaR cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst LRU cache size    25059, 164200000 req, miss ratio 0.4207, byte miss ratio 0.4207
result/io_traces.ns32.oracleGeneral.zst LRU cache size    75177, 164200000 req, miss ratio 0.2836, byte miss ratio 0.2836
result/io_traces.ns32.oracleGeneral.zst LRU cache size   250593, 164200000 req, miss ratio 0.2232, byte miss ratio 0.2232
result/io_traces.ns32.oracleGeneral.zst LRU cache size   751779, 164200000 req, miss ratio 0.2064, byte miss ratio 0.2064
result/io_traces.ns32.oracleGeneral.zst LRU cache size  2505932, 164200000 req, miss ratio 0.1909, byte miss ratio 0.1909
result/io_traces.ns32.oracleGeneral.zst LRU cache size  5011865, 164200000 req, miss ratio 0.1850, byte miss ratio 0.1850
result/io_traces.ns32.oracleGeneral.zst LRU cache size 10023730, 164200000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns32.oracleGeneral.zst LRU cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst FIFO cache size    25059, 164200000 req, miss ratio 0.4460, byte miss ratio 0.4460
result/io_traces.ns32.oracleGeneral.zst FIFO cache size    75177, 164200000 req, miss ratio 0.3297, byte miss ratio 0.3297
result/io_traces.ns32.oracleGeneral.zst FIFO cache size   250593, 164200000 req, miss ratio 0.2515, byte miss ratio 0.2515
result/io_traces.ns32.oracleGeneral.zst FIFO cache size   751779, 164200000 req, miss ratio 0.2182, byte miss ratio 0.2182
result/io_traces.ns32.oracleGeneral.zst FIFO cache size  2505932, 164200000 req, miss ratio 0.1957, byte miss ratio 0.1957
result/io_traces.ns32.oracleGeneral.zst FIFO cache size  5011865, 164200000 req, miss ratio 0.1877, byte miss ratio 0.1877
result/io_traces.ns32.oracleGeneral.zst FIFO cache size 10023730, 164200000 req, miss ratio 0.1685, byte miss ratio 0.1685
result/io_traces.ns32.oracleGeneral.zst FIFO cache size 20047461, 164200000 req, miss ratio 0.1547, byte miss ratio 0.1547
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size    25059, 164200000 req, miss ratio 0.3765, byte miss ratio 0.3765
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size    75177, 164200000 req, miss ratio 0.2338, byte miss ratio 0.2338
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size   250593, 164200000 req, miss ratio 0.2165, byte miss ratio 0.2165
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size   751779, 164200000 req, miss ratio 0.2044, byte miss ratio 0.2044
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size  2505932, 164200000 req, miss ratio 0.1911, byte miss ratio 0.1911
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size  5011865, 164200000 req, miss ratio 0.1811, byte miss ratio 0.1811
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size 10023730, 164200000 req, miss ratio 0.1668, byte miss ratio 0.1668
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d-1 cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst LRB cache size    25059, 164200000 req, miss ratio 0.3720, byte miss ratio 0.3720
result/io_traces.ns32.oracleGeneral.zst LRB cache size    75177, 164200000 req, miss ratio 0.2358, byte miss ratio 0.2358
result/io_traces.ns32.oracleGeneral.zst LRB cache size   250593, 164200000 req, miss ratio 0.2195, byte miss ratio 0.2195
result/io_traces.ns32.oracleGeneral.zst LRB cache size   751779, 164200000 req, miss ratio 0.2069, byte miss ratio 0.2069
result/io_traces.ns32.oracleGeneral.zst LRB cache size  2505932, 164200000 req, miss ratio 0.1917, byte miss ratio 0.1917
result/io_traces.ns32.oracleGeneral.zst LRB cache size  5011865, 164200000 req, miss ratio 0.1812, byte miss ratio 0.1812
result/io_traces.ns32.oracleGeneral.zst LRB cache size 10023730, 164200000 req, miss ratio 0.1661, byte miss ratio 0.1661
result/io_traces.ns32.oracleGeneral.zst LRB cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    25059, 164200000 req, miss ratio 0.4295, byte miss ratio 0.4295
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    75177, 164200000 req, miss ratio 0.2850, byte miss ratio 0.2850
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   250593, 164200000 req, miss ratio 0.2301, byte miss ratio 0.2301
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   751779, 164200000 req, miss ratio 0.2116, byte miss ratio 0.2116
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2505932, 164200000 req, miss ratio 0.1945, byte miss ratio 0.1945
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  5011865, 164200000 req, miss ratio 0.1817, byte miss ratio 0.1817
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 10023730, 164200000 req, miss ratio 0.1669, byte miss ratio 0.1669
result/io_traces.ns32.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 20047461, 164200000 req, miss ratio 0.1540, byte miss ratio 0.1540
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size    25059, 164200000 req, miss ratio 0.4062, byte miss ratio 0.4062
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size    75177, 164200000 req, miss ratio 0.2665, byte miss ratio 0.2665
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size   250593, 164200000 req, miss ratio 0.2409, byte miss ratio 0.2409
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size   751779, 164200000 req, miss ratio 0.2290, byte miss ratio 0.2290
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size  2505932, 164200000 req, miss ratio 0.2211, byte miss ratio 0.2211
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size  5011865, 164200000 req, miss ratio 0.2135, byte miss ratio 0.2135
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size 10023730, 164200000 req, miss ratio 0.2104, byte miss ratio 0.2104
result/io_traces.ns32.oracleGeneral.zst B-LRU cache size 20047461, 164200000 req, miss ratio 0.2104, byte miss ratio 0.2104
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size    25059, 164200000 req, miss ratio 0.3750, byte miss ratio 0.3750
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size    75177, 164200000 req, miss ratio 0.2337, byte miss ratio 0.2337
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size   250593, 164200000 req, miss ratio 0.2211, byte miss ratio 0.2211
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size   751779, 164200000 req, miss ratio 0.2058, byte miss ratio 0.2058
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size  2505932, 164200000 req, miss ratio 0.1924, byte miss ratio 0.1924
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size  5011865, 164200000 req, miss ratio 0.1856, byte miss ratio 0.1856
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size 10023730, 164200000 req, miss ratio 0.1681, byte miss ratio 0.1681
result/io_traces.ns32.oracleGeneral.zst TwoQ cache size 20047461, 164200000 req, miss ratio 0.1547, byte miss ratio 0.1547
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size    25059, 164200000 req, miss ratio 0.4024, byte miss ratio 0.4024
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size    75177, 164200000 req, miss ratio 0.2371, byte miss ratio 0.2371
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size   250593, 164200000 req, miss ratio 0.2203, byte miss ratio 0.2203
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size   751779, 164200000 req, miss ratio 0.2074, byte miss ratio 0.2074
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2505932, 164200000 req, miss ratio 0.1922, byte miss ratio 0.1922
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size  5011865, 164200000 req, miss ratio 0.1820, byte miss ratio 0.1820
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size 10023730, 164200000 req, miss ratio 0.1672, byte miss ratio 0.1672
result/io_traces.ns32.oracleGeneral.zst S4LRU(25:25:25:25) cache size 20047461, 164200000 req, miss ratio 0.1537, byte miss ratio 0.1537
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size    25059, 164200000 req, miss ratio 0.3681, byte miss ratio 0.3681
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size    75177, 164200000 req, miss ratio 0.2322, byte miss ratio 0.2322
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size   250593, 164200000 req, miss ratio 0.2196, byte miss ratio 0.2196
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size   751779, 164200000 req, miss ratio 0.2060, byte miss ratio 0.2060
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size  2505932, 164200000 req, miss ratio 0.1917, byte miss ratio 0.1917
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size  5011865, 164200000 req, miss ratio 0.1831, byte miss ratio 0.1831
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size 10023730, 164200000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns32.oracleGeneral.zst S3FIFO cache size 20047461, 164200000 req, miss ratio 0.1539, byte miss ratio 0.1539
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size    25059, 164200000 req, miss ratio 0.3860, byte miss ratio 0.3860
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size    75177, 164200000 req, miss ratio 0.2343, byte miss ratio 0.2343
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size   250593, 164200000 req, miss ratio 0.2191, byte miss ratio 0.2191
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size   751779, 164200000 req, miss ratio 0.2053, byte miss ratio 0.2053
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size  2505932, 164200000 req, miss ratio 0.1903, byte miss ratio 0.1903
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size  5011865, 164200000 req, miss ratio 0.1829, byte miss ratio 0.1829
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size 10023730, 164200000 req, miss ratio 0.1655, byte miss ratio 0.1655
result/io_traces.ns32.oracleGeneral.zst S3FIFO-d cache size 20047461, 164200000 req, miss ratio 0.1539, byte miss ratio 0.1539
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    25059, 164200000 req, miss ratio 0.3678, byte miss ratio 0.3678
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    75177, 164200000 req, miss ratio 0.2449, byte miss ratio 0.2449
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   250593, 164200000 req, miss ratio 0.2301, byte miss ratio 0.2301
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   751779, 164200000 req, miss ratio 0.2200, byte miss ratio 0.2200
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2505932, 164200000 req, miss ratio 0.2080, byte miss ratio 0.2080
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  5011865, 164200000 req, miss ratio 0.1967, byte miss ratio 0.1967
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 10023730, 164200000 req, miss ratio 0.1776, byte miss ratio 0.1776
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 20047461, 164200000 req, miss ratio 0.1575, byte miss ratio 0.1575
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    25059, 164200000 req, miss ratio 0.3705, byte miss ratio 0.3705
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    75177, 164200000 req, miss ratio 0.2570, byte miss ratio 0.2570
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   250593, 164200000 req, miss ratio 0.2280, byte miss ratio 0.2280
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   751779, 164200000 req, miss ratio 0.2176, byte miss ratio 0.2176
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2505932, 164200000 req, miss ratio 0.2034, byte miss ratio 0.2034
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  5011865, 164200000 req, miss ratio 0.1916, byte miss ratio 0.1916
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 10023730, 164200000 req, miss ratio 0.1729, byte miss ratio 0.1729
result/io_traces.ns32.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 20047461, 164200000 req, miss ratio 0.1546, byte miss ratio 0.1546
