result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size      391, 3599203 req, miss ratio 0.5074, byte miss ratio 0.5074
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size     1174, 3599203 req, miss ratio 0.4315, byte miss ratio 0.4315
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size     3916, 3599203 req, miss ratio 0.3135, byte miss ratio 0.3135
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size    11748, 3599203 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size    39162, 3599203 req, miss ratio 0.2388, byte miss ratio 0.2388
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size    78324, 3599203 req, miss ratio 0.2047, byte miss ratio 0.2047
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size   156648, 3599203 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns10276.oracleGeneral.zst clock2 cache size   313296, 3599203 req, miss ratio 0.1095, byte miss ratio 0.1095
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size      391, 3599203 req, miss ratio 0.4887, byte miss ratio 0.4887
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size     1174, 3599203 req, miss ratio 0.4121, byte miss ratio 0.4121
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size     3916, 3599203 req, miss ratio 0.3064, byte miss ratio 0.3064
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size    11748, 3599203 req, miss ratio 0.2848, byte miss ratio 0.2848
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size    39162, 3599203 req, miss ratio 0.2286, byte miss ratio 0.2286
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size    78324, 3599203 req, miss ratio 0.1929, byte miss ratio 0.1929
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size   156648, 3599203 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns10276.oracleGeneral.zst Cacheus cache size   313296, 3599203 req, miss ratio 0.1102, byte miss ratio 0.1102
result/tencentBlock.ns10276.oracleGeneral.zst LRU cache size      391, 3599203 req, miss ratio 0.5084, byte miss ratio 0.5084
result/tencentBlock.ns10276.oracleGeneral.zst LRU cache size     1174, 3599203 req, miss ratio 0.4259, byte miss ratio 0.4259
result/tencentBlock.ns10276.oracleGeneral.zst LRU cache size     3916, 3599203 req, miss ratio 0.3254, byte miss ratio 0.3254
result/tencentBlock.ns10276.oracleGeneral.zst LRU cache size    11748, 3599203 req, miss ratio 0.2887, byte miss ratio 0.2887
result/tencentBlock.ns10276.oracleGeneral.zst LRU cache size    39162, 3599203 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns10276.oracleGeneral.zst LRU cache size    78324, 3599203 req, miss ratio 0.1726, byte miss ratio 0.1726
