result/cdn1_sjc.ns397.oracleGeneral.bin.zst LIRS cache size    27237, 21059890 req, miss ratio 0.0321, byte miss ratio 0.0321
result/cdn1_sjc.ns397.oracleGeneral.bin.zst LIRS cache size    54474, 21059890 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size       68, 21059890 req, miss ratio 0.9626, byte miss ratio 0.9626
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size      204, 21059890 req, miss ratio 0.9498, byte miss ratio 0.9498
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size      680, 21059890 req, miss ratio 0.9056, byte miss ratio 0.9056
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size     2042, 21059890 req, miss ratio 0.7533, byte miss ratio 0.7533
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size     6809, 21059890 req, miss ratio 0.4390, byte miss ratio 0.4390
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size    13618, 21059890 req, miss ratio 0.1374, byte miss ratio 0.1374
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size    27237, 21059890 req, miss ratio 0.0391, byte miss ratio 0.0391
result/cdn1_sjc.ns397.oracleGeneral.bin.zst Cacheus cache size    54474, 21059890 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size       68, 21059890 req, miss ratio 0.9620, byte miss ratio 0.9620
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size      204, 21059890 req, miss ratio 0.9463, byte miss ratio 0.9463
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size      680, 21059890 req, miss ratio 0.8901, byte miss ratio 0.8901
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size     2042, 21059890 req, miss ratio 0.7359, byte miss ratio 0.7359
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size     6809, 21059890 req, miss ratio 0.3820, byte miss ratio 0.3820
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size    13618, 21059890 req, miss ratio 0.1583, byte miss ratio 0.1583
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size    27237, 21059890 req, miss ratio 0.0335, byte miss ratio 0.0335
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-1 cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size       68, 21059890 req, miss ratio 0.9627, byte miss ratio 0.9627
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size      204, 21059890 req, miss ratio 0.9512, byte miss ratio 0.9512
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size      680, 21059890 req, miss ratio 0.9133, byte miss ratio 0.9133
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size     2042, 21059890 req, miss ratio 0.8099, byte miss ratio 0.8099
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size     6809, 21059890 req, miss ratio 0.5156, byte miss ratio 0.5156
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size    13618, 21059890 req, miss ratio 0.2708, byte miss ratio 0.2708
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size    27237, 21059890 req, miss ratio 0.0796, byte miss ratio 0.0796
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO cache size    54474, 21059890 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size       68, 21059890 req, miss ratio 0.9616, byte miss ratio 0.9616
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size      204, 21059890 req, miss ratio 0.9481, byte miss ratio 0.9481
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size      680, 21059890 req, miss ratio 0.8967, byte miss ratio 0.8967
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size     2042, 21059890 req, miss ratio 0.7506, byte miss ratio 0.7506
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size     6809, 21059890 req, miss ratio 0.4101, byte miss ratio 0.4101
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size    13618, 21059890 req, miss ratio 0.1711, byte miss ratio 0.1711
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size    27237, 21059890 req, miss ratio 0.0363, byte miss ratio 0.0363
result/cdn1_sjc.ns397.oracleGeneral.bin.zst ARC cache size    54474, 21059890 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size       68, 21059890 req, miss ratio 0.9620, byte miss ratio 0.9620
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size      204, 21059890 req, miss ratio 0.9481, byte miss ratio 0.9481
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size      680, 21059890 req, miss ratio 0.8886, byte miss ratio 0.8886
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size     2042, 21059890 req, miss ratio 0.7232, byte miss ratio 0.7232
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6809, 21059890 req, miss ratio 0.3766, byte miss ratio 0.3766
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13618, 21059890 req, miss ratio 0.1588, byte miss ratio 0.1588
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size    27237, 21059890 req, miss ratio 0.0335, byte miss ratio 0.0335
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d-1 cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
