result/io_traces.ns433.oracleGeneral.zst LeCaR cache size     2337, 5400000 req, miss ratio 0.2607, byte miss ratio 0.2607
result/io_traces.ns433.oracleGeneral.zst LeCaR cache size     7012, 5400000 req, miss ratio 0.2107, byte miss ratio 0.2107
result/io_traces.ns433.oracleGeneral.zst LeCaR cache size    23376, 5400000 req, miss ratio 0.1389, byte miss ratio 0.1389
result/io_traces.ns433.oracleGeneral.zst LeCaR cache size    46752, 5400000 req, miss ratio 0.0721, byte miss ratio 0.0721
result/io_traces.ns433.oracleGeneral.zst LeCaR cache size    93504, 5400000 req, miss ratio 0.0462, byte miss ratio 0.0462
result/io_traces.ns433.oracleGeneral.zst LeCaR cache size   187008, 5400000 req, miss ratio 0.0437, byte miss ratio 0.0437
result/io_traces.ns433.oracleGeneral.zst LHD cache size      233, 5400000 req, miss ratio 0.3500, byte miss ratio 0.3500
result/io_traces.ns433.oracleGeneral.zst LHD cache size      701, 5400000 req, miss ratio 0.3149, byte miss ratio 0.3149
result/io_traces.ns433.oracleGeneral.zst LHD cache size     2337, 5400000 req, miss ratio 0.2359, byte miss ratio 0.2359
result/io_traces.ns433.oracleGeneral.zst LHD cache size     7012, 5400000 req, miss ratio 0.2011, byte miss ratio 0.2011
result/io_traces.ns433.oracleGeneral.zst LHD cache size    23376, 5400000 req, miss ratio 0.1359, byte miss ratio 0.1359
result/io_traces.ns433.oracleGeneral.zst LHD cache size    46752, 5400000 req, miss ratio 0.0664, byte miss ratio 0.0664
result/io_traces.ns433.oracleGeneral.zst LHD cache size    93504, 5400000 req, miss ratio 0.0467, byte miss ratio 0.0467
result/io_traces.ns433.oracleGeneral.zst LHD cache size   187008, 5400000 req, miss ratio 0.0436, byte miss ratio 0.0436
result/io_traces.ns433.oracleGeneral.zst ARC cache size      233, 5400000 req, miss ratio 0.3383, byte miss ratio 0.3383
result/io_traces.ns433.oracleGeneral.zst ARC cache size      701, 5400000 req, miss ratio 0.3017, byte miss ratio 0.3017
result/io_traces.ns433.oracleGeneral.zst ARC cache size     2337, 5400000 req, miss ratio 0.2178, byte miss ratio 0.2178
result/io_traces.ns433.oracleGeneral.zst ARC cache size     7012, 5400000 req, miss ratio 0.2527, byte miss ratio 0.2527
result/io_traces.ns433.oracleGeneral.zst ARC cache size    23376, 5400000 req, miss ratio 0.1369, byte miss ratio 0.1369
result/io_traces.ns433.oracleGeneral.zst ARC cache size    46752, 5400000 req, miss ratio 0.0715, byte miss ratio 0.0715
result/io_traces.ns433.oracleGeneral.zst ARC cache size    93504, 5400000 req, miss ratio 0.0472, byte miss ratio 0.0472
result/io_traces.ns433.oracleGeneral.zst ARC cache size   187008, 5400000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns433.oracleGeneral.zst LIRS cache size      233, 5400000 req, miss ratio 0.3506, byte miss ratio 0.3506
result/io_traces.ns433.oracleGeneral.zst LIRS cache size      701, 5400000 req, miss ratio 0.3088, byte miss ratio 0.3088
result/io_traces.ns433.oracleGeneral.zst LIRS cache size     2337, 5400000 req, miss ratio 0.2240, byte miss ratio 0.2240
result/io_traces.ns433.oracleGeneral.zst LIRS cache size     7012, 5400000 req, miss ratio 0.1978, byte miss ratio 0.1978
result/io_traces.ns433.oracleGeneral.zst LIRS cache size    23376, 5400000 req, miss ratio 0.1347, byte miss ratio 0.1347
result/io_traces.ns433.oracleGeneral.zst LIRS cache size    46752, 5400000 req, miss ratio 0.0698, byte miss ratio 0.0698
result/io_traces.ns433.oracleGeneral.zst LIRS cache size    93504, 5400000 req, miss ratio 0.0493, byte miss ratio 0.0493
result/io_traces.ns433.oracleGeneral.zst LIRS cache size   187008, 5400000 req, miss ratio 0.0438, byte miss ratio 0.0438
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size      233, 5400000 req, miss ratio 0.3379, byte miss ratio 0.3379
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size      701, 5400000 req, miss ratio 0.2968, byte miss ratio 0.2968
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size     2337, 5400000 req, miss ratio 0.2162, byte miss ratio 0.2162
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size     7012, 5400000 req, miss ratio 0.1995, byte miss ratio 0.1995
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size    23376, 5400000 req, miss ratio 0.1412, byte miss ratio 0.1412
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size    46752, 5400000 req, miss ratio 0.0677, byte miss ratio 0.0677
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size    93504, 5400000 req, miss ratio 0.0475, byte miss ratio 0.0475
result/io_traces.ns433.oracleGeneral.zst S3FIFO-d-1 cache size   187008, 5400000 req, miss ratio 0.0439, byte miss ratio 0.0439
result/io_traces.ns433.oracleGeneral.zst LRB cache size      233, 5400000 req, miss ratio 0.3567, byte miss ratio 0.3567
result/io_traces.ns433.oracleGeneral.zst LRB cache size      701, 5400000 req, miss ratio 0.2965, byte miss ratio 0.2965
result/io_traces.ns433.oracleGeneral.zst LRB cache size     2337, 5400000 req, miss ratio 0.2228, byte miss ratio 0.2228
result/io_traces.ns433.oracleGeneral.zst LRB cache size     7012, 5400000 req, miss ratio 0.1971, byte miss ratio 0.1971
result/io_traces.ns433.oracleGeneral.zst LRB cache size    23376, 5400000 req, miss ratio 0.1334, byte miss ratio 0.1334
result/io_traces.ns433.oracleGeneral.zst LRB cache size    46752, 5400000 req, miss ratio 0.0640, byte miss ratio 0.0640
result/io_traces.ns433.oracleGeneral.zst LRB cache size    93504, 5400000 req, miss ratio 0.0483, byte miss ratio 0.0483
result/io_traces.ns433.oracleGeneral.zst LRB cache size   187008, 5400000 req, miss ratio 0.0434, byte miss ratio 0.0434
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size      233, 5400000 req, miss ratio 0.3449, byte miss ratio 0.3449
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size      701, 5400000 req, miss ratio 0.3098, byte miss ratio 0.3098
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2337, 5400000 req, miss ratio 0.2264, byte miss ratio 0.2264
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7012, 5400000 req, miss ratio 0.2051, byte miss ratio 0.2051
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23376, 5400000 req, miss ratio 0.1724, byte miss ratio 0.1724
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size    46752, 5400000 req, miss ratio 0.0735, byte miss ratio 0.0735
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size    93504, 5400000 req, miss ratio 0.0469, byte miss ratio 0.0469
result/io_traces.ns433.oracleGeneral.zst S4LRU(25:25:25:25) cache size   187008, 5400000 req, miss ratio 0.0439, byte miss ratio 0.0439
