result/io_traces.ns537.oracleGeneral.zst LIRS cache size     1574, 2200000 req, miss ratio 0.4883, byte miss ratio 0.4883
result/io_traces.ns537.oracleGeneral.zst LIRS cache size     4722, 2200000 req, miss ratio 0.4439, byte miss ratio 0.4439
result/io_traces.ns537.oracleGeneral.zst LIRS cache size    15742, 2200000 req, miss ratio 0.3560, byte miss ratio 0.3560
result/io_traces.ns537.oracleGeneral.zst LIRS cache size    31484, 2200000 req, miss ratio 0.2755, byte miss ratio 0.2755
result/io_traces.ns537.oracleGeneral.zst LIRS cache size    62968, 2200000 req, miss ratio 0.1251, byte miss ratio 0.1251
result/io_traces.ns537.oracleGeneral.zst LIRS cache size   125937, 2200000 req, miss ratio 0.0738, byte miss ratio 0.0738
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size      157, 2200000 req, miss ratio 0.4947, byte miss ratio 0.4947
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size      472, 2200000 req, miss ratio 0.4926, byte miss ratio 0.4926
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size     1574, 2200000 req, miss ratio 0.4773, byte miss ratio 0.4773
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size     4722, 2200000 req, miss ratio 0.4484, byte miss ratio 0.4484
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size    15742, 2200000 req, miss ratio 0.3930, byte miss ratio 0.3930
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size    31484, 2200000 req, miss ratio 0.2681, byte miss ratio 0.2681
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size    62968, 2200000 req, miss ratio 0.1237, byte miss ratio 0.1237
result/io_traces.ns537.oracleGeneral.zst Cacheus cache size   125937, 2200000 req, miss ratio 0.0721, byte miss ratio 0.0721
result/io_traces.ns537.oracleGeneral.zst Clock cache size      157, 2200000 req, miss ratio 0.5052, byte miss ratio 0.5052
result/io_traces.ns537.oracleGeneral.zst Clock cache size      472, 2200000 req, miss ratio 0.4924, byte miss ratio 0.4924
result/io_traces.ns537.oracleGeneral.zst Clock cache size     1574, 2200000 req, miss ratio 0.4881, byte miss ratio 0.4881
result/io_traces.ns537.oracleGeneral.zst Clock cache size     4722, 2200000 req, miss ratio 0.4571, byte miss ratio 0.4571
result/io_traces.ns537.oracleGeneral.zst Clock cache size    15742, 2200000 req, miss ratio 0.4358, byte miss ratio 0.4358
result/io_traces.ns537.oracleGeneral.zst Clock cache size    31484, 2200000 req, miss ratio 0.3076, byte miss ratio 0.3076
result/io_traces.ns537.oracleGeneral.zst Clock cache size    62968, 2200000 req, miss ratio 0.1310, byte miss ratio 0.1310
result/io_traces.ns537.oracleGeneral.zst Clock cache size   125937, 2200000 req, miss ratio 0.0753, byte miss ratio 0.0753
result/io_traces.ns537.oracleGeneral.zst ARC cache size      157, 2200000 req, miss ratio 0.4950, byte miss ratio 0.4950
result/io_traces.ns537.oracleGeneral.zst ARC cache size      472, 2200000 req, miss ratio 0.4896, byte miss ratio 0.4896
result/io_traces.ns537.oracleGeneral.zst ARC cache size     1574, 2200000 req, miss ratio 0.4834, byte miss ratio 0.4834
result/io_traces.ns537.oracleGeneral.zst ARC cache size     4722, 2200000 req, miss ratio 0.4441, byte miss ratio 0.4441
result/io_traces.ns537.oracleGeneral.zst ARC cache size    15742, 2200000 req, miss ratio 0.4183, byte miss ratio 0.4183
result/io_traces.ns537.oracleGeneral.zst ARC cache size    31484, 2200000 req, miss ratio 0.2784, byte miss ratio 0.2784
result/io_traces.ns537.oracleGeneral.zst ARC cache size    62968, 2200000 req, miss ratio 0.1221, byte miss ratio 0.1221
result/io_traces.ns537.oracleGeneral.zst ARC cache size   125937, 2200000 req, miss ratio 0.0754, byte miss ratio 0.0754
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size      157, 2200000 req, miss ratio 0.4948, byte miss ratio 0.4948
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size      472, 2200000 req, miss ratio 0.4893, byte miss ratio 0.4893
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size     1574, 2200000 req, miss ratio 0.4714, byte miss ratio 0.4714
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size     4722, 2200000 req, miss ratio 0.4377, byte miss ratio 0.4377
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size    15742, 2200000 req, miss ratio 0.3700, byte miss ratio 0.3700
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size    31484, 2200000 req, miss ratio 0.2803, byte miss ratio 0.2803
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size    62968, 2200000 req, miss ratio 0.1221, byte miss ratio 0.1221
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d-1 cache size   125937, 2200000 req, miss ratio 0.0755, byte miss ratio 0.0755
result/io_traces.ns537.oracleGeneral.zst LRB cache size      157, 2200000 req, miss ratio 0.5845, byte miss ratio 0.5845
result/io_traces.ns537.oracleGeneral.zst LRB cache size      472, 2200000 req, miss ratio 0.5176, byte miss ratio 0.5176
result/io_traces.ns537.oracleGeneral.zst LRB cache size     1574, 2200000 req, miss ratio 0.4545, byte miss ratio 0.4545
result/io_traces.ns537.oracleGeneral.zst LRB cache size     4722, 2200000 req, miss ratio 0.4147, byte miss ratio 0.4147
result/io_traces.ns537.oracleGeneral.zst LRB cache size    15742, 2200000 req, miss ratio 0.3259, byte miss ratio 0.3259
result/io_traces.ns537.oracleGeneral.zst LRB cache size    31484, 2200000 req, miss ratio 0.2149, byte miss ratio 0.2149
result/io_traces.ns537.oracleGeneral.zst LRB cache size    62968, 2200000 req, miss ratio 0.1170, byte miss ratio 0.1170
result/io_traces.ns537.oracleGeneral.zst LRB cache size   125937, 2200000 req, miss ratio 0.0761, byte miss ratio 0.0761
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size      157, 2200000 req, miss ratio 0.4992, byte miss ratio 0.4992
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size      472, 2200000 req, miss ratio 0.4888, byte miss ratio 0.4888
result/io_traces.ns537.oracleGeneral.zst TwoQ cache size     1574, 2200000 req, miss ratio 0.4682, byte miss ratio 0.4682
