result/io_traces.ns232.oracleGeneral.zst clock2 cache size    16262, 18800000 req, miss ratio 0.1151, byte miss ratio 0.1151
result/io_traces.ns232.oracleGeneral.zst clock2 cache size    48786, 18800000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns232.oracleGeneral.zst clock2 cache size   162621, 18800000 req, miss ratio 0.1040, byte miss ratio 0.1040
result/io_traces.ns232.oracleGeneral.zst clock2 cache size   325242, 18800000 req, miss ratio 0.0980, byte miss ratio 0.0980
result/io_traces.ns232.oracleGeneral.zst clock2 cache size   650484, 18800000 req, miss ratio 0.0921, byte miss ratio 0.0921
result/io_traces.ns232.oracleGeneral.zst clock2 cache size  1300969, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns232.oracleGeneral.zst LHD cache size     1626, 18800000 req, miss ratio 0.1181, byte miss ratio 0.1181
result/io_traces.ns232.oracleGeneral.zst LHD cache size     4878, 18800000 req, miss ratio 0.1158, byte miss ratio 0.1158
result/io_traces.ns232.oracleGeneral.zst LHD cache size    16262, 18800000 req, miss ratio 0.1125, byte miss ratio 0.1125
result/io_traces.ns232.oracleGeneral.zst LHD cache size    48786, 18800000 req, miss ratio 0.1100, byte miss ratio 0.1100
result/io_traces.ns232.oracleGeneral.zst LHD cache size   162621, 18800000 req, miss ratio 0.1042, byte miss ratio 0.1042
result/io_traces.ns232.oracleGeneral.zst LHD cache size   325242, 18800000 req, miss ratio 0.0987, byte miss ratio 0.0987
result/io_traces.ns232.oracleGeneral.zst LHD cache size   650484, 18800000 req, miss ratio 0.0927, byte miss ratio 0.0927
result/io_traces.ns232.oracleGeneral.zst LHD cache size  1300969, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size     1626, 18800000 req, miss ratio 0.1169, byte miss ratio 0.1169
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size     4878, 18800000 req, miss ratio 0.1156, byte miss ratio 0.1156
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size    16262, 18800000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size    48786, 18800000 req, miss ratio 0.1094, byte miss ratio 0.1094
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size   162621, 18800000 req, miss ratio 0.1012, byte miss ratio 0.1012
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size   325242, 18800000 req, miss ratio 0.0973, byte miss ratio 0.0973
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size   650484, 18800000 req, miss ratio 0.0943, byte miss ratio 0.0943
result/io_traces.ns232.oracleGeneral.zst Cacheus cache size  1300969, 18800000 req, miss ratio 0.0899, byte miss ratio 0.0899
result/io_traces.ns232.oracleGeneral.zst LIRS cache size     1626, 18800000 req, miss ratio 0.1214, byte miss ratio 0.1214
result/io_traces.ns232.oracleGeneral.zst LIRS cache size     4878, 18800000 req, miss ratio 0.1170, byte miss ratio 0.1170
result/io_traces.ns232.oracleGeneral.zst LIRS cache size    16262, 18800000 req, miss ratio 0.1111, byte miss ratio 0.1111
result/io_traces.ns232.oracleGeneral.zst LIRS cache size    48786, 18800000 req, miss ratio 0.1065, byte miss ratio 0.1065
