result/cdn2_colo28.ns36982.oracleGeneral.zst LIRS cache size     4838, 4498598 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size        6, 4498598 req, miss ratio 0.6964, byte miss ratio 0.6964
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size       18, 4498598 req, miss ratio 0.3280, byte miss ratio 0.3280
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size       60, 4498598 req, miss ratio 0.0656, byte miss ratio 0.0656
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size      181, 4498598 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size      604, 4498598 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size     1209, 4498598 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size     2419, 4498598 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_colo28.ns36982.oracleGeneral.zst LHD cache size     4838, 4498598 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size        6, 4498598 req, miss ratio 0.7353, byte miss ratio 0.7353
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size       18, 4498598 req, miss ratio 0.3324, byte miss ratio 0.3324
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size       60, 4498598 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size      181, 4498598 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size      604, 4498598 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size     1209, 4498598 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size     2419, 4498598 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns36982.oracleGeneral.zst Cacheus cache size     4838, 4498598 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns36982.oracleGeneral.zst LeCaR cache size        6, 4498598 req, miss ratio 0.7281, byte miss ratio 0.7281
result/cdn2_colo28.ns36982.oracleGeneral.zst LeCaR cache size       18, 4498598 req, miss ratio 0.3514, byte miss ratio 0.3514
result/cdn2_colo28.ns36982.oracleGeneral.zst LeCaR cache size       60, 4498598 req, miss ratio 0.0706, byte miss ratio 0.0706
result/cdn2_colo28.ns36982.oracleGeneral.zst LeCaR cache size      181, 4498598 req, miss ratio 0.0139, byte miss ratio 0.0139
