result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size      284, 3196647 req, miss ratio 0.5087, byte miss ratio 0.5087
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size      852, 3196647 req, miss ratio 0.4022, byte miss ratio 0.4022
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size     2840, 3196647 req, miss ratio 0.2437, byte miss ratio 0.2437
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size     8520, 3196647 req, miss ratio 0.2168, byte miss ratio 0.2168
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size    28400, 3196647 req, miss ratio 0.1589, byte miss ratio 0.1589
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size    56800, 3196647 req, miss ratio 0.1243, byte miss ratio 0.1243
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size   113600, 3196647 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns14050.oracleGeneral.zst clock2 cache size   227200, 3196647 req, miss ratio 0.0891, byte miss ratio 0.0891
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size      284, 3196647 req, miss ratio 0.5013, byte miss ratio 0.5013
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size      852, 3196647 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size     2840, 3196647 req, miss ratio 0.2396, byte miss ratio 0.2396
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size     8520, 3196647 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size    28400, 3196647 req, miss ratio 0.1624, byte miss ratio 0.1624
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size    56800, 3196647 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size   113600, 3196647 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns14050.oracleGeneral.zst S3FIFO-1 cache size   227200, 3196647 req, miss ratio 0.0891, byte miss ratio 0.0891
