result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size      368, 21784722 req, miss ratio 0.1788, byte miss ratio 0.1788
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size     1229, 21784722 req, miss ratio 0.1049, byte miss ratio 0.1049
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size     3688, 21784722 req, miss ratio 0.0605, byte miss ratio 0.0605
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size    12295, 21784722 req, miss ratio 0.0302, byte miss ratio 0.0302
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size    24591, 21784722 req, miss ratio 0.0189, byte miss ratio 0.0189
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size    49182, 21784722 req, miss ratio 0.0104, byte miss ratio 0.0104
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst LRB cache size    98364, 21784722 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      122, 21784722 req, miss ratio 0.3092, byte miss ratio 0.3092
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      368, 21784722 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1229, 21784722 req, miss ratio 0.1233, byte miss ratio 0.1233
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     3688, 21784722 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    12295, 21784722 req, miss ratio 0.0341, byte miss ratio 0.0341
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    24591, 21784722 req, miss ratio 0.0204, byte miss ratio 0.0204
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    49182, 21784722 req, miss ratio 0.0106, byte miss ratio 0.0106
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    98364, 21784722 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size      122, 21784722 req, miss ratio 0.2747, byte miss ratio 0.2747
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size      368, 21784722 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1229, 21784722 req, miss ratio 0.1128, byte miss ratio 0.1128
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size     3688, 21784722 req, miss ratio 0.0638, byte miss ratio 0.0638
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size    12295, 21784722 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size    24591, 21784722 req, miss ratio 0.0203, byte miss ratio 0.0203
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size    49182, 21784722 req, miss ratio 0.0115, byte miss ratio 0.0115
result/tflock_user_tweet_cache.0.oracleGeneral.sample10.zst TwoQ cache size    98364, 21784722 req, miss ratio 0.0073, byte miss ratio 0.0073
