result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size      606, 3672922 req, miss ratio 0.3484, byte miss ratio 0.3484
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size     1820, 3672922 req, miss ratio 0.3419, byte miss ratio 0.3419
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size     6067, 3672922 req, miss ratio 0.3403, byte miss ratio 0.3403
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size    18202, 3672922 req, miss ratio 0.3290, byte miss ratio 0.3290
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size    60675, 3672922 req, miss ratio 0.2991, byte miss ratio 0.2991
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size   121351, 3672922 req, miss ratio 0.2743, byte miss ratio 0.2743
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size   242703, 3672922 req, miss ratio 0.2124, byte miss ratio 0.2124
result/tencentBlock.ns12820.oracleGeneral.zst LRU cache size   485407, 3672922 req, miss ratio 0.1679, byte miss ratio 0.1679
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size      606, 3672922 req, miss ratio 0.3438, byte miss ratio 0.3438
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size     1820, 3672922 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size     6067, 3672922 req, miss ratio 0.3386, byte miss ratio 0.3386
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size    18202, 3672922 req, miss ratio 0.3323, byte miss ratio 0.3323
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size    60675, 3672922 req, miss ratio 0.2932, byte miss ratio 0.2932
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size   121351, 3672922 req, miss ratio 0.2588, byte miss ratio 0.2588
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size   242703, 3672922 req, miss ratio 0.2097, byte miss ratio 0.2097
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-1 cache size   485407, 3672922 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size      606, 3672922 req, miss ratio 0.3457, byte miss ratio 0.3457
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size     1820, 3672922 req, miss ratio 0.3412, byte miss ratio 0.3412
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size     6067, 3672922 req, miss ratio 0.3397, byte miss ratio 0.3397
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size    18202, 3672922 req, miss ratio 0.3375, byte miss ratio 0.3375
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size    60675, 3672922 req, miss ratio 0.2979, byte miss ratio 0.2979
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size   121351, 3672922 req, miss ratio 0.2703, byte miss ratio 0.2703
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size   242703, 3672922 req, miss ratio 0.2112, byte miss ratio 0.2112
result/tencentBlock.ns12820.oracleGeneral.zst Cacheus cache size   485407, 3672922 req, miss ratio 0.1686, byte miss ratio 0.1686
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size      606, 3672922 req, miss ratio 0.3494, byte miss ratio 0.3494
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size     1820, 3672922 req, miss ratio 0.3420, byte miss ratio 0.3420
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size     6067, 3672922 req, miss ratio 0.3404, byte miss ratio 0.3404
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size    18202, 3672922 req, miss ratio 0.3304, byte miss ratio 0.3304
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size    60675, 3672922 req, miss ratio 0.3067, byte miss ratio 0.3067
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size   121351, 3672922 req, miss ratio 0.2798, byte miss ratio 0.2798
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size   242703, 3672922 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns12820.oracleGeneral.zst Clock cache size   485407, 3672922 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size      606, 3672922 req, miss ratio 0.3753, byte miss ratio 0.3753
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size     1820, 3672922 req, miss ratio 0.3530, byte miss ratio 0.3530
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size     6067, 3672922 req, miss ratio 0.3440, byte miss ratio 0.3440
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size    18202, 3672922 req, miss ratio 0.3310, byte miss ratio 0.3310
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size    60675, 3672922 req, miss ratio 0.3053, byte miss ratio 0.3053
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size   121351, 3672922 req, miss ratio 0.2871, byte miss ratio 0.2871
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size   242703, 3672922 req, miss ratio 0.2260, byte miss ratio 0.2260
result/tencentBlock.ns12820.oracleGeneral.zst FIFO cache size   485407, 3672922 req, miss ratio 0.1798, byte miss ratio 0.1798
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size      606, 3672922 req, miss ratio 0.4577, byte miss ratio 0.4577
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size     1820, 3672922 req, miss ratio 0.3674, byte miss ratio 0.3674
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size     6067, 3672922 req, miss ratio 0.3400, byte miss ratio 0.3400
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size    18202, 3672922 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size    60675, 3672922 req, miss ratio 0.3015, byte miss ratio 0.3015
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size   121351, 3672922 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size   242703, 3672922 req, miss ratio 0.2076, byte miss ratio 0.2076
result/tencentBlock.ns12820.oracleGeneral.zst LIRS cache size   485407, 3672922 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size      606, 3672922 req, miss ratio 0.3478, byte miss ratio 0.3478
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size     1820, 3672922 req, miss ratio 0.3417, byte miss ratio 0.3417
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size     6067, 3672922 req, miss ratio 0.3403, byte miss ratio 0.3403
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size    18202, 3672922 req, miss ratio 0.3289, byte miss ratio 0.3289
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size    60675, 3672922 req, miss ratio 0.2990, byte miss ratio 0.2990
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size   121351, 3672922 req, miss ratio 0.2711, byte miss ratio 0.2711
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size   242703, 3672922 req, miss ratio 0.2113, byte miss ratio 0.2113
result/tencentBlock.ns12820.oracleGeneral.zst LeCaR cache size   485407, 3672922 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size      606, 3672922 req, miss ratio 0.3497, byte miss ratio 0.3497
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size     1820, 3672922 req, miss ratio 0.3418, byte miss ratio 0.3418
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size     6067, 3672922 req, miss ratio 0.3404, byte miss ratio 0.3404
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size    18202, 3672922 req, miss ratio 0.3347, byte miss ratio 0.3347
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size    60675, 3672922 req, miss ratio 0.3131, byte miss ratio 0.3131
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size   121351, 3672922 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size   242703, 3672922 req, miss ratio 0.2198, byte miss ratio 0.2198
result/tencentBlock.ns12820.oracleGeneral.zst clock2 cache size   485407, 3672922 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size      606, 3672922 req, miss ratio 0.3483, byte miss ratio 0.3483
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size     1820, 3672922 req, miss ratio 0.3413, byte miss ratio 0.3413
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size     6067, 3672922 req, miss ratio 0.3362, byte miss ratio 0.3362
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size    18202, 3672922 req, miss ratio 0.3220, byte miss ratio 0.3220
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size    60675, 3672922 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size   121351, 3672922 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size   242703, 3672922 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns12820.oracleGeneral.zst LHD cache size   485407, 3672922 req, miss ratio 0.1698, byte miss ratio 0.1698
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size      606, 3672922 req, miss ratio 0.3450, byte miss ratio 0.3450
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size     1820, 3672922 req, miss ratio 0.3412, byte miss ratio 0.3412
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size     6067, 3672922 req, miss ratio 0.3414, byte miss ratio 0.3414
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size    18202, 3672922 req, miss ratio 0.3270, byte miss ratio 0.3270
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size    60675, 3672922 req, miss ratio 0.2997, byte miss ratio 0.2997
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size   121351, 3672922 req, miss ratio 0.2699, byte miss ratio 0.2699
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size   242703, 3672922 req, miss ratio 0.2095, byte miss ratio 0.2095
result/tencentBlock.ns12820.oracleGeneral.zst ARC cache size   485407, 3672922 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size      606, 3672922 req, miss ratio 0.3432, byte miss ratio 0.3432
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size     1820, 3672922 req, miss ratio 0.3410, byte miss ratio 0.3410
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size     6067, 3672922 req, miss ratio 0.3386, byte miss ratio 0.3386
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size    18202, 3672922 req, miss ratio 0.3323, byte miss ratio 0.3323
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size    60675, 3672922 req, miss ratio 0.2935, byte miss ratio 0.2935
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size   121351, 3672922 req, miss ratio 0.2588, byte miss ratio 0.2588
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size   242703, 3672922 req, miss ratio 0.2092, byte miss ratio 0.2092
result/tencentBlock.ns12820.oracleGeneral.zst S3FIFO-d-1 cache size   485407, 3672922 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns12820.oracleGeneral.zst LRB cache size      606, 3672922 req, miss ratio 0.5204, byte miss ratio 0.5204
result/tencentBlock.ns12820.oracleGeneral.zst LRB cache size     1820, 3672922 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns12820.oracleGeneral.zst LRB cache size     6067, 3672922 req, miss ratio 0.3473, byte miss ratio 0.3473
result/tencentBlock.ns12820.oracleGeneral.zst LRB cache size    18202, 3672922 req, miss ratio 0.3080, byte miss ratio 0.3080
