result/cdn2_allcolo.ns4679.oracleGeneral.zst Cacheus cache size      604, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst Cacheus cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LIRS cache size       15, 1264070 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_allcolo.ns4679.oracleGeneral.zst LIRS cache size       45, 1264070 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns4679.oracleGeneral.zst LIRS cache size      151, 1264070 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns4679.oracleGeneral.zst LIRS cache size      302, 1264070 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns4679.oracleGeneral.zst LIRS cache size      604, 1264070 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns4679.oracleGeneral.zst LIRS cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LHD cache size       15, 1264070 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns4679.oracleGeneral.zst LHD cache size       45, 1264070 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns4679.oracleGeneral.zst LHD cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst LHD cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst LHD cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LHD cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d-1 cache size       15, 1264070 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d-1 cache size       45, 1264070 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d-1 cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d-1 cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d-1 cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d-1 cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRB cache size       15, 1264070 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRB cache size       45, 1264070 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRB cache size      151, 1264070 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRB cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRB cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst LRB cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst B-LRU cache size       15, 1264070 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns4679.oracleGeneral.zst B-LRU cache size       45, 1264070 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns4679.oracleGeneral.zst B-LRU cache size      151, 1264070 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4679.oracleGeneral.zst B-LRU cache size      302, 1264070 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns4679.oracleGeneral.zst B-LRU cache size      604, 1264070 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns4679.oracleGeneral.zst B-LRU cache size     1208, 1264070 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns4679.oracleGeneral.zst TwoQ cache size       15, 1264070 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_allcolo.ns4679.oracleGeneral.zst TwoQ cache size       45, 1264070 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns4679.oracleGeneral.zst TwoQ cache size      151, 1264070 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns4679.oracleGeneral.zst TwoQ cache size      302, 1264070 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns4679.oracleGeneral.zst TwoQ cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst TwoQ cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       15, 1264070 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       45, 1264070 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      151, 1264070 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      302, 1264070 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      604, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S4LRU(25:25:25:25) cache size       15, 1264070 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_allcolo.ns4679.oracleGeneral.zst S4LRU(25:25:25:25) cache size       45, 1264070 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns4679.oracleGeneral.zst S4LRU(25:25:25:25) cache size      151, 1264070 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns4679.oracleGeneral.zst S4LRU(25:25:25:25) cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst S4LRU(25:25:25:25) cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO cache size       15, 1264070 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO cache size       45, 1264070 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d cache size       15, 1264070 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d cache size       45, 1264070 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d cache size      151, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d cache size      302, 1264070 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d cache size      604, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst S3FIFO-d cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       15, 1264070 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       45, 1264070 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      151, 1264070 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      302, 1264070 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      604, 1264070 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1208, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       15, 1264070 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       45, 1264070 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      151, 1264070 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      302, 1264070 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      604, 1264070 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns4679.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1208, 1264070 req, miss ratio 0.0012, byte miss ratio 0.0012
