result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size      211, 1226424 req, miss ratio 0.3846, byte miss ratio 0.3846
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size      635, 1226424 req, miss ratio 0.3775, byte miss ratio 0.3775
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size     2117, 1226424 req, miss ratio 0.3754, byte miss ratio 0.3754
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size     6353, 1226424 req, miss ratio 0.3740, byte miss ratio 0.3740
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size    21177, 1226424 req, miss ratio 0.3155, byte miss ratio 0.3155
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size    42355, 1226424 req, miss ratio 0.2601, byte miss ratio 0.2601
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size    84710, 1226424 req, miss ratio 0.1941, byte miss ratio 0.1941
result/tencentBlock.ns12100.oracleGeneral.zst Clock cache size   169420, 1226424 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size      211, 1226424 req, miss ratio 0.3879, byte miss ratio 0.3879
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size      635, 1226424 req, miss ratio 0.3774, byte miss ratio 0.3774
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size     2117, 1226424 req, miss ratio 0.3750, byte miss ratio 0.3750
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size     6353, 1226424 req, miss ratio 0.3706, byte miss ratio 0.3706
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size    21177, 1226424 req, miss ratio 0.3079, byte miss ratio 0.3079
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size    42355, 1226424 req, miss ratio 0.2482, byte miss ratio 0.2482
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size    84710, 1226424 req, miss ratio 0.1901, byte miss ratio 0.1901
result/tencentBlock.ns12100.oracleGeneral.zst LHD cache size   169420, 1226424 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size      211, 1226424 req, miss ratio 0.3855, byte miss ratio 0.3855
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size      635, 1226424 req, miss ratio 0.3772, byte miss ratio 0.3772
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size     2117, 1226424 req, miss ratio 0.3756, byte miss ratio 0.3756
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size     6353, 1226424 req, miss ratio 0.3740, byte miss ratio 0.3740
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size    21177, 1226424 req, miss ratio 0.3294, byte miss ratio 0.3294
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size    42355, 1226424 req, miss ratio 0.2803, byte miss ratio 0.2803
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size    84710, 1226424 req, miss ratio 0.1990, byte miss ratio 0.1990
result/tencentBlock.ns12100.oracleGeneral.zst clock2 cache size   169420, 1226424 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size      211, 1226424 req, miss ratio 0.4283, byte miss ratio 0.4283
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size      635, 1226424 req, miss ratio 0.3941, byte miss ratio 0.3941
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size     2117, 1226424 req, miss ratio 0.3806, byte miss ratio 0.3806
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size     6353, 1226424 req, miss ratio 0.3761, byte miss ratio 0.3761
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size    21177, 1226424 req, miss ratio 0.3129, byte miss ratio 0.3129
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size    42355, 1226424 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size    84710, 1226424 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns12100.oracleGeneral.zst FIFO cache size   169420, 1226424 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size      211, 1226424 req, miss ratio 0.3793, byte miss ratio 0.3793
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size      635, 1226424 req, miss ratio 0.3766, byte miss ratio 0.3766
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size     2117, 1226424 req, miss ratio 0.3745, byte miss ratio 0.3745
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size     6353, 1226424 req, miss ratio 0.3717, byte miss ratio 0.3717
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size    21177, 1226424 req, miss ratio 0.3099, byte miss ratio 0.3099
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size    42355, 1226424 req, miss ratio 0.2411, byte miss ratio 0.2411
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size    84710, 1226424 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns12100.oracleGeneral.zst Cacheus cache size   169420, 1226424 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns12100.oracleGeneral.zst LIRS cache size      211, 1226424 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns12100.oracleGeneral.zst LIRS cache size      635, 1226424 req, miss ratio 0.4021, byte miss ratio 0.4021
result/tencentBlock.ns12100.oracleGeneral.zst LIRS cache size     2117, 1226424 req, miss ratio 0.3776, byte miss ratio 0.3776
result/tencentBlock.ns12100.oracleGeneral.zst LIRS cache size     6353, 1226424 req, miss ratio 0.3689, byte miss ratio 0.3689
result/tencentBlock.ns12100.oracleGeneral.zst LIRS cache size    21177, 1226424 req, miss ratio 0.3088, byte miss ratio 0.3088
