result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size     3210, 5749960 req, miss ratio 0.2677, byte miss ratio 0.2677
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size     6420, 5749960 req, miss ratio 0.0948, byte miss ratio 0.0948
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Cacheus cache size    12840, 5749960 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size       16, 5749960 req, miss ratio 0.6501, byte miss ratio 0.6501
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size       48, 5749960 req, miss ratio 0.5566, byte miss ratio 0.5566
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size      160, 5749960 req, miss ratio 0.4865, byte miss ratio 0.4865
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size      481, 5749960 req, miss ratio 0.4331, byte miss ratio 0.4331
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size     1605, 5749960 req, miss ratio 0.3481, byte miss ratio 0.3481
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size     3210, 5749960 req, miss ratio 0.2585, byte miss ratio 0.2585
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size     6420, 5749960 req, miss ratio 0.1064, byte miss ratio 0.1064
result/cdn1_sjc.ns349.oracleGeneral.bin.zst clock2 cache size    12840, 5749960 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size       16, 5749960 req, miss ratio 0.7208, byte miss ratio 0.7208
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size       48, 5749960 req, miss ratio 0.6625, byte miss ratio 0.6625
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size      160, 5749960 req, miss ratio 0.6060, byte miss ratio 0.6060
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size      481, 5749960 req, miss ratio 0.5065, byte miss ratio 0.5065
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size     1605, 5749960 req, miss ratio 0.3675, byte miss ratio 0.3675
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size     3210, 5749960 req, miss ratio 0.2623, byte miss ratio 0.2623
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size     6420, 5749960 req, miss ratio 0.1061, byte miss ratio 0.1061
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LIRS cache size    12840, 5749960 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size       16, 5749960 req, miss ratio 0.6495, byte miss ratio 0.6495
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size       48, 5749960 req, miss ratio 0.5565, byte miss ratio 0.5565
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size      160, 5749960 req, miss ratio 0.4877, byte miss ratio 0.4877
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size      481, 5749960 req, miss ratio 0.4356, byte miss ratio 0.4356
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size     1605, 5749960 req, miss ratio 0.3519, byte miss ratio 0.3519
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size     3210, 5749960 req, miss ratio 0.2637, byte miss ratio 0.2637
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size     6420, 5749960 req, miss ratio 0.1157, byte miss ratio 0.1157
result/cdn1_sjc.ns349.oracleGeneral.bin.zst Clock cache size    12840, 5749960 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size       16, 5749960 req, miss ratio 0.6547, byte miss ratio 0.6547
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size       48, 5749960 req, miss ratio 0.5567, byte miss ratio 0.5567
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size      160, 5749960 req, miss ratio 0.4867, byte miss ratio 0.4867
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size      481, 5749960 req, miss ratio 0.4350, byte miss ratio 0.4350
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size     1605, 5749960 req, miss ratio 0.3471, byte miss ratio 0.3471
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size     3210, 5749960 req, miss ratio 0.2638, byte miss ratio 0.2638
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size     6420, 5749960 req, miss ratio 0.1176, byte miss ratio 0.1176
result/cdn1_sjc.ns349.oracleGeneral.bin.zst ARC cache size    12840, 5749960 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size       16, 5749960 req, miss ratio 0.6579, byte miss ratio 0.6579
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size       48, 5749960 req, miss ratio 0.5545, byte miss ratio 0.5545
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size      160, 5749960 req, miss ratio 0.4841, byte miss ratio 0.4841
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size      481, 5749960 req, miss ratio 0.4286, byte miss ratio 0.4286
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1605, 5749960 req, miss ratio 0.3418, byte miss ratio 0.3418
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3210, 5749960 req, miss ratio 0.2532, byte miss ratio 0.2532
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6420, 5749960 req, miss ratio 0.1016, byte miss ratio 0.1016
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d-1 cache size    12840, 5749960 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size       16, 5749960 req, miss ratio 0.7898, byte miss ratio 0.7898
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size       48, 5749960 req, miss ratio 0.6991, byte miss ratio 0.6991
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size      160, 5749960 req, miss ratio 0.5443, byte miss ratio 0.5443
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size      481, 5749960 req, miss ratio 0.4489, byte miss ratio 0.4489
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size     1605, 5749960 req, miss ratio 0.3408, byte miss ratio 0.3408
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size     3210, 5749960 req, miss ratio 0.2377, byte miss ratio 0.2377
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size     6420, 5749960 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn1_sjc.ns349.oracleGeneral.bin.zst LRB cache size    12840, 5749960 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       16, 5749960 req, miss ratio 0.7100, byte miss ratio 0.7100
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       48, 5749960 req, miss ratio 0.5896, byte miss ratio 0.5896
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      160, 5749960 req, miss ratio 0.4960, byte miss ratio 0.4960
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      481, 5749960 req, miss ratio 0.4319, byte miss ratio 0.4319
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1605, 5749960 req, miss ratio 0.3436, byte miss ratio 0.3436
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3210, 5749960 req, miss ratio 0.2534, byte miss ratio 0.2534
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6420, 5749960 req, miss ratio 0.1057, byte miss ratio 0.1057
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    12840, 5749960 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns349.oracleGeneral.bin.zst TwoQ cache size       16, 5749960 req, miss ratio 0.6961, byte miss ratio 0.6961
