result/w90.oracleGeneral.bin.zst S3FIFO-1 cache size   236012, 4493515 req, miss ratio 0.1702, byte miss ratio 0.1702
result/w90.oracleGeneral.bin.zst S3FIFO-1 cache size   472024, 4493515 req, miss ratio 0.1338, byte miss ratio 0.1338
result/w90.oracleGeneral.bin.zst FIFO cache size      590, 4493515 req, miss ratio 0.8429, byte miss ratio 0.8429
result/w90.oracleGeneral.bin.zst FIFO cache size     1770, 4493515 req, miss ratio 0.8222, byte miss ratio 0.8222
result/w90.oracleGeneral.bin.zst FIFO cache size     5900, 4493515 req, miss ratio 0.7860, byte miss ratio 0.7860
result/w90.oracleGeneral.bin.zst FIFO cache size    17700, 4493515 req, miss ratio 0.7543, byte miss ratio 0.7543
result/w90.oracleGeneral.bin.zst FIFO cache size    59003, 4493515 req, miss ratio 0.4043, byte miss ratio 0.4043
result/w90.oracleGeneral.bin.zst FIFO cache size   118006, 4493515 req, miss ratio 0.2630, byte miss ratio 0.2630
result/w90.oracleGeneral.bin.zst FIFO cache size   236012, 4493515 req, miss ratio 0.2021, byte miss ratio 0.2021
result/w90.oracleGeneral.bin.zst FIFO cache size   472024, 4493515 req, miss ratio 0.1529, byte miss ratio 0.1529
result/w90.oracleGeneral.bin.zst LIRS cache size      590, 4493515 req, miss ratio 0.8219, byte miss ratio 0.8219
result/w90.oracleGeneral.bin.zst LIRS cache size     1770, 4493515 req, miss ratio 0.8048, byte miss ratio 0.8048
result/w90.oracleGeneral.bin.zst LIRS cache size     5900, 4493515 req, miss ratio 0.7780, byte miss ratio 0.7780
result/w90.oracleGeneral.bin.zst LIRS cache size    17700, 4493515 req, miss ratio 0.7299, byte miss ratio 0.7299
result/w90.oracleGeneral.bin.zst LIRS cache size    59003, 4493515 req, miss ratio 0.2835, byte miss ratio 0.2835
result/w90.oracleGeneral.bin.zst LIRS cache size   118006, 4493515 req, miss ratio 0.2378, byte miss ratio 0.2378
result/w90.oracleGeneral.bin.zst LIRS cache size   236012, 4493515 req, miss ratio 0.1844, byte miss ratio 0.1844
result/w90.oracleGeneral.bin.zst LIRS cache size   472024, 4493515 req, miss ratio 0.1381, byte miss ratio 0.1381
