result/w74.oracleGeneral.bin.zst Clock cache size   118707, 6343762 req, miss ratio 0.0653, byte miss ratio 0.0653
result/w74.oracleGeneral.bin.zst Clock cache size   237414, 6343762 req, miss ratio 0.0474, byte miss ratio 0.0474
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size      296, 6343762 req, miss ratio 0.2548, byte miss ratio 0.2548
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size      890, 6343762 req, miss ratio 0.2226, byte miss ratio 0.2226
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size     2967, 6343762 req, miss ratio 0.2009, byte miss ratio 0.2009
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size     8903, 6343762 req, miss ratio 0.1881, byte miss ratio 0.1881
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size    29676, 6343762 req, miss ratio 0.1504, byte miss ratio 0.1504
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size    59353, 6343762 req, miss ratio 0.0983, byte miss ratio 0.0983
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size   118707, 6343762 req, miss ratio 0.0597, byte miss ratio 0.0597
result/w74.oracleGeneral.bin.zst S3FIFO-1 cache size   237414, 6343762 req, miss ratio 0.0474, byte miss ratio 0.0474
result/w74.oracleGeneral.bin.zst LeCaR cache size      296, 6343762 req, miss ratio 0.2961, byte miss ratio 0.2961
result/w74.oracleGeneral.bin.zst LeCaR cache size      890, 6343762 req, miss ratio 0.2330, byte miss ratio 0.2330
result/w74.oracleGeneral.bin.zst LeCaR cache size     2967, 6343762 req, miss ratio 0.2164, byte miss ratio 0.2164
result/w74.oracleGeneral.bin.zst LeCaR cache size     8903, 6343762 req, miss ratio 0.1924, byte miss ratio 0.1924
result/w74.oracleGeneral.bin.zst LeCaR cache size    29676, 6343762 req, miss ratio 0.1602, byte miss ratio 0.1602
result/w74.oracleGeneral.bin.zst LeCaR cache size    59353, 6343762 req, miss ratio 0.1000, byte miss ratio 0.1000
result/w74.oracleGeneral.bin.zst LeCaR cache size   118707, 6343762 req, miss ratio 0.0589, byte miss ratio 0.0589
result/w74.oracleGeneral.bin.zst LeCaR cache size   237414, 6343762 req, miss ratio 0.0475, byte miss ratio 0.0475
result/w74.oracleGeneral.bin.zst ARC cache size      296, 6343762 req, miss ratio 0.2674, byte miss ratio 0.2674
result/w74.oracleGeneral.bin.zst ARC cache size      890, 6343762 req, miss ratio 0.2263, byte miss ratio 0.2263
result/w74.oracleGeneral.bin.zst ARC cache size     2967, 6343762 req, miss ratio 0.2056, byte miss ratio 0.2056
result/w74.oracleGeneral.bin.zst ARC cache size     8903, 6343762 req, miss ratio 0.1884, byte miss ratio 0.1884
result/w74.oracleGeneral.bin.zst ARC cache size    29676, 6343762 req, miss ratio 0.1489, byte miss ratio 0.1489
result/w74.oracleGeneral.bin.zst ARC cache size    59353, 6343762 req, miss ratio 0.0974, byte miss ratio 0.0974
result/w74.oracleGeneral.bin.zst ARC cache size   118707, 6343762 req, miss ratio 0.0607, byte miss ratio 0.0607
result/w74.oracleGeneral.bin.zst ARC cache size   237414, 6343762 req, miss ratio 0.0474, byte miss ratio 0.0474
result/w74.oracleGeneral.bin.zst clock2 cache size      296, 6343762 req, miss ratio 0.3001, byte miss ratio 0.3001
result/w74.oracleGeneral.bin.zst clock2 cache size      890, 6343762 req, miss ratio 0.2329, byte miss ratio 0.2329
result/w74.oracleGeneral.bin.zst clock2 cache size     2967, 6343762 req, miss ratio 0.2179, byte miss ratio 0.2179
result/w74.oracleGeneral.bin.zst clock2 cache size     8903, 6343762 req, miss ratio 0.1927, byte miss ratio 0.1927
result/w74.oracleGeneral.bin.zst clock2 cache size    29676, 6343762 req, miss ratio 0.1626, byte miss ratio 0.1626
result/w74.oracleGeneral.bin.zst clock2 cache size    59353, 6343762 req, miss ratio 0.1211, byte miss ratio 0.1211
result/w74.oracleGeneral.bin.zst clock2 cache size   118707, 6343762 req, miss ratio 0.0657, byte miss ratio 0.0657
result/w74.oracleGeneral.bin.zst clock2 cache size   237414, 6343762 req, miss ratio 0.0474, byte miss ratio 0.0474
result/w74.oracleGeneral.bin.zst LIRS cache size      296, 6343762 req, miss ratio 0.2789, byte miss ratio 0.2789
result/w74.oracleGeneral.bin.zst LIRS cache size      890, 6343762 req, miss ratio 0.2329, byte miss ratio 0.2329
result/w74.oracleGeneral.bin.zst LIRS cache size     2967, 6343762 req, miss ratio 0.2071, byte miss ratio 0.2071
result/w74.oracleGeneral.bin.zst LIRS cache size     8903, 6343762 req, miss ratio 0.1882, byte miss ratio 0.1882
result/w74.oracleGeneral.bin.zst LIRS cache size    29676, 6343762 req, miss ratio 0.1434, byte miss ratio 0.1434
result/w74.oracleGeneral.bin.zst LIRS cache size    59353, 6343762 req, miss ratio 0.0931, byte miss ratio 0.0931
result/w74.oracleGeneral.bin.zst LIRS cache size   118707, 6343762 req, miss ratio 0.0604, byte miss ratio 0.0604
result/w74.oracleGeneral.bin.zst LIRS cache size   237414, 6343762 req, miss ratio 0.0481, byte miss ratio 0.0481
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size      296, 6343762 req, miss ratio 0.2548, byte miss ratio 0.2548
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size      890, 6343762 req, miss ratio 0.2226, byte miss ratio 0.2226
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size     2967, 6343762 req, miss ratio 0.2008, byte miss ratio 0.2008
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size     8903, 6343762 req, miss ratio 0.1876, byte miss ratio 0.1876
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size    29676, 6343762 req, miss ratio 0.1494, byte miss ratio 0.1494
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size    59353, 6343762 req, miss ratio 0.0984, byte miss ratio 0.0984
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size   118707, 6343762 req, miss ratio 0.0597, byte miss ratio 0.0597
result/w74.oracleGeneral.bin.zst S3FIFO-d-1 cache size   237414, 6343762 req, miss ratio 0.0474, byte miss ratio 0.0474
result/w74.oracleGeneral.bin.zst LRB cache size      296, 6343762 req, miss ratio 0.2579, byte miss ratio 0.2579
result/w74.oracleGeneral.bin.zst LRB cache size      890, 6343762 req, miss ratio 0.2171, byte miss ratio 0.2171
result/w74.oracleGeneral.bin.zst LRB cache size     2967, 6343762 req, miss ratio 0.1995, byte miss ratio 0.1995
result/w74.oracleGeneral.bin.zst LRB cache size     8903, 6343762 req, miss ratio 0.1791, byte miss ratio 0.1791
result/w74.oracleGeneral.bin.zst LRB cache size    29676, 6343762 req, miss ratio 0.1274, byte miss ratio 0.1274
result/w74.oracleGeneral.bin.zst LRB cache size    59353, 6343762 req, miss ratio 0.0945, byte miss ratio 0.0945
result/w74.oracleGeneral.bin.zst LRB cache size   118707, 6343762 req, miss ratio 0.0642, byte miss ratio 0.0642
result/w74.oracleGeneral.bin.zst LRB cache size   237414, 6343762 req, miss ratio 0.0477, byte miss ratio 0.0477
result/w74.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      296, 6343762 req, miss ratio 0.3418, byte miss ratio 0.3418
