result/prn_0.IQI.bin.oracleGeneral.zst LIRS cache size   142277, 5585886 req, miss ratio 0.1648, byte miss ratio 0.1648
result/prn_0.IQI.bin.oracleGeneral.zst LIRS cache size   284554, 5585886 req, miss ratio 0.1361, byte miss ratio 0.1361
result/prn_0.IQI.bin.oracleGeneral.zst LIRS cache size   569108, 5585886 req, miss ratio 0.1288, byte miss ratio 0.1288
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size      711, 5585886 req, miss ratio 0.3800, byte miss ratio 0.3800
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size     2134, 5585886 req, miss ratio 0.3484, byte miss ratio 0.3484
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size     7113, 5585886 req, miss ratio 0.3250, byte miss ratio 0.3250
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size    21341, 5585886 req, miss ratio 0.2940, byte miss ratio 0.2940
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size    71138, 5585886 req, miss ratio 0.2250, byte miss ratio 0.2250
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size   142277, 5585886 req, miss ratio 0.1765, byte miss ratio 0.1765
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size   284554, 5585886 req, miss ratio 0.1344, byte miss ratio 0.1344
result/prn_0.IQI.bin.oracleGeneral.zst LeCaR cache size   569108, 5585886 req, miss ratio 0.1282, byte miss ratio 0.1282
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size      711, 5585886 req, miss ratio 0.3957, byte miss ratio 0.3957
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size     2134, 5585886 req, miss ratio 0.3597, byte miss ratio 0.3597
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size     7113, 5585886 req, miss ratio 0.3339, byte miss ratio 0.3339
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size    21341, 5585886 req, miss ratio 0.3039, byte miss ratio 0.3039
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size    71138, 5585886 req, miss ratio 0.2403, byte miss ratio 0.2403
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size   142277, 5585886 req, miss ratio 0.2036, byte miss ratio 0.2036
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size   284554, 5585886 req, miss ratio 0.1556, byte miss ratio 0.1556
result/prn_0.IQI.bin.oracleGeneral.zst FIFO cache size   569108, 5585886 req, miss ratio 0.1393, byte miss ratio 0.1393
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size      711, 5585886 req, miss ratio 0.3817, byte miss ratio 0.3817
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size     2134, 5585886 req, miss ratio 0.3496, byte miss ratio 0.3496
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size     7113, 5585886 req, miss ratio 0.3268, byte miss ratio 0.3268
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size    21341, 5585886 req, miss ratio 0.2988, byte miss ratio 0.2988
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size    71138, 5585886 req, miss ratio 0.2285, byte miss ratio 0.2285
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size   142277, 5585886 req, miss ratio 0.1815, byte miss ratio 0.1815
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size   284554, 5585886 req, miss ratio 0.1411, byte miss ratio 0.1411
result/prn_0.IQI.bin.oracleGeneral.zst Clock cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size      711, 5585886 req, miss ratio 0.3755, byte miss ratio 0.3755
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     2134, 5585886 req, miss ratio 0.3429, byte miss ratio 0.3429
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     7113, 5585886 req, miss ratio 0.3154, byte miss ratio 0.3154
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    21341, 5585886 req, miss ratio 0.2837, byte miss ratio 0.2837
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    71138, 5585886 req, miss ratio 0.2136, byte miss ratio 0.2136
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   142277, 5585886 req, miss ratio 0.1728, byte miss ratio 0.1728
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   284554, 5585886 req, miss ratio 0.1349, byte miss ratio 0.1349
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size      711, 5585886 req, miss ratio 0.3958, byte miss ratio 0.3958
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size     2134, 5585886 req, miss ratio 0.3476, byte miss ratio 0.3476
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size     7113, 5585886 req, miss ratio 0.3117, byte miss ratio 0.3117
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size    21341, 5585886 req, miss ratio 0.2757, byte miss ratio 0.2757
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size    71138, 5585886 req, miss ratio 0.2136, byte miss ratio 0.2136
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size   142277, 5585886 req, miss ratio 0.1771, byte miss ratio 0.1771
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size   284554, 5585886 req, miss ratio 0.1392, byte miss ratio 0.1392
result/prn_0.IQI.bin.oracleGeneral.zst LRB cache size   569108, 5585886 req, miss ratio 0.1280, byte miss ratio 0.1280
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      711, 5585886 req, miss ratio 0.3849, byte miss ratio 0.3849
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2134, 5585886 req, miss ratio 0.3561, byte miss ratio 0.3561
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7113, 5585886 req, miss ratio 0.3306, byte miss ratio 0.3306
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21341, 5585886 req, miss ratio 0.2962, byte miss ratio 0.2962
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    71138, 5585886 req, miss ratio 0.2346, byte miss ratio 0.2346
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   142277, 5585886 req, miss ratio 0.1947, byte miss ratio 0.1947
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   284554, 5585886 req, miss ratio 0.1528, byte miss ratio 0.1528
result/prn_0.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   569108, 5585886 req, miss ratio 0.1362, byte miss ratio 0.1362
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size      711, 5585886 req, miss ratio 0.4235, byte miss ratio 0.4235
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size     2134, 5585886 req, miss ratio 0.3941, byte miss ratio 0.3941
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size     7113, 5585886 req, miss ratio 0.3713, byte miss ratio 0.3713
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size    21341, 5585886 req, miss ratio 0.3407, byte miss ratio 0.3407
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size    71138, 5585886 req, miss ratio 0.2726, byte miss ratio 0.2726
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size   142277, 5585886 req, miss ratio 0.2214, byte miss ratio 0.2214
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size   284554, 5585886 req, miss ratio 0.2006, byte miss ratio 0.2006
result/prn_0.IQI.bin.oracleGeneral.zst B-LRU cache size   569108, 5585886 req, miss ratio 0.2001, byte miss ratio 0.2001
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size      711, 5585886 req, miss ratio 0.3672, byte miss ratio 0.3672
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size     2134, 5585886 req, miss ratio 0.3335, byte miss ratio 0.3335
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size     7113, 5585886 req, miss ratio 0.3033, byte miss ratio 0.3033
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size    21341, 5585886 req, miss ratio 0.2726, byte miss ratio 0.2726
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size    71138, 5585886 req, miss ratio 0.2139, byte miss ratio 0.2139
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size   142277, 5585886 req, miss ratio 0.1676, byte miss ratio 0.1676
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size   284554, 5585886 req, miss ratio 0.1459, byte miss ratio 0.1459
result/prn_0.IQI.bin.oracleGeneral.zst TwoQ cache size   569108, 5585886 req, miss ratio 0.1393, byte miss ratio 0.1393
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size      711, 5585886 req, miss ratio 0.3869, byte miss ratio 0.3869
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2134, 5585886 req, miss ratio 0.3581, byte miss ratio 0.3581
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7113, 5585886 req, miss ratio 0.3252, byte miss ratio 0.3252
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21341, 5585886 req, miss ratio 0.2962, byte miss ratio 0.2962
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    71138, 5585886 req, miss ratio 0.2222, byte miss ratio 0.2222
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   142277, 5585886 req, miss ratio 0.1799, byte miss ratio 0.1799
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   284554, 5585886 req, miss ratio 0.1349, byte miss ratio 0.1349
result/prn_0.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size      711, 5585886 req, miss ratio 0.3781, byte miss ratio 0.3781
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size     2134, 5585886 req, miss ratio 0.3449, byte miss ratio 0.3449
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size     7113, 5585886 req, miss ratio 0.3160, byte miss ratio 0.3160
result/prn_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    21341, 5585886 req, miss ratio 0.2845, byte miss ratio 0.2845
