result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size      417, 3275316 req, miss ratio 0.5758, byte miss ratio 0.5758
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size     1253, 3275316 req, miss ratio 0.4704, byte miss ratio 0.4704
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size     4177, 3275316 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size    12533, 3275316 req, miss ratio 0.3191, byte miss ratio 0.3191
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size    41779, 3275316 req, miss ratio 0.2584, byte miss ratio 0.2584
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size    83559, 3275316 req, miss ratio 0.2035, byte miss ratio 0.2035
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size   167118, 3275316 req, miss ratio 0.1458, byte miss ratio 0.1458
result/tencentBlock.ns12985.oracleGeneral.zst LHD cache size   334236, 3275316 req, miss ratio 0.1297, byte miss ratio 0.1297
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size      417, 3275316 req, miss ratio 0.5726, byte miss ratio 0.5726
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size     1253, 3275316 req, miss ratio 0.4821, byte miss ratio 0.4821
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size     4177, 3275316 req, miss ratio 0.3589, byte miss ratio 0.3589
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size    12533, 3275316 req, miss ratio 0.3306, byte miss ratio 0.3306
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size    41779, 3275316 req, miss ratio 0.2654, byte miss ratio 0.2654
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size    83559, 3275316 req, miss ratio 0.2319, byte miss ratio 0.2319
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size   167118, 3275316 req, miss ratio 0.1546, byte miss ratio 0.1546
result/tencentBlock.ns12985.oracleGeneral.zst clock2 cache size   334236, 3275316 req, miss ratio 0.1288, byte miss ratio 0.1288
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size      417, 3275316 req, miss ratio 0.5808, byte miss ratio 0.5808
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size     1253, 3275316 req, miss ratio 0.4888, byte miss ratio 0.4888
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size     4177, 3275316 req, miss ratio 0.3752, byte miss ratio 0.3752
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size    12533, 3275316 req, miss ratio 0.3303, byte miss ratio 0.3303
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size    41779, 3275316 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size    83559, 3275316 req, miss ratio 0.2065, byte miss ratio 0.2065
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size   167118, 3275316 req, miss ratio 0.1467, byte miss ratio 0.1467
result/tencentBlock.ns12985.oracleGeneral.zst LRU cache size   334236, 3275316 req, miss ratio 0.1291, byte miss ratio 0.1291
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size      417, 3275316 req, miss ratio 0.6683, byte miss ratio 0.6683
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size     1253, 3275316 req, miss ratio 0.5328, byte miss ratio 0.5328
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size     4177, 3275316 req, miss ratio 0.4218, byte miss ratio 0.4218
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size    12533, 3275316 req, miss ratio 0.3552, byte miss ratio 0.3552
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size    41779, 3275316 req, miss ratio 0.2780, byte miss ratio 0.2780
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size    83559, 3275316 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size   167118, 3275316 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns12985.oracleGeneral.zst FIFO cache size   334236, 3275316 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size      417, 3275316 req, miss ratio 0.5754, byte miss ratio 0.5754
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size     1253, 3275316 req, miss ratio 0.4859, byte miss ratio 0.4859
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size     4177, 3275316 req, miss ratio 0.3615, byte miss ratio 0.3615
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size    12533, 3275316 req, miss ratio 0.3299, byte miss ratio 0.3299
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size    41779, 3275316 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size    83559, 3275316 req, miss ratio 0.2013, byte miss ratio 0.2013
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size   167118, 3275316 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns12985.oracleGeneral.zst LeCaR cache size   334236, 3275316 req, miss ratio 0.1290, byte miss ratio 0.1290
result/tencentBlock.ns12985.oracleGeneral.zst LIRS cache size      417, 3275316 req, miss ratio 0.5855, byte miss ratio 0.5855
result/tencentBlock.ns12985.oracleGeneral.zst LIRS cache size     1253, 3275316 req, miss ratio 0.4422, byte miss ratio 0.4422
result/tencentBlock.ns12985.oracleGeneral.zst LIRS cache size     4177, 3275316 req, miss ratio 0.3665, byte miss ratio 0.3665
result/tencentBlock.ns12985.oracleGeneral.zst LIRS cache size    12533, 3275316 req, miss ratio 0.3194, byte miss ratio 0.3194
result/tencentBlock.ns12985.oracleGeneral.zst LIRS cache size    41779, 3275316 req, miss ratio 0.2705, byte miss ratio 0.2705
result/tencentBlock.ns12985.oracleGeneral.zst LIRS cache size    83559, 3275316 req, miss ratio 0.2182, byte miss ratio 0.2182
