result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size     3418, 26074680 req, miss ratio 0.5191, byte miss ratio 0.5191
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size    10256, 26074680 req, miss ratio 0.3990, byte miss ratio 0.3990
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size    34189, 26074680 req, miss ratio 0.3451, byte miss ratio 0.3451
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size   102567, 26074680 req, miss ratio 0.3268, byte miss ratio 0.3268
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size   341892, 26074680 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size   683784, 26074680 req, miss ratio 0.2606, byte miss ratio 0.2606
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size  1367569, 26074680 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns20699.oracleGeneral.zst Clock cache size  2735138, 26074680 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size     3418, 26074680 req, miss ratio 0.5085, byte miss ratio 0.5085
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size    10256, 26074680 req, miss ratio 0.4331, byte miss ratio 0.4331
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size    34189, 26074680 req, miss ratio 0.3793, byte miss ratio 0.3793
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size   102567, 26074680 req, miss ratio 0.3341, byte miss ratio 0.3341
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size   341892, 26074680 req, miss ratio 0.2901, byte miss ratio 0.2901
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size   683784, 26074680 req, miss ratio 0.2411, byte miss ratio 0.2411
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size  1367569, 26074680 req, miss ratio 0.1808, byte miss ratio 0.1808
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-1 cache size  2735138, 26074680 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size     3418, 26074680 req, miss ratio 0.5172, byte miss ratio 0.5172
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size    10256, 26074680 req, miss ratio 0.3993, byte miss ratio 0.3993
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size    34189, 26074680 req, miss ratio 0.3446, byte miss ratio 0.3446
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size   102567, 26074680 req, miss ratio 0.3245, byte miss ratio 0.3245
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size   341892, 26074680 req, miss ratio 0.2945, byte miss ratio 0.2945
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size   683784, 26074680 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size  1367569, 26074680 req, miss ratio 0.1800, byte miss ratio 0.1800
result/tencentBlock.ns20699.oracleGeneral.zst LeCaR cache size  2735138, 26074680 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size     3418, 26074680 req, miss ratio 0.5029, byte miss ratio 0.5029
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size    10256, 26074680 req, miss ratio 0.4020, byte miss ratio 0.4020
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size    34189, 26074680 req, miss ratio 0.3450, byte miss ratio 0.3450
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size   102567, 26074680 req, miss ratio 0.3270, byte miss ratio 0.3270
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size   341892, 26074680 req, miss ratio 0.3014, byte miss ratio 0.3014
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size   683784, 26074680 req, miss ratio 0.2599, byte miss ratio 0.2599
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size  1367569, 26074680 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencentBlock.ns20699.oracleGeneral.zst clock2 cache size  2735138, 26074680 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size     3418, 26074680 req, miss ratio 0.4946, byte miss ratio 0.4946
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size    10256, 26074680 req, miss ratio 0.4022, byte miss ratio 0.4022
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size    34189, 26074680 req, miss ratio 0.3450, byte miss ratio 0.3450
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size   102567, 26074680 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size   341892, 26074680 req, miss ratio 0.2926, byte miss ratio 0.2926
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size   683784, 26074680 req, miss ratio 0.2429, byte miss ratio 0.2429
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size  1367569, 26074680 req, miss ratio 0.1905, byte miss ratio 0.1905
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d-1 cache size  2735138, 26074680 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size     3418, 26074680 req, miss ratio 0.5409, byte miss ratio 0.5409
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size    10256, 26074680 req, miss ratio 0.4473, byte miss ratio 0.4473
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size    34189, 26074680 req, miss ratio 0.4001, byte miss ratio 0.4001
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size   102567, 26074680 req, miss ratio 0.3496, byte miss ratio 0.3496
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size   341892, 26074680 req, miss ratio 0.2796, byte miss ratio 0.2796
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size   683784, 26074680 req, miss ratio 0.2371, byte miss ratio 0.2371
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size  1367569, 26074680 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns20699.oracleGeneral.zst LRB cache size  2735138, 26074680 req, miss ratio 0.1378, byte miss ratio 0.1378
