result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size      107, 5472270 req, miss ratio 0.7214, byte miss ratio 0.7214
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size      321, 5472270 req, miss ratio 0.6529, byte miss ratio 0.6529
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size     1070, 5472270 req, miss ratio 0.6339, byte miss ratio 0.6339
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size     3210, 5472270 req, miss ratio 0.6079, byte miss ratio 0.6079
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size    10700, 5472270 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size    21400, 5472270 req, miss ratio 0.0553, byte miss ratio 0.0553
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size    42800, 5472270 req, miss ratio 0.0303, byte miss ratio 0.0303
result/tencentBlock.ns3324.oracleGeneral.zst LeCaR cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size      107, 5472270 req, miss ratio 0.6907, byte miss ratio 0.6907
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size      321, 5472270 req, miss ratio 0.6447, byte miss ratio 0.6447
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size     1070, 5472270 req, miss ratio 0.6098, byte miss ratio 0.6098
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size     3210, 5472270 req, miss ratio 0.5948, byte miss ratio 0.5948
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size    10700, 5472270 req, miss ratio 0.1073, byte miss ratio 0.1073
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size    21400, 5472270 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size    42800, 5472270 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tencentBlock.ns3324.oracleGeneral.zst LIRS cache size    85600, 5472270 req, miss ratio 0.0200, byte miss ratio 0.0200
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size      107, 5472270 req, miss ratio 0.7068, byte miss ratio 0.7068
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size      321, 5472270 req, miss ratio 0.6530, byte miss ratio 0.6530
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size     1070, 5472270 req, miss ratio 0.6276, byte miss ratio 0.6276
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size     3210, 5472270 req, miss ratio 0.5354, byte miss ratio 0.5354
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size    10700, 5472270 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size    21400, 5472270 req, miss ratio 0.0568, byte miss ratio 0.0568
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size    42800, 5472270 req, miss ratio 0.0314, byte miss ratio 0.0314
result/tencentBlock.ns3324.oracleGeneral.zst LHD cache size    85600, 5472270 req, miss ratio 0.0201, byte miss ratio 0.0201
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size      107, 5472270 req, miss ratio 0.7251, byte miss ratio 0.7251
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size      321, 5472270 req, miss ratio 0.6537, byte miss ratio 0.6537
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size     1070, 5472270 req, miss ratio 0.6353, byte miss ratio 0.6353
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size     3210, 5472270 req, miss ratio 0.6258, byte miss ratio 0.6258
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size    10700, 5472270 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size    21400, 5472270 req, miss ratio 0.0940, byte miss ratio 0.0940
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size    42800, 5472270 req, miss ratio 0.0321, byte miss ratio 0.0321
result/tencentBlock.ns3324.oracleGeneral.zst clock2 cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size      107, 5472270 req, miss ratio 0.7132, byte miss ratio 0.7132
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size      321, 5472270 req, miss ratio 0.6445, byte miss ratio 0.6445
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size     1070, 5472270 req, miss ratio 0.6173, byte miss ratio 0.6173
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size     3210, 5472270 req, miss ratio 0.5301, byte miss ratio 0.5301
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size    10700, 5472270 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size    21400, 5472270 req, miss ratio 0.0558, byte miss ratio 0.0558
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size    42800, 5472270 req, miss ratio 0.0308, byte miss ratio 0.0308
result/tencentBlock.ns3324.oracleGeneral.zst Cacheus cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size      107, 5472270 req, miss ratio 0.7310, byte miss ratio 0.7310
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size      321, 5472270 req, miss ratio 0.6556, byte miss ratio 0.6556
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size     1070, 5472270 req, miss ratio 0.6362, byte miss ratio 0.6362
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size     3210, 5472270 req, miss ratio 0.6294, byte miss ratio 0.6294
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size    10700, 5472270 req, miss ratio 0.1718, byte miss ratio 0.1718
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size    21400, 5472270 req, miss ratio 0.0625, byte miss ratio 0.0625
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size    42800, 5472270 req, miss ratio 0.0321, byte miss ratio 0.0321
result/tencentBlock.ns3324.oracleGeneral.zst LRU cache size    85600, 5472270 req, miss ratio 0.0200, byte miss ratio 0.0200
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size      107, 5472270 req, miss ratio 0.7000, byte miss ratio 0.7000
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size      321, 5472270 req, miss ratio 0.6403, byte miss ratio 0.6403
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size     1070, 5472270 req, miss ratio 0.6074, byte miss ratio 0.6074
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size     3210, 5472270 req, miss ratio 0.5936, byte miss ratio 0.5936
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size    10700, 5472270 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size    21400, 5472270 req, miss ratio 0.0549, byte miss ratio 0.0549
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size    42800, 5472270 req, miss ratio 0.0303, byte miss ratio 0.0303
result/tencentBlock.ns3324.oracleGeneral.zst ARC cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size      107, 5472270 req, miss ratio 0.6977, byte miss ratio 0.6977
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size      321, 5472270 req, miss ratio 0.6402, byte miss ratio 0.6402
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size     1070, 5472270 req, miss ratio 0.6084, byte miss ratio 0.6084
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size     3210, 5472270 req, miss ratio 0.5922, byte miss ratio 0.5922
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size    10700, 5472270 req, miss ratio 0.1175, byte miss ratio 0.1175
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size    21400, 5472270 req, miss ratio 0.0545, byte miss ratio 0.0545
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size    42800, 5472270 req, miss ratio 0.0300, byte miss ratio 0.0300
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-1 cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size      107, 5472270 req, miss ratio 0.7599, byte miss ratio 0.7599
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size      321, 5472270 req, miss ratio 0.6730, byte miss ratio 0.6730
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size     1070, 5472270 req, miss ratio 0.6422, byte miss ratio 0.6422
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size     3210, 5472270 req, miss ratio 0.6308, byte miss ratio 0.6308
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size    10700, 5472270 req, miss ratio 0.2337, byte miss ratio 0.2337
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size    21400, 5472270 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size    42800, 5472270 req, miss ratio 0.0456, byte miss ratio 0.0456
result/tencentBlock.ns3324.oracleGeneral.zst FIFO cache size    85600, 5472270 req, miss ratio 0.0236, byte miss ratio 0.0236
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size      107, 5472270 req, miss ratio 0.7275, byte miss ratio 0.7275
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size      321, 5472270 req, miss ratio 0.6547, byte miss ratio 0.6547
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size     1070, 5472270 req, miss ratio 0.6362, byte miss ratio 0.6362
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size     3210, 5472270 req, miss ratio 0.6285, byte miss ratio 0.6285
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size    10700, 5472270 req, miss ratio 0.1656, byte miss ratio 0.1656
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size    21400, 5472270 req, miss ratio 0.0619, byte miss ratio 0.0619
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size    42800, 5472270 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tencentBlock.ns3324.oracleGeneral.zst Clock cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size      107, 5472270 req, miss ratio 0.6930, byte miss ratio 0.6930
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size      321, 5472270 req, miss ratio 0.6399, byte miss ratio 0.6399
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size     1070, 5472270 req, miss ratio 0.6085, byte miss ratio 0.6085
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size     3210, 5472270 req, miss ratio 0.5921, byte miss ratio 0.5921
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size    10700, 5472270 req, miss ratio 0.1125, byte miss ratio 0.1125
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size    21400, 5472270 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size    42800, 5472270 req, miss ratio 0.0300, byte miss ratio 0.0300
result/tencentBlock.ns3324.oracleGeneral.zst S3FIFO-d-1 cache size    85600, 5472270 req, miss ratio 0.0198, byte miss ratio 0.0198
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size      107, 5472270 req, miss ratio 0.7260, byte miss ratio 0.7260
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size      321, 5472270 req, miss ratio 0.6493, byte miss ratio 0.6493
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size     1070, 5472270 req, miss ratio 0.5919, byte miss ratio 0.5919
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size     3210, 5472270 req, miss ratio 0.4454, byte miss ratio 0.4454
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size    10700, 5472270 req, miss ratio 0.1052, byte miss ratio 0.1052
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size    21400, 5472270 req, miss ratio 0.0492, byte miss ratio 0.0492
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size    42800, 5472270 req, miss ratio 0.0330, byte miss ratio 0.0330
result/tencentBlock.ns3324.oracleGeneral.zst LRB cache size    85600, 5472270 req, miss ratio 0.0209, byte miss ratio 0.0209
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      107, 5472270 req, miss ratio 0.7486, byte miss ratio 0.7486
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      321, 5472270 req, miss ratio 0.6601, byte miss ratio 0.6601
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1070, 5472270 req, miss ratio 0.6382, byte miss ratio 0.6382
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3210, 5472270 req, miss ratio 0.5487, byte miss ratio 0.5487
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10700, 5472270 req, miss ratio 0.2281, byte miss ratio 0.2281
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21400, 5472270 req, miss ratio 0.1002, byte miss ratio 0.1002
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    42800, 5472270 req, miss ratio 0.0452, byte miss ratio 0.0452
result/tencentBlock.ns3324.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    85600, 5472270 req, miss ratio 0.0234, byte miss ratio 0.0234
result/tencentBlock.ns3324.oracleGeneral.zst TwoQ cache size      107, 5472270 req, miss ratio 0.7004, byte miss ratio 0.7004
result/tencentBlock.ns3324.oracleGeneral.zst TwoQ cache size      321, 5472270 req, miss ratio 0.6426, byte miss ratio 0.6426
result/tencentBlock.ns3324.oracleGeneral.zst TwoQ cache size     1070, 5472270 req, miss ratio 0.6098, byte miss ratio 0.6098
result/tencentBlock.ns3324.oracleGeneral.zst TwoQ cache size     3210, 5472270 req, miss ratio 0.6038, byte miss ratio 0.6038
result/tencentBlock.ns3324.oracleGeneral.zst TwoQ cache size    10700, 5472270 req, miss ratio 0.1171, byte miss ratio 0.1171
