result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size      273, 1708497 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size      820, 1708497 req, miss ratio 0.4585, byte miss ratio 0.4585
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size     2736, 1708497 req, miss ratio 0.4561, byte miss ratio 0.4561
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size     8209, 1708497 req, miss ratio 0.4550, byte miss ratio 0.4550
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size    27363, 1708497 req, miss ratio 0.3973, byte miss ratio 0.3973
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size    54727, 1708497 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size   109454, 1708497 req, miss ratio 0.2106, byte miss ratio 0.2106
result/tencentBlock.ns18899.oracleGeneral.zst Clock cache size   218909, 1708497 req, miss ratio 0.1617, byte miss ratio 0.1617
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size      273, 1708497 req, miss ratio 0.4629, byte miss ratio 0.4629
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size      820, 1708497 req, miss ratio 0.4584, byte miss ratio 0.4584
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size     2736, 1708497 req, miss ratio 0.4560, byte miss ratio 0.4560
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size     8209, 1708497 req, miss ratio 0.4549, byte miss ratio 0.4549
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size    27363, 1708497 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size    54727, 1708497 req, miss ratio 0.3420, byte miss ratio 0.3420
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size   109454, 1708497 req, miss ratio 0.1924, byte miss ratio 0.1924
result/tencentBlock.ns18899.oracleGeneral.zst LeCaR cache size   218909, 1708497 req, miss ratio 0.1617, byte miss ratio 0.1617
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size      273, 1708497 req, miss ratio 0.4656, byte miss ratio 0.4656
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size      820, 1708497 req, miss ratio 0.4583, byte miss ratio 0.4583
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size     2736, 1708497 req, miss ratio 0.4557, byte miss ratio 0.4557
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size     8209, 1708497 req, miss ratio 0.4450, byte miss ratio 0.4450
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size    27363, 1708497 req, miss ratio 0.3839, byte miss ratio 0.3839
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size    54727, 1708497 req, miss ratio 0.3116, byte miss ratio 0.3116
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size   109454, 1708497 req, miss ratio 0.1909, byte miss ratio 0.1909
result/tencentBlock.ns18899.oracleGeneral.zst LHD cache size   218909, 1708497 req, miss ratio 0.1629, byte miss ratio 0.1629
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size      273, 1708497 req, miss ratio 0.5476, byte miss ratio 0.5476
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size      820, 1708497 req, miss ratio 0.4801, byte miss ratio 0.4801
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size     2736, 1708497 req, miss ratio 0.4587, byte miss ratio 0.4587
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size     8209, 1708497 req, miss ratio 0.4487, byte miss ratio 0.4487
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size    27363, 1708497 req, miss ratio 0.3787, byte miss ratio 0.3787
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size    54727, 1708497 req, miss ratio 0.3026, byte miss ratio 0.3026
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size   109454, 1708497 req, miss ratio 0.1892, byte miss ratio 0.1892
result/tencentBlock.ns18899.oracleGeneral.zst LIRS cache size   218909, 1708497 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size      273, 1708497 req, miss ratio 0.4598, byte miss ratio 0.4598
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size      820, 1708497 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size     2736, 1708497 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size     8209, 1708497 req, miss ratio 0.4504, byte miss ratio 0.4504
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size    27363, 1708497 req, miss ratio 0.3982, byte miss ratio 0.3982
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size    54727, 1708497 req, miss ratio 0.3168, byte miss ratio 0.3168
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size   109454, 1708497 req, miss ratio 0.2073, byte miss ratio 0.2073
result/tencentBlock.ns18899.oracleGeneral.zst Cacheus cache size   218909, 1708497 req, miss ratio 0.1613, byte miss ratio 0.1613
result/tencentBlock.ns18899.oracleGeneral.zst FIFO cache size      273, 1708497 req, miss ratio 0.5119, byte miss ratio 0.5119
result/tencentBlock.ns18899.oracleGeneral.zst FIFO cache size      820, 1708497 req, miss ratio 0.4764, byte miss ratio 0.4764
result/tencentBlock.ns18899.oracleGeneral.zst FIFO cache size     2736, 1708497 req, miss ratio 0.4619, byte miss ratio 0.4619
result/tencentBlock.ns18899.oracleGeneral.zst FIFO cache size     8209, 1708497 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns18899.oracleGeneral.zst FIFO cache size    27363, 1708497 req, miss ratio 0.4130, byte miss ratio 0.4130
