result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size      158, 1306770 req, miss ratio 0.5295, byte miss ratio 0.5295
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size      475, 1306770 req, miss ratio 0.4569, byte miss ratio 0.4569
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size     1585, 1306770 req, miss ratio 0.2885, byte miss ratio 0.2885
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size     4755, 1306770 req, miss ratio 0.2496, byte miss ratio 0.2496
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size    15852, 1306770 req, miss ratio 0.2082, byte miss ratio 0.2082
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size    31705, 1306770 req, miss ratio 0.1728, byte miss ratio 0.1728
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size    63411, 1306770 req, miss ratio 0.1435, byte miss ratio 0.1435
result/tencentBlock.ns11514.oracleGeneral.zst ARC cache size   126823, 1306770 req, miss ratio 0.1221, byte miss ratio 0.1221
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size      158, 1306770 req, miss ratio 0.5383, byte miss ratio 0.5383
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size      475, 1306770 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size     1585, 1306770 req, miss ratio 0.3039, byte miss ratio 0.3039
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size     4755, 1306770 req, miss ratio 0.2542, byte miss ratio 0.2542
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size    15852, 1306770 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size    31705, 1306770 req, miss ratio 0.1815, byte miss ratio 0.1815
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size    63411, 1306770 req, miss ratio 0.1521, byte miss ratio 0.1521
result/tencentBlock.ns11514.oracleGeneral.zst LIRS cache size   126823, 1306770 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns11514.oracleGeneral.zst Clock cache size      158, 1306770 req, miss ratio 0.6107, byte miss ratio 0.6107
result/tencentBlock.ns11514.oracleGeneral.zst Clock cache size      475, 1306770 req, miss ratio 0.4628, byte miss ratio 0.4628
result/tencentBlock.ns11514.oracleGeneral.zst Clock cache size     1585, 1306770 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns11514.oracleGeneral.zst Clock cache size     4755, 1306770 req, miss ratio 0.2551, byte miss ratio 0.2551
result/tencentBlock.ns11514.oracleGeneral.zst Clock cache size    15852, 1306770 req, miss ratio 0.2169, byte miss ratio 0.2169
