result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size      174, 1112579 req, miss ratio 0.5799, byte miss ratio 0.5799
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size      522, 1112579 req, miss ratio 0.5160, byte miss ratio 0.5160
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size     1741, 1112579 req, miss ratio 0.4925, byte miss ratio 0.4925
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size     5224, 1112579 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size    17415, 1112579 req, miss ratio 0.4445, byte miss ratio 0.4445
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size    34831, 1112579 req, miss ratio 0.4180, byte miss ratio 0.4180
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size    69662, 1112579 req, miss ratio 0.2743, byte miss ratio 0.2743
result/tencentBlock.ns21436.oracleGeneral.zst FIFO cache size   139324, 1112579 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size      174, 1112579 req, miss ratio 0.4961, byte miss ratio 0.4961
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size      522, 1112579 req, miss ratio 0.4853, byte miss ratio 0.4853
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size     1741, 1112579 req, miss ratio 0.4824, byte miss ratio 0.4824
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size     5224, 1112579 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size    17415, 1112579 req, miss ratio 0.4797, byte miss ratio 0.4797
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size    34831, 1112579 req, miss ratio 0.4225, byte miss ratio 0.4225
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size    69662, 1112579 req, miss ratio 0.2863, byte miss ratio 0.2863
result/tencentBlock.ns21436.oracleGeneral.zst clock2 cache size   139324, 1112579 req, miss ratio 0.1576, byte miss ratio 0.1576
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size      174, 1112579 req, miss ratio 0.4873, byte miss ratio 0.4873
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size      522, 1112579 req, miss ratio 0.4831, byte miss ratio 0.4831
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size     1741, 1112579 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size     5224, 1112579 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size    17415, 1112579 req, miss ratio 0.4508, byte miss ratio 0.4508
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size    34831, 1112579 req, miss ratio 0.4099, byte miss ratio 0.4099
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size    69662, 1112579 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns21436.oracleGeneral.zst Cacheus cache size   139324, 1112579 req, miss ratio 0.1582, byte miss ratio 0.1582
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size      174, 1112579 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size      522, 1112579 req, miss ratio 0.4846, byte miss ratio 0.4846
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size     1741, 1112579 req, miss ratio 0.4825, byte miss ratio 0.4825
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size     5224, 1112579 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size    17415, 1112579 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size    34831, 1112579 req, miss ratio 0.3996, byte miss ratio 0.3996
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size    69662, 1112579 req, miss ratio 0.2370, byte miss ratio 0.2370
result/tencentBlock.ns21436.oracleGeneral.zst LeCaR cache size   139324, 1112579 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size      174, 1112579 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size      522, 1112579 req, miss ratio 0.4827, byte miss ratio 0.4827
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size     1741, 1112579 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size     5224, 1112579 req, miss ratio 0.4806, byte miss ratio 0.4806
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size    17415, 1112579 req, miss ratio 0.4348, byte miss ratio 0.4348
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size    34831, 1112579 req, miss ratio 0.3878, byte miss ratio 0.3878
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size    69662, 1112579 req, miss ratio 0.2436, byte miss ratio 0.2436
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d-1 cache size   139324, 1112579 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size      174, 1112579 req, miss ratio 0.5304, byte miss ratio 0.5304
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size      522, 1112579 req, miss ratio 0.5008, byte miss ratio 0.5008
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size     1741, 1112579 req, miss ratio 0.4831, byte miss ratio 0.4831
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size     5224, 1112579 req, miss ratio 0.4630, byte miss ratio 0.4630
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size    17415, 1112579 req, miss ratio 0.4085, byte miss ratio 0.4085
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size    34831, 1112579 req, miss ratio 0.3309, byte miss ratio 0.3309
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size    69662, 1112579 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns21436.oracleGeneral.zst LRB cache size   139324, 1112579 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size      174, 1112579 req, miss ratio 0.4909, byte miss ratio 0.4909
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size      522, 1112579 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1741, 1112579 req, miss ratio 0.4818, byte miss ratio 0.4818
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5224, 1112579 req, miss ratio 0.4797, byte miss ratio 0.4797
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17415, 1112579 req, miss ratio 0.4600, byte miss ratio 0.4600
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34831, 1112579 req, miss ratio 0.4182, byte miss ratio 0.4182
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size    69662, 1112579 req, miss ratio 0.2863, byte miss ratio 0.2863
result/tencentBlock.ns21436.oracleGeneral.zst S4LRU(25:25:25:25) cache size   139324, 1112579 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      174, 1112579 req, miss ratio 0.5072, byte miss ratio 0.5072
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      522, 1112579 req, miss ratio 0.4869, byte miss ratio 0.4869
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1741, 1112579 req, miss ratio 0.4828, byte miss ratio 0.4828
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5224, 1112579 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17415, 1112579 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34831, 1112579 req, miss ratio 0.4248, byte miss ratio 0.4248
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    69662, 1112579 req, miss ratio 0.3127, byte miss ratio 0.3127
result/tencentBlock.ns21436.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   139324, 1112579 req, miss ratio 0.1777, byte miss ratio 0.1777
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size      174, 1112579 req, miss ratio 0.4890, byte miss ratio 0.4890
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size      522, 1112579 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size     1741, 1112579 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size     5224, 1112579 req, miss ratio 0.4809, byte miss ratio 0.4809
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size    17415, 1112579 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size    34831, 1112579 req, miss ratio 0.3486, byte miss ratio 0.3486
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size    69662, 1112579 req, miss ratio 0.2319, byte miss ratio 0.2319
result/tencentBlock.ns21436.oracleGeneral.zst TwoQ cache size   139324, 1112579 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size      174, 1112579 req, miss ratio 0.5612, byte miss ratio 0.5612
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size      522, 1112579 req, miss ratio 0.5499, byte miss ratio 0.5499
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size     1741, 1112579 req, miss ratio 0.5479, byte miss ratio 0.5479
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size     5224, 1112579 req, miss ratio 0.5463, byte miss ratio 0.5463
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size    17415, 1112579 req, miss ratio 0.5027, byte miss ratio 0.5027
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size    34831, 1112579 req, miss ratio 0.4752, byte miss ratio 0.4752
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size    69662, 1112579 req, miss ratio 0.3231, byte miss ratio 0.3231
result/tencentBlock.ns21436.oracleGeneral.zst B-LRU cache size   139324, 1112579 req, miss ratio 0.2821, byte miss ratio 0.2821
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size      174, 1112579 req, miss ratio 0.4902, byte miss ratio 0.4902
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size      522, 1112579 req, miss ratio 0.4845, byte miss ratio 0.4845
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size     1741, 1112579 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size     5224, 1112579 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size    17415, 1112579 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size    34831, 1112579 req, miss ratio 0.3702, byte miss ratio 0.3702
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size    69662, 1112579 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO cache size   139324, 1112579 req, miss ratio 0.1594, byte miss ratio 0.1594
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size      174, 1112579 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size      522, 1112579 req, miss ratio 0.4832, byte miss ratio 0.4832
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size     1741, 1112579 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size     5224, 1112579 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size    17415, 1112579 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size    34831, 1112579 req, miss ratio 0.3641, byte miss ratio 0.3641
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size    69662, 1112579 req, miss ratio 0.2454, byte miss ratio 0.2454
result/tencentBlock.ns21436.oracleGeneral.zst S3FIFO-d cache size   139324, 1112579 req, miss ratio 0.1594, byte miss ratio 0.1594
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      174, 1112579 req, miss ratio 0.6399, byte miss ratio 0.6399
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      522, 1112579 req, miss ratio 0.6107, byte miss ratio 0.6107
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1741, 1112579 req, miss ratio 0.5033, byte miss ratio 0.5033
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5224, 1112579 req, miss ratio 0.4542, byte miss ratio 0.4542
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17415, 1112579 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34831, 1112579 req, miss ratio 0.3160, byte miss ratio 0.3160
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    69662, 1112579 req, miss ratio 0.1912, byte miss ratio 0.1912
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   139324, 1112579 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      174, 1112579 req, miss ratio 0.5080, byte miss ratio 0.5080
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      522, 1112579 req, miss ratio 0.4832, byte miss ratio 0.4832
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1741, 1112579 req, miss ratio 0.4736, byte miss ratio 0.4736
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5224, 1112579 req, miss ratio 0.4544, byte miss ratio 0.4544
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17415, 1112579 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34831, 1112579 req, miss ratio 0.3276, byte miss ratio 0.3276
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    69662, 1112579 req, miss ratio 0.2034, byte miss ratio 0.2034
result/tencentBlock.ns21436.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   139324, 1112579 req, miss ratio 0.1692, byte miss ratio 0.1692
