result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size      261, 1280836 req, miss ratio 0.5599, byte miss ratio 0.5599
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size      784, 1280836 req, miss ratio 0.5558, byte miss ratio 0.5558
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size     2615, 1280836 req, miss ratio 0.5538, byte miss ratio 0.5538
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size     7847, 1280836 req, miss ratio 0.5528, byte miss ratio 0.5528
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size    26157, 1280836 req, miss ratio 0.4757, byte miss ratio 0.4757
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size    52315, 1280836 req, miss ratio 0.3855, byte miss ratio 0.3855
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size   104631, 1280836 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns9589.oracleGeneral.zst ARC cache size   209263, 1280836 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size      261, 1280836 req, miss ratio 0.5659, byte miss ratio 0.5659
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size      784, 1280836 req, miss ratio 0.5570, byte miss ratio 0.5570
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size     2615, 1280836 req, miss ratio 0.5539, byte miss ratio 0.5539
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size     7847, 1280836 req, miss ratio 0.5518, byte miss ratio 0.5518
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size    26157, 1280836 req, miss ratio 0.4948, byte miss ratio 0.4948
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size    52315, 1280836 req, miss ratio 0.4424, byte miss ratio 0.4424
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size   104631, 1280836 req, miss ratio 0.2588, byte miss ratio 0.2588
result/tencentBlock.ns9589.oracleGeneral.zst clock2 cache size   209263, 1280836 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size      261, 1280836 req, miss ratio 0.5682, byte miss ratio 0.5682
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size      784, 1280836 req, miss ratio 0.5578, byte miss ratio 0.5578
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size     2615, 1280836 req, miss ratio 0.5535, byte miss ratio 0.5535
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size     7847, 1280836 req, miss ratio 0.5490, byte miss ratio 0.5490
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size    26157, 1280836 req, miss ratio 0.4856, byte miss ratio 0.4856
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size    52315, 1280836 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size   104631, 1280836 req, miss ratio 0.2586, byte miss ratio 0.2586
result/tencentBlock.ns9589.oracleGeneral.zst LHD cache size   209263, 1280836 req, miss ratio 0.2068, byte miss ratio 0.2068
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size      261, 1280836 req, miss ratio 0.6320, byte miss ratio 0.6320
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size      784, 1280836 req, miss ratio 0.5830, byte miss ratio 0.5830
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size     2615, 1280836 req, miss ratio 0.5621, byte miss ratio 0.5621
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size     7847, 1280836 req, miss ratio 0.5552, byte miss ratio 0.5552
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size    26157, 1280836 req, miss ratio 0.5078, byte miss ratio 0.5078
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size    52315, 1280836 req, miss ratio 0.4345, byte miss ratio 0.4345
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size   104631, 1280836 req, miss ratio 0.3091, byte miss ratio 0.3091
result/tencentBlock.ns9589.oracleGeneral.zst FIFO cache size   209263, 1280836 req, miss ratio 0.2315, byte miss ratio 0.2315
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size      261, 1280836 req, miss ratio 0.6298, byte miss ratio 0.6298
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size      784, 1280836 req, miss ratio 0.6134, byte miss ratio 0.6134
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size     2615, 1280836 req, miss ratio 0.5640, byte miss ratio 0.5640
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size     7847, 1280836 req, miss ratio 0.5437, byte miss ratio 0.5437
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size    26157, 1280836 req, miss ratio 0.4628, byte miss ratio 0.4628
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size    52315, 1280836 req, miss ratio 0.3695, byte miss ratio 0.3695
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size   104631, 1280836 req, miss ratio 0.2381, byte miss ratio 0.2381
result/tencentBlock.ns9589.oracleGeneral.zst LIRS cache size   209263, 1280836 req, miss ratio 0.2054, byte miss ratio 0.2054
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size      261, 1280836 req, miss ratio 0.5659, byte miss ratio 0.5659
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size      784, 1280836 req, miss ratio 0.5577, byte miss ratio 0.5577
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size     2615, 1280836 req, miss ratio 0.5539, byte miss ratio 0.5539
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size     7847, 1280836 req, miss ratio 0.5519, byte miss ratio 0.5519
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size    26157, 1280836 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size    52315, 1280836 req, miss ratio 0.4399, byte miss ratio 0.4399
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size   104631, 1280836 req, miss ratio 0.2466, byte miss ratio 0.2466
result/tencentBlock.ns9589.oracleGeneral.zst LeCaR cache size   209263, 1280836 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size      261, 1280836 req, miss ratio 0.5595, byte miss ratio 0.5595
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size      784, 1280836 req, miss ratio 0.5559, byte miss ratio 0.5559
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size     2615, 1280836 req, miss ratio 0.5534, byte miss ratio 0.5534
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size     7847, 1280836 req, miss ratio 0.5515, byte miss ratio 0.5515
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size    26157, 1280836 req, miss ratio 0.4871, byte miss ratio 0.4871
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size    52315, 1280836 req, miss ratio 0.4019, byte miss ratio 0.4019
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size   104631, 1280836 req, miss ratio 0.2468, byte miss ratio 0.2468
result/tencentBlock.ns9589.oracleGeneral.zst Cacheus cache size   209263, 1280836 req, miss ratio 0.2067, byte miss ratio 0.2067
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size      261, 1280836 req, miss ratio 0.5688, byte miss ratio 0.5688
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size      784, 1280836 req, miss ratio 0.5577, byte miss ratio 0.5577
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size     2615, 1280836 req, miss ratio 0.5541, byte miss ratio 0.5541
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size     7847, 1280836 req, miss ratio 0.5519, byte miss ratio 0.5519
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size    26157, 1280836 req, miss ratio 0.4912, byte miss ratio 0.4912
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size    52315, 1280836 req, miss ratio 0.4413, byte miss ratio 0.4413
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size   104631, 1280836 req, miss ratio 0.2673, byte miss ratio 0.2673
result/tencentBlock.ns9589.oracleGeneral.zst Clock cache size   209263, 1280836 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size      261, 1280836 req, miss ratio 0.5674, byte miss ratio 0.5674
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size      784, 1280836 req, miss ratio 0.5559, byte miss ratio 0.5559
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size     2615, 1280836 req, miss ratio 0.5538, byte miss ratio 0.5538
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size     7847, 1280836 req, miss ratio 0.5524, byte miss ratio 0.5524
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size    26157, 1280836 req, miss ratio 0.4629, byte miss ratio 0.4629
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size    52315, 1280836 req, miss ratio 0.3731, byte miss ratio 0.3731
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size   104631, 1280836 req, miss ratio 0.2410, byte miss ratio 0.2410
result/tencentBlock.ns9589.oracleGeneral.zst S3FIFO-1 cache size   209263, 1280836 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns9589.oracleGeneral.zst LRU cache size      261, 1280836 req, miss ratio 0.5710, byte miss ratio 0.5710
result/tencentBlock.ns9589.oracleGeneral.zst LRU cache size      784, 1280836 req, miss ratio 0.5579, byte miss ratio 0.5579
result/tencentBlock.ns9589.oracleGeneral.zst LRU cache size     2615, 1280836 req, miss ratio 0.5539, byte miss ratio 0.5539
result/tencentBlock.ns9589.oracleGeneral.zst LRU cache size     7847, 1280836 req, miss ratio 0.5520, byte miss ratio 0.5520
result/tencentBlock.ns9589.oracleGeneral.zst LRU cache size    26157, 1280836 req, miss ratio 0.4902, byte miss ratio 0.4902
