result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size      134, 1184390 req, miss ratio 0.5246, byte miss ratio 0.5246
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size      404, 1184390 req, miss ratio 0.4954, byte miss ratio 0.4954
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size     1349, 1184390 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size     4048, 1184390 req, miss ratio 0.4822, byte miss ratio 0.4822
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size    13494, 1184390 req, miss ratio 0.4744, byte miss ratio 0.4744
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size    26989, 1184390 req, miss ratio 0.4184, byte miss ratio 0.4184
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size    53979, 1184390 req, miss ratio 0.3296, byte miss ratio 0.3296
result/tencentBlock.ns19771.oracleGeneral.zst LHD cache size   107958, 1184390 req, miss ratio 0.1336, byte miss ratio 0.1336
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size      134, 1184390 req, miss ratio 0.5030, byte miss ratio 0.5030
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size      404, 1184390 req, miss ratio 0.4908, byte miss ratio 0.4908
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size     1349, 1184390 req, miss ratio 0.4855, byte miss ratio 0.4855
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size     4048, 1184390 req, miss ratio 0.4820, byte miss ratio 0.4820
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size    13494, 1184390 req, miss ratio 0.4785, byte miss ratio 0.4785
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size    26989, 1184390 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size    53979, 1184390 req, miss ratio 0.3224, byte miss ratio 0.3224
result/tencentBlock.ns19771.oracleGeneral.zst ARC cache size   107958, 1184390 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size      134, 1184390 req, miss ratio 0.5222, byte miss ratio 0.5222
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size      404, 1184390 req, miss ratio 0.4957, byte miss ratio 0.4957
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size     1349, 1184390 req, miss ratio 0.4890, byte miss ratio 0.4890
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size     4048, 1184390 req, miss ratio 0.4829, byte miss ratio 0.4829
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size    13494, 1184390 req, miss ratio 0.4805, byte miss ratio 0.4805
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size    26989, 1184390 req, miss ratio 0.4189, byte miss ratio 0.4189
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size    53979, 1184390 req, miss ratio 0.2740, byte miss ratio 0.2740
result/tencentBlock.ns19771.oracleGeneral.zst LRU cache size   107958, 1184390 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size      134, 1184390 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size      404, 1184390 req, miss ratio 0.4945, byte miss ratio 0.4945
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size     1349, 1184390 req, miss ratio 0.4872, byte miss ratio 0.4872
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size     4048, 1184390 req, miss ratio 0.4826, byte miss ratio 0.4826
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size    13494, 1184390 req, miss ratio 0.4807, byte miss ratio 0.4807
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size    26989, 1184390 req, miss ratio 0.4096, byte miss ratio 0.4096
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size    53979, 1184390 req, miss ratio 0.2755, byte miss ratio 0.2755
result/tencentBlock.ns19771.oracleGeneral.zst LeCaR cache size   107958, 1184390 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size      134, 1184390 req, miss ratio 0.5035, byte miss ratio 0.5035
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size      404, 1184390 req, miss ratio 0.4896, byte miss ratio 0.4896
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size     1349, 1184390 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size     4048, 1184390 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size    13494, 1184390 req, miss ratio 0.4630, byte miss ratio 0.4630
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size    26989, 1184390 req, miss ratio 0.3920, byte miss ratio 0.3920
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size    53979, 1184390 req, miss ratio 0.3337, byte miss ratio 0.3337
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-1 cache size   107958, 1184390 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size      134, 1184390 req, miss ratio 0.5225, byte miss ratio 0.5225
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size      404, 1184390 req, miss ratio 0.4947, byte miss ratio 0.4947
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size     1349, 1184390 req, miss ratio 0.4877, byte miss ratio 0.4877
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size     4048, 1184390 req, miss ratio 0.4823, byte miss ratio 0.4823
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size    13494, 1184390 req, miss ratio 0.4804, byte miss ratio 0.4804
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size    26989, 1184390 req, miss ratio 0.4277, byte miss ratio 0.4277
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size    53979, 1184390 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns19771.oracleGeneral.zst clock2 cache size   107958, 1184390 req, miss ratio 0.1377, byte miss ratio 0.1377
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size      134, 1184390 req, miss ratio 0.5990, byte miss ratio 0.5990
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size      404, 1184390 req, miss ratio 0.5309, byte miss ratio 0.5309
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size     1349, 1184390 req, miss ratio 0.5017, byte miss ratio 0.5017
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size     4048, 1184390 req, miss ratio 0.4897, byte miss ratio 0.4897
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size    13494, 1184390 req, miss ratio 0.4833, byte miss ratio 0.4833
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size    26989, 1184390 req, miss ratio 0.4349, byte miss ratio 0.4349
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size    53979, 1184390 req, miss ratio 0.2966, byte miss ratio 0.2966
result/tencentBlock.ns19771.oracleGeneral.zst FIFO cache size   107958, 1184390 req, miss ratio 0.1708, byte miss ratio 0.1708
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size      134, 1184390 req, miss ratio 0.5207, byte miss ratio 0.5207
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size      404, 1184390 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size     1349, 1184390 req, miss ratio 0.4884, byte miss ratio 0.4884
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size     4048, 1184390 req, miss ratio 0.4826, byte miss ratio 0.4826
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size    13494, 1184390 req, miss ratio 0.4804, byte miss ratio 0.4804
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size    26989, 1184390 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size    53979, 1184390 req, miss ratio 0.3634, byte miss ratio 0.3634
result/tencentBlock.ns19771.oracleGeneral.zst Clock cache size   107958, 1184390 req, miss ratio 0.1404, byte miss ratio 0.1404
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size      134, 1184390 req, miss ratio 0.5063, byte miss ratio 0.5063
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size      404, 1184390 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size     1349, 1184390 req, miss ratio 0.4852, byte miss ratio 0.4852
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size     4048, 1184390 req, miss ratio 0.4814, byte miss ratio 0.4814
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size    13494, 1184390 req, miss ratio 0.4574, byte miss ratio 0.4574
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size    26989, 1184390 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size    53979, 1184390 req, miss ratio 0.2980, byte miss ratio 0.2980
result/tencentBlock.ns19771.oracleGeneral.zst Cacheus cache size   107958, 1184390 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size      134, 1184390 req, miss ratio 0.5642, byte miss ratio 0.5642
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size      404, 1184390 req, miss ratio 0.5327, byte miss ratio 0.5327
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size     1349, 1184390 req, miss ratio 0.4875, byte miss ratio 0.4875
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size     4048, 1184390 req, miss ratio 0.4826, byte miss ratio 0.4826
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size    13494, 1184390 req, miss ratio 0.4655, byte miss ratio 0.4655
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size    26989, 1184390 req, miss ratio 0.3899, byte miss ratio 0.3899
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size    53979, 1184390 req, miss ratio 0.3385, byte miss ratio 0.3385
result/tencentBlock.ns19771.oracleGeneral.zst LIRS cache size   107958, 1184390 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size      134, 1184390 req, miss ratio 0.5027, byte miss ratio 0.5027
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size      404, 1184390 req, miss ratio 0.4885, byte miss ratio 0.4885
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size     1349, 1184390 req, miss ratio 0.4848, byte miss ratio 0.4848
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size     4048, 1184390 req, miss ratio 0.4813, byte miss ratio 0.4813
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size    13494, 1184390 req, miss ratio 0.4630, byte miss ratio 0.4630
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size    26989, 1184390 req, miss ratio 0.3913, byte miss ratio 0.3913
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size    53979, 1184390 req, miss ratio 0.3329, byte miss ratio 0.3329
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d-1 cache size   107958, 1184390 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size      134, 1184390 req, miss ratio 0.5892, byte miss ratio 0.5892
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size      404, 1184390 req, miss ratio 0.5327, byte miss ratio 0.5327
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size     1349, 1184390 req, miss ratio 0.4978, byte miss ratio 0.4978
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size     4048, 1184390 req, miss ratio 0.4699, byte miss ratio 0.4699
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size    13494, 1184390 req, miss ratio 0.4243, byte miss ratio 0.4243
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size    26989, 1184390 req, miss ratio 0.3613, byte miss ratio 0.3613
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size    53979, 1184390 req, miss ratio 0.2412, byte miss ratio 0.2412
result/tencentBlock.ns19771.oracleGeneral.zst LRB cache size   107958, 1184390 req, miss ratio 0.1226, byte miss ratio 0.1226
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size      134, 1184390 req, miss ratio 0.5673, byte miss ratio 0.5673
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size      404, 1184390 req, miss ratio 0.5445, byte miss ratio 0.5445
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size     1349, 1184390 req, miss ratio 0.5382, byte miss ratio 0.5382
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size     4048, 1184390 req, miss ratio 0.5328, byte miss ratio 0.5328
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size    13494, 1184390 req, miss ratio 0.5249, byte miss ratio 0.5249
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size    26989, 1184390 req, miss ratio 0.4738, byte miss ratio 0.4738
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size    53979, 1184390 req, miss ratio 0.3581, byte miss ratio 0.3581
result/tencentBlock.ns19771.oracleGeneral.zst B-LRU cache size   107958, 1184390 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size      134, 1184390 req, miss ratio 0.4973, byte miss ratio 0.4973
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size      404, 1184390 req, miss ratio 0.4898, byte miss ratio 0.4898
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size     1349, 1184390 req, miss ratio 0.4855, byte miss ratio 0.4855
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size     4048, 1184390 req, miss ratio 0.4814, byte miss ratio 0.4814
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size    13494, 1184390 req, miss ratio 0.4498, byte miss ratio 0.4498
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size    26989, 1184390 req, miss ratio 0.3807, byte miss ratio 0.3807
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size    53979, 1184390 req, miss ratio 0.3159, byte miss ratio 0.3159
result/tencentBlock.ns19771.oracleGeneral.zst TwoQ cache size   107958, 1184390 req, miss ratio 0.1708, byte miss ratio 0.1708
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size      134, 1184390 req, miss ratio 0.5326, byte miss ratio 0.5326
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size      404, 1184390 req, miss ratio 0.4951, byte miss ratio 0.4951
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1349, 1184390 req, miss ratio 0.4859, byte miss ratio 0.4859
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4048, 1184390 req, miss ratio 0.4821, byte miss ratio 0.4821
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13494, 1184390 req, miss ratio 0.4719, byte miss ratio 0.4719
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26989, 1184390 req, miss ratio 0.4455, byte miss ratio 0.4455
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size    53979, 1184390 req, miss ratio 0.3448, byte miss ratio 0.3448
result/tencentBlock.ns19771.oracleGeneral.zst S4LRU(25:25:25:25) cache size   107958, 1184390 req, miss ratio 0.1362, byte miss ratio 0.1362
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      134, 1184390 req, miss ratio 0.5336, byte miss ratio 0.5336
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      404, 1184390 req, miss ratio 0.4987, byte miss ratio 0.4987
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1349, 1184390 req, miss ratio 0.4886, byte miss ratio 0.4886
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4048, 1184390 req, miss ratio 0.4833, byte miss ratio 0.4833
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13494, 1184390 req, miss ratio 0.4746, byte miss ratio 0.4746
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26989, 1184390 req, miss ratio 0.4483, byte miss ratio 0.4483
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    53979, 1184390 req, miss ratio 0.3612, byte miss ratio 0.3612
result/tencentBlock.ns19771.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   107958, 1184390 req, miss ratio 0.1633, byte miss ratio 0.1633
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d cache size      134, 1184390 req, miss ratio 0.5019, byte miss ratio 0.5019
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d cache size      404, 1184390 req, miss ratio 0.4888, byte miss ratio 0.4888
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d cache size     1349, 1184390 req, miss ratio 0.4851, byte miss ratio 0.4851
result/tencentBlock.ns19771.oracleGeneral.zst S3FIFO-d cache size     4048, 1184390 req, miss ratio 0.4815, byte miss ratio 0.4815
