result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size      141, 5487024 req, miss ratio 0.2292, byte miss ratio 0.2292
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size      423, 5487024 req, miss ratio 0.1711, byte miss ratio 0.1711
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size     1412, 5487024 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size     4237, 5487024 req, miss ratio 0.1384, byte miss ratio 0.1384
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size    14125, 5487024 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size    28251, 5487024 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size    56502, 5487024 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns4241.oracleGeneral.zst ARC cache size   113004, 5487024 req, miss ratio 0.0260, byte miss ratio 0.0260
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size      141, 5487024 req, miss ratio 0.2821, byte miss ratio 0.2821
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size      423, 5487024 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size     1412, 5487024 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size     4237, 5487024 req, miss ratio 0.1500, byte miss ratio 0.1500
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size    14125, 5487024 req, miss ratio 0.1126, byte miss ratio 0.1126
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size    28251, 5487024 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size    56502, 5487024 req, miss ratio 0.0516, byte miss ratio 0.0516
result/tencentBlock.ns4241.oracleGeneral.zst LeCaR cache size   113004, 5487024 req, miss ratio 0.0260, byte miss ratio 0.0260
result/tencentBlock.ns4241.oracleGeneral.zst Cacheus cache size      141, 5487024 req, miss ratio 0.2728, byte miss ratio 0.2728
result/tencentBlock.ns4241.oracleGeneral.zst Cacheus cache size      423, 5487024 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns4241.oracleGeneral.zst Cacheus cache size     1412, 5487024 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4241.oracleGeneral.zst Cacheus cache size     4237, 5487024 req, miss ratio 0.1393, byte miss ratio 0.1393
