result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size      369, 5904205 req, miss ratio 0.3176, byte miss ratio 0.3176
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size     1107, 5904205 req, miss ratio 0.2677, byte miss ratio 0.2677
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size     3693, 5904205 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size    11079, 5904205 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size    36930, 5904205 req, miss ratio 0.1580, byte miss ratio 0.1580
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size    73861, 5904205 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size   147723, 5904205 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns4724.oracleGeneral.zst LRU cache size   295447, 5904205 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size      369, 5904205 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size     1107, 5904205 req, miss ratio 0.2641, byte miss ratio 0.2641
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size     3693, 5904205 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size    11079, 5904205 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size    36930, 5904205 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size    73861, 5904205 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size   147723, 5904205 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns4724.oracleGeneral.zst Clock cache size   295447, 5904205 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size      369, 5904205 req, miss ratio 0.2844, byte miss ratio 0.2844
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size     1107, 5904205 req, miss ratio 0.2428, byte miss ratio 0.2428
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size     3693, 5904205 req, miss ratio 0.2060, byte miss ratio 0.2060
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size    11079, 5904205 req, miss ratio 0.1767, byte miss ratio 0.1767
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size    36930, 5904205 req, miss ratio 0.1514, byte miss ratio 0.1514
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size    73861, 5904205 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size   147723, 5904205 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns4724.oracleGeneral.zst ARC cache size   295447, 5904205 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size      369, 5904205 req, miss ratio 0.2838, byte miss ratio 0.2838
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size     1107, 5904205 req, miss ratio 0.2419, byte miss ratio 0.2419
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size     3693, 5904205 req, miss ratio 0.2044, byte miss ratio 0.2044
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size    11079, 5904205 req, miss ratio 0.1750, byte miss ratio 0.1750
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size    36930, 5904205 req, miss ratio 0.1506, byte miss ratio 0.1506
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size    73861, 5904205 req, miss ratio 0.1221, byte miss ratio 0.1221
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size   147723, 5904205 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tencentBlock.ns4724.oracleGeneral.zst S3FIFO-1 cache size   295447, 5904205 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size      369, 5904205 req, miss ratio 0.3682, byte miss ratio 0.3682
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size     1107, 5904205 req, miss ratio 0.2933, byte miss ratio 0.2933
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size     3693, 5904205 req, miss ratio 0.2439, byte miss ratio 0.2439
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size    11079, 5904205 req, miss ratio 0.2036, byte miss ratio 0.2036
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size    36930, 5904205 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size    73861, 5904205 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size   147723, 5904205 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns4724.oracleGeneral.zst FIFO cache size   295447, 5904205 req, miss ratio 0.0688, byte miss ratio 0.0688
