result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size      447, 4743877 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size     1341, 4743877 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size     4471, 4743877 req, miss ratio 0.3054, byte miss ratio 0.3054
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size    13413, 4743877 req, miss ratio 0.2618, byte miss ratio 0.2618
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size    44713, 4743877 req, miss ratio 0.2140, byte miss ratio 0.2140
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size    89426, 4743877 req, miss ratio 0.1797, byte miss ratio 0.1797
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size   178852, 4743877 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns1576.oracleGeneral.zst S3FIFO-1 cache size   357704, 4743877 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size      447, 4743877 req, miss ratio 0.4092, byte miss ratio 0.4092
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size     1341, 4743877 req, miss ratio 0.3683, byte miss ratio 0.3683
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size     4471, 4743877 req, miss ratio 0.3078, byte miss ratio 0.3078
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size    13413, 4743877 req, miss ratio 0.2626, byte miss ratio 0.2626
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size    44713, 4743877 req, miss ratio 0.2202, byte miss ratio 0.2202
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size    89426, 4743877 req, miss ratio 0.1860, byte miss ratio 0.1860
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size   178852, 4743877 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns1576.oracleGeneral.zst Cacheus cache size   357704, 4743877 req, miss ratio 0.0979, byte miss ratio 0.0979
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size      447, 4743877 req, miss ratio 0.4338, byte miss ratio 0.4338
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size     1341, 4743877 req, miss ratio 0.3843, byte miss ratio 0.3843
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size     4471, 4743877 req, miss ratio 0.3203, byte miss ratio 0.3203
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size    13413, 4743877 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size    44713, 4743877 req, miss ratio 0.2246, byte miss ratio 0.2246
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size    89426, 4743877 req, miss ratio 0.1953, byte miss ratio 0.1953
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size   178852, 4743877 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns1576.oracleGeneral.zst clock2 cache size   357704, 4743877 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size      447, 4743877 req, miss ratio 0.4325, byte miss ratio 0.4325
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size     1341, 4743877 req, miss ratio 0.3888, byte miss ratio 0.3888
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size     4471, 4743877 req, miss ratio 0.3255, byte miss ratio 0.3255
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size    13413, 4743877 req, miss ratio 0.2763, byte miss ratio 0.2763
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size    44713, 4743877 req, miss ratio 0.2282, byte miss ratio 0.2282
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size    89426, 4743877 req, miss ratio 0.2026, byte miss ratio 0.2026
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size   178852, 4743877 req, miss ratio 0.1596, byte miss ratio 0.1596
result/tencentBlock.ns1576.oracleGeneral.zst LeCaR cache size   357704, 4743877 req, miss ratio 0.0978, byte miss ratio 0.0978
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size      447, 4743877 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size     1341, 4743877 req, miss ratio 0.3667, byte miss ratio 0.3667
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size     4471, 4743877 req, miss ratio 0.3097, byte miss ratio 0.3097
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size    13413, 4743877 req, miss ratio 0.2634, byte miss ratio 0.2634
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size    44713, 4743877 req, miss ratio 0.2194, byte miss ratio 0.2194
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size    89426, 4743877 req, miss ratio 0.1833, byte miss ratio 0.1833
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size   178852, 4743877 req, miss ratio 0.1369, byte miss ratio 0.1369
result/tencentBlock.ns1576.oracleGeneral.zst LIRS cache size   357704, 4743877 req, miss ratio 0.0977, byte miss ratio 0.0977
result/tencentBlock.ns1576.oracleGeneral.zst LHD cache size      447, 4743877 req, miss ratio 0.4250, byte miss ratio 0.4250
result/tencentBlock.ns1576.oracleGeneral.zst LHD cache size     1341, 4743877 req, miss ratio 0.3775, byte miss ratio 0.3775
result/tencentBlock.ns1576.oracleGeneral.zst LHD cache size     4471, 4743877 req, miss ratio 0.3157, byte miss ratio 0.3157
