result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size      907, 2393392 req, miss ratio 0.6675, byte miss ratio 0.6675
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size     2722, 2393392 req, miss ratio 0.6643, byte miss ratio 0.6643
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size     9074, 2393392 req, miss ratio 0.6607, byte miss ratio 0.6607
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size    27223, 2393392 req, miss ratio 0.6317, byte miss ratio 0.6317
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size    90744, 2393392 req, miss ratio 0.5400, byte miss ratio 0.5400
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size   181489, 2393392 req, miss ratio 0.5090, byte miss ratio 0.5090
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size   362979, 2393392 req, miss ratio 0.4853, byte miss ratio 0.4853
result/tencentBlock.ns12623.oracleGeneral.zst LeCaR cache size   725959, 2393392 req, miss ratio 0.3909, byte miss ratio 0.3909
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size      907, 2393392 req, miss ratio 0.6656, byte miss ratio 0.6656
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size     2722, 2393392 req, miss ratio 0.6628, byte miss ratio 0.6628
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size     9074, 2393392 req, miss ratio 0.6576, byte miss ratio 0.6576
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size    27223, 2393392 req, miss ratio 0.6195, byte miss ratio 0.6195
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size    90744, 2393392 req, miss ratio 0.5256, byte miss ratio 0.5256
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size   181489, 2393392 req, miss ratio 0.4696, byte miss ratio 0.4696
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size   362979, 2393392 req, miss ratio 0.4544, byte miss ratio 0.4544
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-1 cache size   725959, 2393392 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size      907, 2393392 req, miss ratio 0.6673, byte miss ratio 0.6673
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size     2722, 2393392 req, miss ratio 0.6643, byte miss ratio 0.6643
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size     9074, 2393392 req, miss ratio 0.6607, byte miss ratio 0.6607
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size    27223, 2393392 req, miss ratio 0.6388, byte miss ratio 0.6388
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size    90744, 2393392 req, miss ratio 0.5645, byte miss ratio 0.5645
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size   181489, 2393392 req, miss ratio 0.5069, byte miss ratio 0.5069
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size   362979, 2393392 req, miss ratio 0.4649, byte miss ratio 0.4649
result/tencentBlock.ns12623.oracleGeneral.zst clock2 cache size   725959, 2393392 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size      907, 2393392 req, miss ratio 0.6775, byte miss ratio 0.6775
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size     2722, 2393392 req, miss ratio 0.6682, byte miss ratio 0.6682
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size     9074, 2393392 req, miss ratio 0.6630, byte miss ratio 0.6630
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size    27223, 2393392 req, miss ratio 0.6392, byte miss ratio 0.6392
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size    90744, 2393392 req, miss ratio 0.5533, byte miss ratio 0.5533
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size   181489, 2393392 req, miss ratio 0.5121, byte miss ratio 0.5121
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size   362979, 2393392 req, miss ratio 0.5051, byte miss ratio 0.5051
result/tencentBlock.ns12623.oracleGeneral.zst FIFO cache size   725959, 2393392 req, miss ratio 0.3995, byte miss ratio 0.3995
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size      907, 2393392 req, miss ratio 0.6676, byte miss ratio 0.6676
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size     2722, 2393392 req, miss ratio 0.6642, byte miss ratio 0.6642
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size     9074, 2393392 req, miss ratio 0.6609, byte miss ratio 0.6609
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size    27223, 2393392 req, miss ratio 0.6339, byte miss ratio 0.6339
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size    90744, 2393392 req, miss ratio 0.5504, byte miss ratio 0.5504
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size   181489, 2393392 req, miss ratio 0.5083, byte miss ratio 0.5083
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size   362979, 2393392 req, miss ratio 0.4843, byte miss ratio 0.4843
result/tencentBlock.ns12623.oracleGeneral.zst Clock cache size   725959, 2393392 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size      907, 2393392 req, miss ratio 0.6678, byte miss ratio 0.6678
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size     2722, 2393392 req, miss ratio 0.6642, byte miss ratio 0.6642
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size     9074, 2393392 req, miss ratio 0.6612, byte miss ratio 0.6612
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size    27223, 2393392 req, miss ratio 0.6330, byte miss ratio 0.6330
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size    90744, 2393392 req, miss ratio 0.5422, byte miss ratio 0.5422
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size   181489, 2393392 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size   362979, 2393392 req, miss ratio 0.4861, byte miss ratio 0.4861
result/tencentBlock.ns12623.oracleGeneral.zst LRU cache size   725959, 2393392 req, miss ratio 0.3948, byte miss ratio 0.3948
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size      907, 2393392 req, miss ratio 0.6740, byte miss ratio 0.6740
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size     2722, 2393392 req, miss ratio 0.6648, byte miss ratio 0.6648
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size     9074, 2393392 req, miss ratio 0.6581, byte miss ratio 0.6581
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size    27223, 2393392 req, miss ratio 0.6208, byte miss ratio 0.6208
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size    90744, 2393392 req, miss ratio 0.5158, byte miss ratio 0.5158
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size   181489, 2393392 req, miss ratio 0.4799, byte miss ratio 0.4799
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size   362979, 2393392 req, miss ratio 0.4089, byte miss ratio 0.4089
result/tencentBlock.ns12623.oracleGeneral.zst LIRS cache size   725959, 2393392 req, miss ratio 0.3794, byte miss ratio 0.3794
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size      907, 2393392 req, miss ratio 0.6655, byte miss ratio 0.6655
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size     2722, 2393392 req, miss ratio 0.6626, byte miss ratio 0.6626
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size     9074, 2393392 req, miss ratio 0.6601, byte miss ratio 0.6601
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size    27223, 2393392 req, miss ratio 0.6249, byte miss ratio 0.6249
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size    90744, 2393392 req, miss ratio 0.5267, byte miss ratio 0.5267
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size   181489, 2393392 req, miss ratio 0.4688, byte miss ratio 0.4688
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size   362979, 2393392 req, miss ratio 0.4557, byte miss ratio 0.4557
result/tencentBlock.ns12623.oracleGeneral.zst ARC cache size   725959, 2393392 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size      907, 2393392 req, miss ratio 0.6650, byte miss ratio 0.6650
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size     2722, 2393392 req, miss ratio 0.6621, byte miss ratio 0.6621
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size     9074, 2393392 req, miss ratio 0.6561, byte miss ratio 0.6561
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size    27223, 2393392 req, miss ratio 0.6308, byte miss ratio 0.6308
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size    90744, 2393392 req, miss ratio 0.5366, byte miss ratio 0.5366
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size   181489, 2393392 req, miss ratio 0.4784, byte miss ratio 0.4784
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size   362979, 2393392 req, miss ratio 0.4802, byte miss ratio 0.4802
result/tencentBlock.ns12623.oracleGeneral.zst Cacheus cache size   725959, 2393392 req, miss ratio 0.4055, byte miss ratio 0.4055
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size      907, 2393392 req, miss ratio 0.6675, byte miss ratio 0.6675
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size     2722, 2393392 req, miss ratio 0.6635, byte miss ratio 0.6635
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size     9074, 2393392 req, miss ratio 0.6576, byte miss ratio 0.6576
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size    27223, 2393392 req, miss ratio 0.6262, byte miss ratio 0.6262
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size    90744, 2393392 req, miss ratio 0.5396, byte miss ratio 0.5396
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size   181489, 2393392 req, miss ratio 0.5044, byte miss ratio 0.5044
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size   362979, 2393392 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns12623.oracleGeneral.zst LHD cache size   725959, 2393392 req, miss ratio 0.3954, byte miss ratio 0.3954
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size      907, 2393392 req, miss ratio 0.6656, byte miss ratio 0.6656
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size     2722, 2393392 req, miss ratio 0.6628, byte miss ratio 0.6628
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size     9074, 2393392 req, miss ratio 0.6576, byte miss ratio 0.6576
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size    27223, 2393392 req, miss ratio 0.6194, byte miss ratio 0.6194
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size    90744, 2393392 req, miss ratio 0.5285, byte miss ratio 0.5285
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size   181489, 2393392 req, miss ratio 0.4698, byte miss ratio 0.4698
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size   362979, 2393392 req, miss ratio 0.4544, byte miss ratio 0.4544
result/tencentBlock.ns12623.oracleGeneral.zst S3FIFO-d-1 cache size   725959, 2393392 req, miss ratio 0.3937, byte miss ratio 0.3937
result/tencentBlock.ns12623.oracleGeneral.zst LRB cache size      907, 2393392 req, miss ratio 0.7259, byte miss ratio 0.7259
result/tencentBlock.ns12623.oracleGeneral.zst LRB cache size     2722, 2393392 req, miss ratio 0.6782, byte miss ratio 0.6782
result/tencentBlock.ns12623.oracleGeneral.zst LRB cache size     9074, 2393392 req, miss ratio 0.6522, byte miss ratio 0.6522
result/tencentBlock.ns12623.oracleGeneral.zst LRB cache size    27223, 2393392 req, miss ratio 0.6025, byte miss ratio 0.6025
result/tencentBlock.ns12623.oracleGeneral.zst LRB cache size    90744, 2393392 req, miss ratio 0.5157, byte miss ratio 0.5157
