result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size       87, 2140737 req, miss ratio 0.3050, byte miss ratio 0.3050
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size      263, 2140737 req, miss ratio 0.2253, byte miss ratio 0.2253
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size      879, 2140737 req, miss ratio 0.1644, byte miss ratio 0.1644
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size     2638, 2140737 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size     8795, 2140737 req, miss ratio 0.1021, byte miss ratio 0.1021
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size    17591, 2140737 req, miss ratio 0.0858, byte miss ratio 0.0858
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size    35183, 2140737 req, miss ratio 0.0604, byte miss ratio 0.0604
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size    70366, 2140737 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size       87, 2140737 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size      263, 2140737 req, miss ratio 0.2299, byte miss ratio 0.2299
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size      879, 2140737 req, miss ratio 0.1691, byte miss ratio 0.1691
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size     2638, 2140737 req, miss ratio 0.1375, byte miss ratio 0.1375
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size     8795, 2140737 req, miss ratio 0.0979, byte miss ratio 0.0979
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size    17591, 2140737 req, miss ratio 0.0821, byte miss ratio 0.0821
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size    35183, 2140737 req, miss ratio 0.0566, byte miss ratio 0.0566
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size    70366, 2140737 req, miss ratio 0.0427, byte miss ratio 0.0427
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size       87, 2140737 req, miss ratio 0.4509, byte miss ratio 0.4509
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size      263, 2140737 req, miss ratio 0.2986, byte miss ratio 0.2986
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size      879, 2140737 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size     2638, 2140737 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size     8795, 2140737 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size    17591, 2140737 req, miss ratio 0.0902, byte miss ratio 0.0902
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size    35183, 2140737 req, miss ratio 0.0642, byte miss ratio 0.0642
result/tencentBlock.ns10534.oracleGeneral.zst FIFO cache size    70366, 2140737 req, miss ratio 0.0458, byte miss ratio 0.0458
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size       87, 2140737 req, miss ratio 0.3686, byte miss ratio 0.3686
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size      263, 2140737 req, miss ratio 0.2661, byte miss ratio 0.2661
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size      879, 2140737 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size     2638, 2140737 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size     8795, 2140737 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size    17591, 2140737 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size    35183, 2140737 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns10534.oracleGeneral.zst LRU cache size    70366, 2140737 req, miss ratio 0.0421, byte miss ratio 0.0421
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size       87, 2140737 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size      263, 2140737 req, miss ratio 0.2306, byte miss ratio 0.2306
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size      879, 2140737 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size     2638, 2140737 req, miss ratio 0.1181, byte miss ratio 0.1181
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size     8795, 2140737 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size    17591, 2140737 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size    35183, 2140737 req, miss ratio 0.0586, byte miss ratio 0.0586
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d-1 cache size    70366, 2140737 req, miss ratio 0.0424, byte miss ratio 0.0424
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size       87, 2140737 req, miss ratio 0.3497, byte miss ratio 0.3497
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size      263, 2140737 req, miss ratio 0.2248, byte miss ratio 0.2248
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size      879, 2140737 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size     2638, 2140737 req, miss ratio 0.1259, byte miss ratio 0.1259
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size     8795, 2140737 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size    17591, 2140737 req, miss ratio 0.0803, byte miss ratio 0.0803
result/tencentBlock.ns10534.oracleGeneral.zst LRB cache size    35183, 2140737 req, miss ratio 0.0552, byte miss ratio 0.0552
