result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size      183, 2462179 req, miss ratio 0.3664, byte miss ratio 0.3664
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size      550, 2462179 req, miss ratio 0.3238, byte miss ratio 0.3238
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size     1835, 2462179 req, miss ratio 0.2892, byte miss ratio 0.2892
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size     5505, 2462179 req, miss ratio 0.2679, byte miss ratio 0.2679
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size    18351, 2462179 req, miss ratio 0.2316, byte miss ratio 0.2316
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size    36703, 2462179 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size    73406, 2462179 req, miss ratio 0.1282, byte miss ratio 0.1282
result/tencentBlock.ns3075.oracleGeneral.zst ARC cache size   146812, 2462179 req, miss ratio 0.0763, byte miss ratio 0.0763
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size      183, 2462179 req, miss ratio 0.3775, byte miss ratio 0.3775
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size      550, 2462179 req, miss ratio 0.3408, byte miss ratio 0.3408
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size     1835, 2462179 req, miss ratio 0.3021, byte miss ratio 0.3021
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size     5505, 2462179 req, miss ratio 0.2717, byte miss ratio 0.2717
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size    18351, 2462179 req, miss ratio 0.2292, byte miss ratio 0.2292
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size    36703, 2462179 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size    73406, 2462179 req, miss ratio 0.1153, byte miss ratio 0.1153
result/tencentBlock.ns3075.oracleGeneral.zst LIRS cache size   146812, 2462179 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size      183, 2462179 req, miss ratio 0.4012, byte miss ratio 0.4012
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size      550, 2462179 req, miss ratio 0.3361, byte miss ratio 0.3361
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size     1835, 2462179 req, miss ratio 0.3014, byte miss ratio 0.3014
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size     5505, 2462179 req, miss ratio 0.2751, byte miss ratio 0.2751
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size    18351, 2462179 req, miss ratio 0.2440, byte miss ratio 0.2440
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size    36703, 2462179 req, miss ratio 0.2233, byte miss ratio 0.2233
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size    73406, 2462179 req, miss ratio 0.1267, byte miss ratio 0.1267
result/tencentBlock.ns3075.oracleGeneral.zst LeCaR cache size   146812, 2462179 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size      183, 2462179 req, miss ratio 0.4717, byte miss ratio 0.4717
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size      550, 2462179 req, miss ratio 0.3772, byte miss ratio 0.3772
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size     1835, 2462179 req, miss ratio 0.3229, byte miss ratio 0.3229
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size     5505, 2462179 req, miss ratio 0.2927, byte miss ratio 0.2927
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size    18351, 2462179 req, miss ratio 0.2642, byte miss ratio 0.2642
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size    36703, 2462179 req, miss ratio 0.2429, byte miss ratio 0.2429
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size    73406, 2462179 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns3075.oracleGeneral.zst FIFO cache size   146812, 2462179 req, miss ratio 0.0866, byte miss ratio 0.0866
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size      183, 2462179 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size      550, 2462179 req, miss ratio 0.3375, byte miss ratio 0.3375
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size     1835, 2462179 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size     5505, 2462179 req, miss ratio 0.2773, byte miss ratio 0.2773
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size    18351, 2462179 req, miss ratio 0.2502, byte miss ratio 0.2502
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size    36703, 2462179 req, miss ratio 0.2289, byte miss ratio 0.2289
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size    73406, 2462179 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns3075.oracleGeneral.zst Clock cache size   146812, 2462179 req, miss ratio 0.0764, byte miss ratio 0.0764
result/tencentBlock.ns3075.oracleGeneral.zst clock2 cache size      183, 2462179 req, miss ratio 0.4052, byte miss ratio 0.4052
result/tencentBlock.ns3075.oracleGeneral.zst clock2 cache size      550, 2462179 req, miss ratio 0.3361, byte miss ratio 0.3361
result/tencentBlock.ns3075.oracleGeneral.zst clock2 cache size     1835, 2462179 req, miss ratio 0.3031, byte miss ratio 0.3031
result/tencentBlock.ns3075.oracleGeneral.zst clock2 cache size     5505, 2462179 req, miss ratio 0.2756, byte miss ratio 0.2756
