result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size       77, 10575768 req, miss ratio 0.7165, byte miss ratio 0.7165
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size      231, 10575768 req, miss ratio 0.0492, byte miss ratio 0.0492
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size      772, 10575768 req, miss ratio 0.0271, byte miss ratio 0.0271
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size     2318, 10575768 req, miss ratio 0.0236, byte miss ratio 0.0236
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size     7727, 10575768 req, miss ratio 0.0223, byte miss ratio 0.0223
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size    15455, 10575768 req, miss ratio 0.0176, byte miss ratio 0.0176
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size    30910, 10575768 req, miss ratio 0.0131, byte miss ratio 0.0131
result/tencentBlock.ns23638.oracleGeneral.zst FIFO cache size    61821, 10575768 req, miss ratio 0.0103, byte miss ratio 0.0103
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size       77, 10575768 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size      231, 10575768 req, miss ratio 0.0383, byte miss ratio 0.0383
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size      772, 10575768 req, miss ratio 0.0229, byte miss ratio 0.0229
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size     2318, 10575768 req, miss ratio 0.0217, byte miss ratio 0.0217
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size     7727, 10575768 req, miss ratio 0.0186, byte miss ratio 0.0186
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size    15455, 10575768 req, miss ratio 0.0141, byte miss ratio 0.0141
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size    30910, 10575768 req, miss ratio 0.0115, byte miss ratio 0.0115
result/tencentBlock.ns23638.oracleGeneral.zst LHD cache size    61821, 10575768 req, miss ratio 0.0083, byte miss ratio 0.0083
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size       77, 10575768 req, miss ratio 0.6740, byte miss ratio 0.6740
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size     7727, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size    15455, 10575768 req, miss ratio 0.0141, byte miss ratio 0.0141
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size    30910, 10575768 req, miss ratio 0.0150, byte miss ratio 0.0150
result/tencentBlock.ns23638.oracleGeneral.zst ARC cache size    61821, 10575768 req, miss ratio 0.0085, byte miss ratio 0.0085
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size       77, 10575768 req, miss ratio 0.1601, byte miss ratio 0.1601
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size      231, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size      772, 10575768 req, miss ratio 0.0218, byte miss ratio 0.0218
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size     2318, 10575768 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size     7727, 10575768 req, miss ratio 0.0210, byte miss ratio 0.0210
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size    15455, 10575768 req, miss ratio 0.0213, byte miss ratio 0.0213
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size    30910, 10575768 req, miss ratio 0.0160, byte miss ratio 0.0160
result/tencentBlock.ns23638.oracleGeneral.zst LIRS cache size    61821, 10575768 req, miss ratio 0.0083, byte miss ratio 0.0083
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size       77, 10575768 req, miss ratio 0.5875, byte miss ratio 0.5875
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size      231, 10575768 req, miss ratio 0.0235, byte miss ratio 0.0235
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size      772, 10575768 req, miss ratio 0.0222, byte miss ratio 0.0222
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size     2318, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size     7727, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size    15455, 10575768 req, miss ratio 0.0185, byte miss ratio 0.0185
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size    30910, 10575768 req, miss ratio 0.0139, byte miss ratio 0.0139
result/tencentBlock.ns23638.oracleGeneral.zst Clock cache size    61821, 10575768 req, miss ratio 0.0081, byte miss ratio 0.0081
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size       77, 10575768 req, miss ratio 0.3593, byte miss ratio 0.3593
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size      231, 10575768 req, miss ratio 0.0227, byte miss ratio 0.0227
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size      772, 10575768 req, miss ratio 0.0222, byte miss ratio 0.0222
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size     2318, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size     7727, 10575768 req, miss ratio 0.0219, byte miss ratio 0.0219
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size    15455, 10575768 req, miss ratio 0.0182, byte miss ratio 0.0182
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size    30910, 10575768 req, miss ratio 0.0130, byte miss ratio 0.0130
result/tencentBlock.ns23638.oracleGeneral.zst LeCaR cache size    61821, 10575768 req, miss ratio 0.0095, byte miss ratio 0.0095
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size       77, 10575768 req, miss ratio 0.7151, byte miss ratio 0.7151
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size      231, 10575768 req, miss ratio 0.0237, byte miss ratio 0.0237
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size      772, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size     7727, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size    15455, 10575768 req, miss ratio 0.0216, byte miss ratio 0.0216
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size    30910, 10575768 req, miss ratio 0.0156, byte miss ratio 0.0156
result/tencentBlock.ns23638.oracleGeneral.zst Cacheus cache size    61821, 10575768 req, miss ratio 0.0098, byte miss ratio 0.0098
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size       77, 10575768 req, miss ratio 0.5345, byte miss ratio 0.5345
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size      231, 10575768 req, miss ratio 0.0230, byte miss ratio 0.0230
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size      772, 10575768 req, miss ratio 0.0221, byte miss ratio 0.0221
result/tencentBlock.ns23638.oracleGeneral.zst clock2 cache size     2318, 10575768 req, miss ratio 0.0220, byte miss ratio 0.0220
