result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size     1159, 3329522 req, miss ratio 0.3925, byte miss ratio 0.3925
result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size     3864, 3329522 req, miss ratio 0.2942, byte miss ratio 0.2942
result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size    11594, 3329522 req, miss ratio 0.2730, byte miss ratio 0.2730
result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size    38646, 3329522 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size    77293, 3329522 req, miss ratio 0.1582, byte miss ratio 0.1582
result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size   154587, 3329522 req, miss ratio 0.1289, byte miss ratio 0.1289
result/tencentBlock.ns15027.oracleGeneral.zst Cacheus cache size   309175, 3329522 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size      386, 3329522 req, miss ratio 0.5057, byte miss ratio 0.5057
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size     1159, 3329522 req, miss ratio 0.3632, byte miss ratio 0.3632
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size     3864, 3329522 req, miss ratio 0.2932, byte miss ratio 0.2932
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size    11594, 3329522 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size    38646, 3329522 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size    77293, 3329522 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size   154587, 3329522 req, miss ratio 0.1312, byte miss ratio 0.1312
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-1 cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size      386, 3329522 req, miss ratio 0.5016, byte miss ratio 0.5016
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size     1159, 3329522 req, miss ratio 0.4236, byte miss ratio 0.4236
result/tencentBlock.ns15027.oracleGeneral.zst clock2 cache size     3864, 3329522 req, miss ratio 0.2997, byte miss ratio 0.2997
