result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size      103, 1839986 req, miss ratio 0.3939, byte miss ratio 0.3939
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size      310, 1839986 req, miss ratio 0.3280, byte miss ratio 0.3280
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size     1034, 1839986 req, miss ratio 0.2993, byte miss ratio 0.2993
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size     3103, 1839986 req, miss ratio 0.2521, byte miss ratio 0.2521
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size    10346, 1839986 req, miss ratio 0.2312, byte miss ratio 0.2312
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size    20693, 1839986 req, miss ratio 0.2071, byte miss ratio 0.2071
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size    41386, 1839986 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-1 cache size    82772, 1839986 req, miss ratio 0.0605, byte miss ratio 0.0605
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size      103, 1839986 req, miss ratio 0.3848, byte miss ratio 0.3848
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size      310, 1839986 req, miss ratio 0.3462, byte miss ratio 0.3462
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size     1034, 1839986 req, miss ratio 0.3069, byte miss ratio 0.3069
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size     3103, 1839986 req, miss ratio 0.2519, byte miss ratio 0.2519
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size    10346, 1839986 req, miss ratio 0.2271, byte miss ratio 0.2271
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size    20693, 1839986 req, miss ratio 0.1934, byte miss ratio 0.1934
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size    41386, 1839986 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns11185.oracleGeneral.zst LIRS cache size    82772, 1839986 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size      103, 1839986 req, miss ratio 0.3857, byte miss ratio 0.3857
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size      310, 1839986 req, miss ratio 0.3250, byte miss ratio 0.3250
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size     1034, 1839986 req, miss ratio 0.3001, byte miss ratio 0.3001
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size     3103, 1839986 req, miss ratio 0.2570, byte miss ratio 0.2570
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size    10346, 1839986 req, miss ratio 0.2320, byte miss ratio 0.2320
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size    20693, 1839986 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size    41386, 1839986 req, miss ratio 0.1719, byte miss ratio 0.1719
result/tencentBlock.ns11185.oracleGeneral.zst ARC cache size    82772, 1839986 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size      103, 1839986 req, miss ratio 0.3950, byte miss ratio 0.3950
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size      310, 1839986 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size     1034, 1839986 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size     3103, 1839986 req, miss ratio 0.2892, byte miss ratio 0.2892
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size    10346, 1839986 req, miss ratio 0.2410, byte miss ratio 0.2410
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size    20693, 1839986 req, miss ratio 0.2340, byte miss ratio 0.2340
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size    41386, 1839986 req, miss ratio 0.2011, byte miss ratio 0.2011
result/tencentBlock.ns11185.oracleGeneral.zst LeCaR cache size    82772, 1839986 req, miss ratio 0.0593, byte miss ratio 0.0593
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size      103, 1839986 req, miss ratio 0.4043, byte miss ratio 0.4043
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size      310, 1839986 req, miss ratio 0.3715, byte miss ratio 0.3715
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size     1034, 1839986 req, miss ratio 0.3209, byte miss ratio 0.3209
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size     3103, 1839986 req, miss ratio 0.3078, byte miss ratio 0.3078
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size    10346, 1839986 req, miss ratio 0.2498, byte miss ratio 0.2498
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size    20693, 1839986 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size    41386, 1839986 req, miss ratio 0.2019, byte miss ratio 0.2019
result/tencentBlock.ns11185.oracleGeneral.zst LRU cache size    82772, 1839986 req, miss ratio 0.0596, byte miss ratio 0.0596
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size      103, 1839986 req, miss ratio 0.4022, byte miss ratio 0.4022
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size      310, 1839986 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size     1034, 1839986 req, miss ratio 0.3164, byte miss ratio 0.3164
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size     3103, 1839986 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size    10346, 1839986 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size    20693, 1839986 req, miss ratio 0.2190, byte miss ratio 0.2190
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size    41386, 1839986 req, miss ratio 0.1697, byte miss ratio 0.1697
result/tencentBlock.ns11185.oracleGeneral.zst LHD cache size    82772, 1839986 req, miss ratio 0.0622, byte miss ratio 0.0622
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size      103, 1839986 req, miss ratio 0.3991, byte miss ratio 0.3991
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size      310, 1839986 req, miss ratio 0.3610, byte miss ratio 0.3610
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size     1034, 1839986 req, miss ratio 0.3200, byte miss ratio 0.3200
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size     3103, 1839986 req, miss ratio 0.3032, byte miss ratio 0.3032
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size    10346, 1839986 req, miss ratio 0.2457, byte miss ratio 0.2457
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size    20693, 1839986 req, miss ratio 0.2329, byte miss ratio 0.2329
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size    41386, 1839986 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tencentBlock.ns11185.oracleGeneral.zst Clock cache size    82772, 1839986 req, miss ratio 0.0611, byte miss ratio 0.0611
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size      103, 1839986 req, miss ratio 0.3813, byte miss ratio 0.3813
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size      310, 1839986 req, miss ratio 0.3264, byte miss ratio 0.3264
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size     1034, 1839986 req, miss ratio 0.3068, byte miss ratio 0.3068
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size     3103, 1839986 req, miss ratio 0.2595, byte miss ratio 0.2595
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size    10346, 1839986 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size    20693, 1839986 req, miss ratio 0.2151, byte miss ratio 0.2151
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size    41386, 1839986 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns11185.oracleGeneral.zst Cacheus cache size    82772, 1839986 req, miss ratio 0.0599, byte miss ratio 0.0599
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size      103, 1839986 req, miss ratio 0.3950, byte miss ratio 0.3950
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size      310, 1839986 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size     1034, 1839986 req, miss ratio 0.3194, byte miss ratio 0.3194
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size     3103, 1839986 req, miss ratio 0.3010, byte miss ratio 0.3010
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size    10346, 1839986 req, miss ratio 0.2441, byte miss ratio 0.2441
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size    20693, 1839986 req, miss ratio 0.2326, byte miss ratio 0.2326
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size    41386, 1839986 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns11185.oracleGeneral.zst clock2 cache size    82772, 1839986 req, miss ratio 0.0614, byte miss ratio 0.0614
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size      103, 1839986 req, miss ratio 0.5167, byte miss ratio 0.5167
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size      310, 1839986 req, miss ratio 0.4140, byte miss ratio 0.4140
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size     1034, 1839986 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size     3103, 1839986 req, miss ratio 0.3197, byte miss ratio 0.3197
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size    10346, 1839986 req, miss ratio 0.2697, byte miss ratio 0.2697
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size    20693, 1839986 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size    41386, 1839986 req, miss ratio 0.1643, byte miss ratio 0.1643
result/tencentBlock.ns11185.oracleGeneral.zst FIFO cache size    82772, 1839986 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size      103, 1839986 req, miss ratio 0.3838, byte miss ratio 0.3838
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size      310, 1839986 req, miss ratio 0.3247, byte miss ratio 0.3247
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size     1034, 1839986 req, miss ratio 0.2992, byte miss ratio 0.2992
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size     3103, 1839986 req, miss ratio 0.2521, byte miss ratio 0.2521
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size    10346, 1839986 req, miss ratio 0.2312, byte miss ratio 0.2312
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size    20693, 1839986 req, miss ratio 0.2071, byte miss ratio 0.2071
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size    41386, 1839986 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d-1 cache size    82772, 1839986 req, miss ratio 0.0605, byte miss ratio 0.0605
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size      103, 1839986 req, miss ratio 0.4373, byte miss ratio 0.4373
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size      310, 1839986 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size     1034, 1839986 req, miss ratio 0.2888, byte miss ratio 0.2888
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size     3103, 1839986 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size    10346, 1839986 req, miss ratio 0.2268, byte miss ratio 0.2268
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size    20693, 1839986 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size    41386, 1839986 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns11185.oracleGeneral.zst LRB cache size    82772, 1839986 req, miss ratio 0.0616, byte miss ratio 0.0616
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      103, 1839986 req, miss ratio 0.4735, byte miss ratio 0.4735
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      310, 1839986 req, miss ratio 0.3616, byte miss ratio 0.3616
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1034, 1839986 req, miss ratio 0.3220, byte miss ratio 0.3220
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3103, 1839986 req, miss ratio 0.2981, byte miss ratio 0.2981
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10346, 1839986 req, miss ratio 0.2495, byte miss ratio 0.2495
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20693, 1839986 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    41386, 1839986 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns11185.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    82772, 1839986 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size      103, 1839986 req, miss ratio 0.4117, byte miss ratio 0.4117
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size      310, 1839986 req, miss ratio 0.3755, byte miss ratio 0.3755
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size     1034, 1839986 req, miss ratio 0.3303, byte miss ratio 0.3303
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size     3103, 1839986 req, miss ratio 0.3108, byte miss ratio 0.3108
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size    10346, 1839986 req, miss ratio 0.2596, byte miss ratio 0.2596
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size    20693, 1839986 req, miss ratio 0.2448, byte miss ratio 0.2448
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size    41386, 1839986 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns11185.oracleGeneral.zst B-LRU cache size    82772, 1839986 req, miss ratio 0.1047, byte miss ratio 0.1047
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size      103, 1839986 req, miss ratio 0.3863, byte miss ratio 0.3863
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size      310, 1839986 req, miss ratio 0.3303, byte miss ratio 0.3303
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size     1034, 1839986 req, miss ratio 0.3085, byte miss ratio 0.3085
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size     3103, 1839986 req, miss ratio 0.2568, byte miss ratio 0.2568
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size    10346, 1839986 req, miss ratio 0.2360, byte miss ratio 0.2360
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size    20693, 1839986 req, miss ratio 0.2159, byte miss ratio 0.2159
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size    41386, 1839986 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns11185.oracleGeneral.zst TwoQ cache size    82772, 1839986 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size      103, 1839986 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size      310, 1839986 req, miss ratio 0.3314, byte miss ratio 0.3314
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1034, 1839986 req, miss ratio 0.3085, byte miss ratio 0.3085
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3103, 1839986 req, miss ratio 0.2724, byte miss ratio 0.2724
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10346, 1839986 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20693, 1839986 req, miss ratio 0.2106, byte miss ratio 0.2106
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size    41386, 1839986 req, miss ratio 0.1666, byte miss ratio 0.1666
result/tencentBlock.ns11185.oracleGeneral.zst S4LRU(25:25:25:25) cache size    82772, 1839986 req, miss ratio 0.0652, byte miss ratio 0.0652
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size      103, 1839986 req, miss ratio 0.3990, byte miss ratio 0.3990
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size      310, 1839986 req, miss ratio 0.3300, byte miss ratio 0.3300
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size     1034, 1839986 req, miss ratio 0.3079, byte miss ratio 0.3079
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size     3103, 1839986 req, miss ratio 0.2548, byte miss ratio 0.2548
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size    10346, 1839986 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size    20693, 1839986 req, miss ratio 0.2102, byte miss ratio 0.2102
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size    41386, 1839986 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO cache size    82772, 1839986 req, miss ratio 0.0621, byte miss ratio 0.0621
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size      103, 1839986 req, miss ratio 0.3833, byte miss ratio 0.3833
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size      310, 1839986 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size     1034, 1839986 req, miss ratio 0.3075, byte miss ratio 0.3075
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size     3103, 1839986 req, miss ratio 0.2548, byte miss ratio 0.2548
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size    10346, 1839986 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size    20693, 1839986 req, miss ratio 0.2102, byte miss ratio 0.2102
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size    41386, 1839986 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns11185.oracleGeneral.zst S3FIFO-d cache size    82772, 1839986 req, miss ratio 0.0621, byte miss ratio 0.0621
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      103, 1839986 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      310, 1839986 req, miss ratio 0.3949, byte miss ratio 0.3949
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1034, 1839986 req, miss ratio 0.3197, byte miss ratio 0.3197
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3103, 1839986 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10346, 1839986 req, miss ratio 0.2172, byte miss ratio 0.2172
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20693, 1839986 req, miss ratio 0.1860, byte miss ratio 0.1860
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    41386, 1839986 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    82772, 1839986 req, miss ratio 0.0601, byte miss ratio 0.0601
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      103, 1839986 req, miss ratio 0.4007, byte miss ratio 0.4007
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      310, 1839986 req, miss ratio 0.3240, byte miss ratio 0.3240
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1034, 1839986 req, miss ratio 0.2744, byte miss ratio 0.2744
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3103, 1839986 req, miss ratio 0.2470, byte miss ratio 0.2470
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10346, 1839986 req, miss ratio 0.2200, byte miss ratio 0.2200
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20693, 1839986 req, miss ratio 0.1909, byte miss ratio 0.1909
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    41386, 1839986 req, miss ratio 0.1379, byte miss ratio 0.1379
result/tencentBlock.ns11185.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    82772, 1839986 req, miss ratio 0.0650, byte miss ratio 0.0650
