result/tencentBlock.ns8937.oracleGeneral.zst ARC cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size     7180, 39709499 req, miss ratio 0.8172, byte miss ratio 0.8172
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size    21542, 39709499 req, miss ratio 0.7590, byte miss ratio 0.7590
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size    71807, 39709499 req, miss ratio 0.7129, byte miss ratio 0.7129
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size   215421, 39709499 req, miss ratio 0.3080, byte miss ratio 0.3080
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size   718072, 39709499 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size  1436145, 39709499 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size  2872290, 39709499 req, miss ratio 0.2478, byte miss ratio 0.2478
result/tencentBlock.ns8937.oracleGeneral.zst Cacheus cache size  5744580, 39709499 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size     7180, 39709499 req, miss ratio 0.8221, byte miss ratio 0.8221
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size    21542, 39709499 req, miss ratio 0.7533, byte miss ratio 0.7533
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size    71807, 39709499 req, miss ratio 0.5861, byte miss ratio 0.5861
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size   215421, 39709499 req, miss ratio 0.3110, byte miss ratio 0.3110
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size   718072, 39709499 req, miss ratio 0.2484, byte miss ratio 0.2484
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size  1436145, 39709499 req, miss ratio 0.2401, byte miss ratio 0.2401
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size  2872290, 39709499 req, miss ratio 0.2265, byte miss ratio 0.2265
result/tencentBlock.ns8937.oracleGeneral.zst LHD cache size  5744580, 39709499 req, miss ratio 0.1887, byte miss ratio 0.1887
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size     7180, 39709499 req, miss ratio 0.8084, byte miss ratio 0.8084
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size    21542, 39709499 req, miss ratio 0.7207, byte miss ratio 0.7207
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size    71807, 39709499 req, miss ratio 0.5346, byte miss ratio 0.5346
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size   215421, 39709499 req, miss ratio 0.3817, byte miss ratio 0.3817
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size   718072, 39709499 req, miss ratio 0.3423, byte miss ratio 0.3423
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size  1436145, 39709499 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size  2872290, 39709499 req, miss ratio 0.2836, byte miss ratio 0.2836
result/tencentBlock.ns8937.oracleGeneral.zst LIRS cache size  5744580, 39709499 req, miss ratio 0.1953, byte miss ratio 0.1953
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size     7180, 39709499 req, miss ratio 0.8396, byte miss ratio 0.8396
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size    21542, 39709499 req, miss ratio 0.8112, byte miss ratio 0.8112
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size    71807, 39709499 req, miss ratio 0.7048, byte miss ratio 0.7048
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size   215421, 39709499 req, miss ratio 0.3054, byte miss ratio 0.3054
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size   718072, 39709499 req, miss ratio 0.2470, byte miss ratio 0.2470
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size  1436145, 39709499 req, miss ratio 0.2376, byte miss ratio 0.2376
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size  2872290, 39709499 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns8937.oracleGeneral.zst LRU cache size  5744580, 39709499 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size     7180, 39709499 req, miss ratio 0.8092, byte miss ratio 0.8092
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size    21542, 39709499 req, miss ratio 0.7314, byte miss ratio 0.7314
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size    71807, 39709499 req, miss ratio 0.6346, byte miss ratio 0.6346
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size   215421, 39709499 req, miss ratio 0.3101, byte miss ratio 0.3101
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size   718072, 39709499 req, miss ratio 0.2456, byte miss ratio 0.2456
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size  1436145, 39709499 req, miss ratio 0.2383, byte miss ratio 0.2383
