result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size      247, 6061429 req, miss ratio 0.7787, byte miss ratio 0.7787
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size      742, 6061429 req, miss ratio 0.7490, byte miss ratio 0.7490
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size     2475, 6061429 req, miss ratio 0.7329, byte miss ratio 0.7329
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size     7427, 6061429 req, miss ratio 0.6981, byte miss ratio 0.6981
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size    24759, 6061429 req, miss ratio 0.2320, byte miss ratio 0.2320
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size    49519, 6061429 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size    99038, 6061429 req, miss ratio 0.0807, byte miss ratio 0.0807
result/tencentBlock.ns8280.oracleGeneral.zst FIFO cache size   198076, 6061429 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size      247, 6061429 req, miss ratio 0.7408, byte miss ratio 0.7408
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size      742, 6061429 req, miss ratio 0.7229, byte miss ratio 0.7229
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size     2475, 6061429 req, miss ratio 0.6539, byte miss ratio 0.6539
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size     7427, 6061429 req, miss ratio 0.5414, byte miss ratio 0.5414
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size    24759, 6061429 req, miss ratio 0.1100, byte miss ratio 0.1100
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size    49519, 6061429 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size    99038, 6061429 req, miss ratio 0.0560, byte miss ratio 0.0560
result/tencentBlock.ns8280.oracleGeneral.zst S3FIFO-1 cache size   198076, 6061429 req, miss ratio 0.0417, byte miss ratio 0.0417
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size      247, 6061429 req, miss ratio 0.7455, byte miss ratio 0.7455
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size      742, 6061429 req, miss ratio 0.7265, byte miss ratio 0.7265
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size     2475, 6061429 req, miss ratio 0.6545, byte miss ratio 0.6545
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size     7427, 6061429 req, miss ratio 0.4320, byte miss ratio 0.4320
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size    24759, 6061429 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size    49519, 6061429 req, miss ratio 0.0938, byte miss ratio 0.0938
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size    99038, 6061429 req, miss ratio 0.0566, byte miss ratio 0.0566
result/tencentBlock.ns8280.oracleGeneral.zst LIRS cache size   198076, 6061429 req, miss ratio 0.0420, byte miss ratio 0.0420
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size      247, 6061429 req, miss ratio 0.7398, byte miss ratio 0.7398
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size      742, 6061429 req, miss ratio 0.7223, byte miss ratio 0.7223
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size     2475, 6061429 req, miss ratio 0.6549, byte miss ratio 0.6549
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size     7427, 6061429 req, miss ratio 0.5423, byte miss ratio 0.5423
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size    24759, 6061429 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size    49519, 6061429 req, miss ratio 0.0975, byte miss ratio 0.0975
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size    99038, 6061429 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns8280.oracleGeneral.zst ARC cache size   198076, 6061429 req, miss ratio 0.0417, byte miss ratio 0.0417
