result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size      143, 1535560 req, miss ratio 0.4143, byte miss ratio 0.4143
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size      431, 1535560 req, miss ratio 0.4011, byte miss ratio 0.4011
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size     1437, 1535560 req, miss ratio 0.3953, byte miss ratio 0.3953
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size     4311, 1535560 req, miss ratio 0.3928, byte miss ratio 0.3928
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size    14371, 1535560 req, miss ratio 0.3923, byte miss ratio 0.3923
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size    28743, 1535560 req, miss ratio 0.3342, byte miss ratio 0.3342
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size    57487, 1535560 req, miss ratio 0.2310, byte miss ratio 0.2310
result/tencentBlock.ns4483.oracleGeneral.zst LeCaR cache size   114974, 1535560 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size      143, 1535560 req, miss ratio 0.4207, byte miss ratio 0.4207
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size      431, 1535560 req, miss ratio 0.4017, byte miss ratio 0.4017
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size     1437, 1535560 req, miss ratio 0.3952, byte miss ratio 0.3952
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size     4311, 1535560 req, miss ratio 0.3928, byte miss ratio 0.3928
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size    14371, 1535560 req, miss ratio 0.3766, byte miss ratio 0.3766
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size    28743, 1535560 req, miss ratio 0.3279, byte miss ratio 0.3279
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size    57487, 1535560 req, miss ratio 0.2381, byte miss ratio 0.2381
result/tencentBlock.ns4483.oracleGeneral.zst LHD cache size   114974, 1535560 req, miss ratio 0.1078, byte miss ratio 0.1078
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size      143, 1535560 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size      431, 1535560 req, miss ratio 0.4017, byte miss ratio 0.4017
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size     1437, 1535560 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size     4311, 1535560 req, miss ratio 0.3933, byte miss ratio 0.3933
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size    14371, 1535560 req, miss ratio 0.3923, byte miss ratio 0.3923
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size    28743, 1535560 req, miss ratio 0.3444, byte miss ratio 0.3444
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size    57487, 1535560 req, miss ratio 0.2296, byte miss ratio 0.2296
result/tencentBlock.ns4483.oracleGeneral.zst LRU cache size   114974, 1535560 req, miss ratio 0.1061, byte miss ratio 0.1061
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size      143, 1535560 req, miss ratio 0.4541, byte miss ratio 0.4541
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size      431, 1535560 req, miss ratio 0.4375, byte miss ratio 0.4375
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size     1437, 1535560 req, miss ratio 0.3960, byte miss ratio 0.3960
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size     4311, 1535560 req, miss ratio 0.3931, byte miss ratio 0.3931
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size    14371, 1535560 req, miss ratio 0.3634, byte miss ratio 0.3634
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size    28743, 1535560 req, miss ratio 0.3185, byte miss ratio 0.3185
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size    57487, 1535560 req, miss ratio 0.2464, byte miss ratio 0.2464
result/tencentBlock.ns4483.oracleGeneral.zst LIRS cache size   114974, 1535560 req, miss ratio 0.1064, byte miss ratio 0.1064
result/tencentBlock.ns4483.oracleGeneral.zst ARC cache size      143, 1535560 req, miss ratio 0.4053, byte miss ratio 0.4053
result/tencentBlock.ns4483.oracleGeneral.zst ARC cache size      431, 1535560 req, miss ratio 0.3980, byte miss ratio 0.3980
result/tencentBlock.ns4483.oracleGeneral.zst ARC cache size     1437, 1535560 req, miss ratio 0.3935, byte miss ratio 0.3935
result/tencentBlock.ns4483.oracleGeneral.zst ARC cache size     4311, 1535560 req, miss ratio 0.3926, byte miss ratio 0.3926
result/tencentBlock.ns4483.oracleGeneral.zst ARC cache size    14371, 1535560 req, miss ratio 0.3891, byte miss ratio 0.3891
