result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size      202, 10363158 req, miss ratio 0.8043, byte miss ratio 0.8043
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size      606, 10363158 req, miss ratio 0.7661, byte miss ratio 0.7661
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size     2022, 10363158 req, miss ratio 0.7373, byte miss ratio 0.7373
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size     6066, 10363158 req, miss ratio 0.7268, byte miss ratio 0.7268
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size    20222, 10363158 req, miss ratio 0.2984, byte miss ratio 0.2984
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size    40444, 10363158 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size    80889, 10363158 req, miss ratio 0.0461, byte miss ratio 0.0461
result/tencentBlock.ns7741.oracleGeneral.zst Clock cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size      202, 10363158 req, miss ratio 0.8000, byte miss ratio 0.8000
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size      606, 10363158 req, miss ratio 0.7581, byte miss ratio 0.7581
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size     2022, 10363158 req, miss ratio 0.7334, byte miss ratio 0.7334
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size     6066, 10363158 req, miss ratio 0.7248, byte miss ratio 0.7248
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size    20222, 10363158 req, miss ratio 0.2430, byte miss ratio 0.2430
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size    40444, 10363158 req, miss ratio 0.0843, byte miss ratio 0.0843
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size    80889, 10363158 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns7741.oracleGeneral.zst clock2 cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size      202, 10363158 req, miss ratio 0.7590, byte miss ratio 0.7590
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size      606, 10363158 req, miss ratio 0.7366, byte miss ratio 0.7366
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size     2022, 10363158 req, miss ratio 0.7023, byte miss ratio 0.7023
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size     6066, 10363158 req, miss ratio 0.5375, byte miss ratio 0.5375
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size    20222, 10363158 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size    40444, 10363158 req, miss ratio 0.0636, byte miss ratio 0.0636
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size    80889, 10363158 req, miss ratio 0.0394, byte miss ratio 0.0394
result/tencentBlock.ns7741.oracleGeneral.zst LIRS cache size   161778, 10363158 req, miss ratio 0.0207, byte miss ratio 0.0207
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size      202, 10363158 req, miss ratio 0.8083, byte miss ratio 0.8083
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size      606, 10363158 req, miss ratio 0.7729, byte miss ratio 0.7729
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size     2022, 10363158 req, miss ratio 0.7401, byte miss ratio 0.7401
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size     6066, 10363158 req, miss ratio 0.7287, byte miss ratio 0.7287
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size    20222, 10363158 req, miss ratio 0.4085, byte miss ratio 0.4085
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size    40444, 10363158 req, miss ratio 0.0927, byte miss ratio 0.0927
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size    80889, 10363158 req, miss ratio 0.0453, byte miss ratio 0.0453
result/tencentBlock.ns7741.oracleGeneral.zst LRU cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size      202, 10363158 req, miss ratio 0.7572, byte miss ratio 0.7572
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size      606, 10363158 req, miss ratio 0.7319, byte miss ratio 0.7319
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size     2022, 10363158 req, miss ratio 0.7004, byte miss ratio 0.7004
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size     6066, 10363158 req, miss ratio 0.5860, byte miss ratio 0.5860
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size    20222, 10363158 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size    40444, 10363158 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size    80889, 10363158 req, miss ratio 0.0452, byte miss ratio 0.0452
result/tencentBlock.ns7741.oracleGeneral.zst S3FIFO-1 cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size      202, 10363158 req, miss ratio 0.7606, byte miss ratio 0.7606
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size      606, 10363158 req, miss ratio 0.7375, byte miss ratio 0.7375
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size     2022, 10363158 req, miss ratio 0.7160, byte miss ratio 0.7160
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size     6066, 10363158 req, miss ratio 0.5984, byte miss ratio 0.5984
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size    20222, 10363158 req, miss ratio 0.3491, byte miss ratio 0.3491
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size    40444, 10363158 req, miss ratio 0.0696, byte miss ratio 0.0696
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size    80889, 10363158 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns7741.oracleGeneral.zst Cacheus cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size      202, 10363158 req, miss ratio 0.7566, byte miss ratio 0.7566
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size      606, 10363158 req, miss ratio 0.7338, byte miss ratio 0.7338
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size     2022, 10363158 req, miss ratio 0.7015, byte miss ratio 0.7015
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size     6066, 10363158 req, miss ratio 0.6341, byte miss ratio 0.6341
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size    20222, 10363158 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size    40444, 10363158 req, miss ratio 0.0709, byte miss ratio 0.0709
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size    80889, 10363158 req, miss ratio 0.0434, byte miss ratio 0.0434
result/tencentBlock.ns7741.oracleGeneral.zst ARC cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size      202, 10363158 req, miss ratio 0.7909, byte miss ratio 0.7909
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size      606, 10363158 req, miss ratio 0.7550, byte miss ratio 0.7550
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size     2022, 10363158 req, miss ratio 0.7258, byte miss ratio 0.7258
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size     6066, 10363158 req, miss ratio 0.7271, byte miss ratio 0.7271
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size    20222, 10363158 req, miss ratio 0.1868, byte miss ratio 0.1868
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size    40444, 10363158 req, miss ratio 0.0797, byte miss ratio 0.0797
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size    80889, 10363158 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tencentBlock.ns7741.oracleGeneral.zst LeCaR cache size   161778, 10363158 req, miss ratio 0.0202, byte miss ratio 0.0202
result/tencentBlock.ns7741.oracleGeneral.zst FIFO cache size      202, 10363158 req, miss ratio 0.8253, byte miss ratio 0.8253
result/tencentBlock.ns7741.oracleGeneral.zst FIFO cache size      606, 10363158 req, miss ratio 0.7876, byte miss ratio 0.7876
result/tencentBlock.ns7741.oracleGeneral.zst FIFO cache size     2022, 10363158 req, miss ratio 0.7535, byte miss ratio 0.7535
result/tencentBlock.ns7741.oracleGeneral.zst FIFO cache size     6066, 10363158 req, miss ratio 0.7369, byte miss ratio 0.7369
