result/tencentBlock.ns2982.oracleGeneral.zst FIFO cache size 10979055, 169624719 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size    13723, 169624719 req, miss ratio 0.2064, byte miss ratio 0.2064
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size    41171, 169624719 req, miss ratio 0.1819, byte miss ratio 0.1819
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size   137238, 169624719 req, miss ratio 0.1404, byte miss ratio 0.1404
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size   411714, 169624719 req, miss ratio 0.1131, byte miss ratio 0.1131
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size  1372381, 169624719 req, miss ratio 0.0967, byte miss ratio 0.0967
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size  2744763, 169624719 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size  5489527, 169624719 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns2982.oracleGeneral.zst Clock cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size    13723, 169624719 req, miss ratio 0.1893, byte miss ratio 0.1893
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size    41171, 169624719 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size   137238, 169624719 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size   411714, 169624719 req, miss ratio 0.1005, byte miss ratio 0.1005
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size  1372381, 169624719 req, miss ratio 0.0901, byte miss ratio 0.0901
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size  2744763, 169624719 req, miss ratio 0.0869, byte miss ratio 0.0869
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size  5489527, 169624719 req, miss ratio 0.0844, byte miss ratio 0.0844
result/tencentBlock.ns2982.oracleGeneral.zst LIRS cache size 10979055, 169624719 req, miss ratio 0.0815, byte miss ratio 0.0815
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size    13723, 169624719 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size    41171, 169624719 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size   137238, 169624719 req, miss ratio 0.1212, byte miss ratio 0.1212
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size   411714, 169624719 req, miss ratio 0.0992, byte miss ratio 0.0992
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size  1372381, 169624719 req, miss ratio 0.0898, byte miss ratio 0.0898
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size  2744763, 169624719 req, miss ratio 0.0864, byte miss ratio 0.0864
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size  5489527, 169624719 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-1 cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
