result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size      306, 4475890 req, miss ratio 0.3102, byte miss ratio 0.3102
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size      920, 4475890 req, miss ratio 0.2507, byte miss ratio 0.2507
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size     3066, 4475890 req, miss ratio 0.2265, byte miss ratio 0.2265
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size     9200, 4475890 req, miss ratio 0.2040, byte miss ratio 0.2040
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size    30668, 4475890 req, miss ratio 0.1821, byte miss ratio 0.1821
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size    61337, 4475890 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size   122674, 4475890 req, miss ratio 0.1010, byte miss ratio 0.1010
result/tencentBlock.ns12181.oracleGeneral.zst FIFO cache size   245348, 4475890 req, miss ratio 0.0736, byte miss ratio 0.0736
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size      306, 4475890 req, miss ratio 0.2512, byte miss ratio 0.2512
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size      920, 4475890 req, miss ratio 0.2279, byte miss ratio 0.2279
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size     3066, 4475890 req, miss ratio 0.2129, byte miss ratio 0.2129
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size     9200, 4475890 req, miss ratio 0.1899, byte miss ratio 0.1899
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size    30668, 4475890 req, miss ratio 0.1746, byte miss ratio 0.1746
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size    61337, 4475890 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size   122674, 4475890 req, miss ratio 0.0809, byte miss ratio 0.0809
result/tencentBlock.ns12181.oracleGeneral.zst LeCaR cache size   245348, 4475890 req, miss ratio 0.0687, byte miss ratio 0.0687
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size      306, 4475890 req, miss ratio 0.2446, byte miss ratio 0.2446
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size      920, 4475890 req, miss ratio 0.2199, byte miss ratio 0.2199
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size     3066, 4475890 req, miss ratio 0.2020, byte miss ratio 0.2020
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size     9200, 4475890 req, miss ratio 0.1824, byte miss ratio 0.1824
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size    30668, 4475890 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size    61337, 4475890 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size   122674, 4475890 req, miss ratio 0.0837, byte miss ratio 0.0837
result/tencentBlock.ns12181.oracleGeneral.zst S3FIFO-1 cache size   245348, 4475890 req, miss ratio 0.0688, byte miss ratio 0.0688
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size      306, 4475890 req, miss ratio 0.2472, byte miss ratio 0.2472
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size      920, 4475890 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size     3066, 4475890 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size     9200, 4475890 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size    30668, 4475890 req, miss ratio 0.1694, byte miss ratio 0.1694
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size    61337, 4475890 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size   122674, 4475890 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns12181.oracleGeneral.zst Cacheus cache size   245348, 4475890 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size      306, 4475890 req, miss ratio 0.2554, byte miss ratio 0.2554
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size      920, 4475890 req, miss ratio 0.2300, byte miss ratio 0.2300
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size     3066, 4475890 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size     9200, 4475890 req, miss ratio 0.1923, byte miss ratio 0.1923
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size    30668, 4475890 req, miss ratio 0.1754, byte miss ratio 0.1754
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size    61337, 4475890 req, miss ratio 0.1572, byte miss ratio 0.1572
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size   122674, 4475890 req, miss ratio 0.0899, byte miss ratio 0.0899
result/tencentBlock.ns12181.oracleGeneral.zst Clock cache size   245348, 4475890 req, miss ratio 0.0688, byte miss ratio 0.0688
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size      306, 4475890 req, miss ratio 0.2389, byte miss ratio 0.2389
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size      920, 4475890 req, miss ratio 0.2227, byte miss ratio 0.2227
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size     3066, 4475890 req, miss ratio 0.2071, byte miss ratio 0.2071
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size     9200, 4475890 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size    30668, 4475890 req, miss ratio 0.1643, byte miss ratio 0.1643
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size    61337, 4475890 req, miss ratio 0.1340, byte miss ratio 0.1340
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size   122674, 4475890 req, miss ratio 0.0790, byte miss ratio 0.0790
result/tencentBlock.ns12181.oracleGeneral.zst ARC cache size   245348, 4475890 req, miss ratio 0.0688, byte miss ratio 0.0688
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size      306, 4475890 req, miss ratio 0.2649, byte miss ratio 0.2649
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size      920, 4475890 req, miss ratio 0.2391, byte miss ratio 0.2391
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size     3066, 4475890 req, miss ratio 0.2123, byte miss ratio 0.2123
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size     9200, 4475890 req, miss ratio 0.1846, byte miss ratio 0.1846
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size    30668, 4475890 req, miss ratio 0.1625, byte miss ratio 0.1625
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size    61337, 4475890 req, miss ratio 0.1226, byte miss ratio 0.1226
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size   122674, 4475890 req, miss ratio 0.0808, byte miss ratio 0.0808
result/tencentBlock.ns12181.oracleGeneral.zst LIRS cache size   245348, 4475890 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns12181.oracleGeneral.zst clock2 cache size      306, 4475890 req, miss ratio 0.2563, byte miss ratio 0.2563
