result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size      113, 3007999 req, miss ratio 0.2278, byte miss ratio 0.2278
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size      339, 3007999 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size     1130, 3007999 req, miss ratio 0.1471, byte miss ratio 0.1471
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size     3391, 3007999 req, miss ratio 0.1263, byte miss ratio 0.1263
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size    11303, 3007999 req, miss ratio 0.1041, byte miss ratio 0.1041
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size    22607, 3007999 req, miss ratio 0.0812, byte miss ratio 0.0812
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size    45214, 3007999 req, miss ratio 0.0606, byte miss ratio 0.0606
result/tencentBlock.ns16141.oracleGeneral.zst clock2 cache size    90429, 3007999 req, miss ratio 0.0386, byte miss ratio 0.0386
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size      113, 3007999 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size      339, 3007999 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size     1130, 3007999 req, miss ratio 0.1447, byte miss ratio 0.1447
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size     3391, 3007999 req, miss ratio 0.1235, byte miss ratio 0.1235
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size    11303, 3007999 req, miss ratio 0.0981, byte miss ratio 0.0981
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size    22607, 3007999 req, miss ratio 0.0774, byte miss ratio 0.0774
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size    45214, 3007999 req, miss ratio 0.0544, byte miss ratio 0.0544
result/tencentBlock.ns16141.oracleGeneral.zst LIRS cache size    90429, 3007999 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size      113, 3007999 req, miss ratio 0.2939, byte miss ratio 0.2939
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size      339, 3007999 req, miss ratio 0.2001, byte miss ratio 0.2001
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size     1130, 3007999 req, miss ratio 0.1593, byte miss ratio 0.1593
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size     3391, 3007999 req, miss ratio 0.1354, byte miss ratio 0.1354
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size    11303, 3007999 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size    22607, 3007999 req, miss ratio 0.0883, byte miss ratio 0.0883
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size    45214, 3007999 req, miss ratio 0.0617, byte miss ratio 0.0617
result/tencentBlock.ns16141.oracleGeneral.zst FIFO cache size    90429, 3007999 req, miss ratio 0.0415, byte miss ratio 0.0415
result/tencentBlock.ns16141.oracleGeneral.zst S3FIFO-1 cache size      113, 3007999 req, miss ratio 0.2170, byte miss ratio 0.2170
result/tencentBlock.ns16141.oracleGeneral.zst S3FIFO-1 cache size      339, 3007999 req, miss ratio 0.1653, byte miss ratio 0.1653
