result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size      242, 1492913 req, miss ratio 0.4765, byte miss ratio 0.4765
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size      726, 1492913 req, miss ratio 0.4660, byte miss ratio 0.4660
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size     2420, 1492913 req, miss ratio 0.4628, byte miss ratio 0.4628
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size     7260, 1492913 req, miss ratio 0.4618, byte miss ratio 0.4618
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size    24201, 1492913 req, miss ratio 0.4395, byte miss ratio 0.4395
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size    48403, 1492913 req, miss ratio 0.3834, byte miss ratio 0.3834
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size    96806, 1492913 req, miss ratio 0.2688, byte miss ratio 0.2688
result/tencentBlock.ns7726.oracleGeneral.zst clock2 cache size   193612, 1492913 req, miss ratio 0.1640, byte miss ratio 0.1640
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size      242, 1492913 req, miss ratio 0.4781, byte miss ratio 0.4781
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size      726, 1492913 req, miss ratio 0.4663, byte miss ratio 0.4663
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size     2420, 1492913 req, miss ratio 0.4627, byte miss ratio 0.4627
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size     7260, 1492913 req, miss ratio 0.4618, byte miss ratio 0.4618
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size    24201, 1492913 req, miss ratio 0.4132, byte miss ratio 0.4132
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size    48403, 1492913 req, miss ratio 0.3676, byte miss ratio 0.3676
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size    96806, 1492913 req, miss ratio 0.2297, byte miss ratio 0.2297
result/tencentBlock.ns7726.oracleGeneral.zst Clock cache size   193612, 1492913 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size      242, 1492913 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size      726, 1492913 req, miss ratio 0.4646, byte miss ratio 0.4646
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size     2420, 1492913 req, miss ratio 0.4620, byte miss ratio 0.4620
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size     7260, 1492913 req, miss ratio 0.4597, byte miss ratio 0.4597
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size    24201, 1492913 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size    48403, 1492913 req, miss ratio 0.3583, byte miss ratio 0.3583
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size    96806, 1492913 req, miss ratio 0.2236, byte miss ratio 0.2236
result/tencentBlock.ns7726.oracleGeneral.zst Cacheus cache size   193612, 1492913 req, miss ratio 0.1643, byte miss ratio 0.1643
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size      242, 1492913 req, miss ratio 0.4766, byte miss ratio 0.4766
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size      726, 1492913 req, miss ratio 0.4660, byte miss ratio 0.4660
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size     2420, 1492913 req, miss ratio 0.4625, byte miss ratio 0.4625
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size     7260, 1492913 req, miss ratio 0.4618, byte miss ratio 0.4618
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size    24201, 1492913 req, miss ratio 0.4024, byte miss ratio 0.4024
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size    48403, 1492913 req, miss ratio 0.3604, byte miss ratio 0.3604
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size    96806, 1492913 req, miss ratio 0.2041, byte miss ratio 0.2041
result/tencentBlock.ns7726.oracleGeneral.zst LeCaR cache size   193612, 1492913 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size      242, 1492913 req, miss ratio 0.5566, byte miss ratio 0.5566
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size      726, 1492913 req, miss ratio 0.4955, byte miss ratio 0.4955
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size     2420, 1492913 req, miss ratio 0.4666, byte miss ratio 0.4666
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size     7260, 1492913 req, miss ratio 0.4556, byte miss ratio 0.4556
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size    24201, 1492913 req, miss ratio 0.3976, byte miss ratio 0.3976
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size    48403, 1492913 req, miss ratio 0.3195, byte miss ratio 0.3195
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size    96806, 1492913 req, miss ratio 0.2065, byte miss ratio 0.2065
result/tencentBlock.ns7726.oracleGeneral.zst LIRS cache size   193612, 1492913 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns7726.oracleGeneral.zst ARC cache size      242, 1492913 req, miss ratio 0.4700, byte miss ratio 0.4700
result/tencentBlock.ns7726.oracleGeneral.zst ARC cache size      726, 1492913 req, miss ratio 0.4648, byte miss ratio 0.4648
result/tencentBlock.ns7726.oracleGeneral.zst ARC cache size     2420, 1492913 req, miss ratio 0.4624, byte miss ratio 0.4624
result/tencentBlock.ns7726.oracleGeneral.zst ARC cache size     7260, 1492913 req, miss ratio 0.4619, byte miss ratio 0.4619
