result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size       49, 1244491 req, miss ratio 0.3007, byte miss ratio 0.3007
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size      148, 1244491 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size      494, 1244491 req, miss ratio 0.1861, byte miss ratio 0.1861
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size     1482, 1244491 req, miss ratio 0.1808, byte miss ratio 0.1808
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size     4941, 1244491 req, miss ratio 0.1761, byte miss ratio 0.1761
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size     9882, 1244491 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size    19764, 1244491 req, miss ratio 0.0780, byte miss ratio 0.0780
result/tencentBlock.ns18112.oracleGeneral.zst Clock cache size    39528, 1244491 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size       49, 1244491 req, miss ratio 0.2884, byte miss ratio 0.2884
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size      148, 1244491 req, miss ratio 0.2154, byte miss ratio 0.2154
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size      494, 1244491 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size     1482, 1244491 req, miss ratio 0.1807, byte miss ratio 0.1807
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size     4941, 1244491 req, miss ratio 0.1742, byte miss ratio 0.1742
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size     9882, 1244491 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size    19764, 1244491 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns18112.oracleGeneral.zst clock2 cache size    39528, 1244491 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size       49, 1244491 req, miss ratio 0.2610, byte miss ratio 0.2610
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size      148, 1244491 req, miss ratio 0.1894, byte miss ratio 0.1894
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size      494, 1244491 req, miss ratio 0.1824, byte miss ratio 0.1824
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size     1482, 1244491 req, miss ratio 0.1779, byte miss ratio 0.1779
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size     4941, 1244491 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size     9882, 1244491 req, miss ratio 0.1533, byte miss ratio 0.1533
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size    19764, 1244491 req, miss ratio 0.0660, byte miss ratio 0.0660
result/tencentBlock.ns18112.oracleGeneral.zst ARC cache size    39528, 1244491 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size       49, 1244491 req, miss ratio 0.3104, byte miss ratio 0.3104
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size      148, 1244491 req, miss ratio 0.2124, byte miss ratio 0.2124
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size      494, 1244491 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size     1482, 1244491 req, miss ratio 0.1812, byte miss ratio 0.1812
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size     4941, 1244491 req, miss ratio 0.1776, byte miss ratio 0.1776
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size     9882, 1244491 req, miss ratio 0.1656, byte miss ratio 0.1656
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size    19764, 1244491 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns18112.oracleGeneral.zst LRU cache size    39528, 1244491 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size       49, 1244491 req, miss ratio 0.2629, byte miss ratio 0.2629
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size      148, 1244491 req, miss ratio 0.1890, byte miss ratio 0.1890
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size      494, 1244491 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size     1482, 1244491 req, miss ratio 0.1778, byte miss ratio 0.1778
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size     4941, 1244491 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size     9882, 1244491 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size    19764, 1244491 req, miss ratio 0.0691, byte miss ratio 0.0691
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-d-1 cache size    39528, 1244491 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns18112.oracleGeneral.zst LRB cache size       49, 1244491 req, miss ratio 0.3527, byte miss ratio 0.3527
