result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size      234, 1338658 req, miss ratio 0.4828, byte miss ratio 0.4828
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size      702, 1338658 req, miss ratio 0.4774, byte miss ratio 0.4774
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size     2342, 1338658 req, miss ratio 0.4740, byte miss ratio 0.4740
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size     7026, 1338658 req, miss ratio 0.4726, byte miss ratio 0.4726
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size    23420, 1338658 req, miss ratio 0.4313, byte miss ratio 0.4313
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size    46840, 1338658 req, miss ratio 0.3477, byte miss ratio 0.3477
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size    93680, 1338658 req, miss ratio 0.2206, byte miss ratio 0.2206
result/tencentBlock.ns15389.oracleGeneral.zst ARC cache size   187360, 1338658 req, miss ratio 0.1763, byte miss ratio 0.1763
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size      234, 1338658 req, miss ratio 0.4840, byte miss ratio 0.4840
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size      702, 1338658 req, miss ratio 0.4777, byte miss ratio 0.4777
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size     2342, 1338658 req, miss ratio 0.4738, byte miss ratio 0.4738
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size     7026, 1338658 req, miss ratio 0.4721, byte miss ratio 0.4721
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size    23420, 1338658 req, miss ratio 0.4365, byte miss ratio 0.4365
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size    46840, 1338658 req, miss ratio 0.3597, byte miss ratio 0.3597
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size    93680, 1338658 req, miss ratio 0.2351, byte miss ratio 0.2351
result/tencentBlock.ns15389.oracleGeneral.zst Cacheus cache size   187360, 1338658 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size      234, 1338658 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size      702, 1338658 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size     2342, 1338658 req, miss ratio 0.4744, byte miss ratio 0.4744
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size     7026, 1338658 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size    23420, 1338658 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size    46840, 1338658 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size    93680, 1338658 req, miss ratio 0.2289, byte miss ratio 0.2289
result/tencentBlock.ns15389.oracleGeneral.zst LHD cache size   187360, 1338658 req, miss ratio 0.1759, byte miss ratio 0.1759
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size      234, 1338658 req, miss ratio 0.4928, byte miss ratio 0.4928
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size      702, 1338658 req, miss ratio 0.4808, byte miss ratio 0.4808
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size     2342, 1338658 req, miss ratio 0.4748, byte miss ratio 0.4748
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size     7026, 1338658 req, miss ratio 0.4728, byte miss ratio 0.4728
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size    23420, 1338658 req, miss ratio 0.4328, byte miss ratio 0.4328
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size    46840, 1338658 req, miss ratio 0.3952, byte miss ratio 0.3952
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size    93680, 1338658 req, miss ratio 0.2404, byte miss ratio 0.2404
result/tencentBlock.ns15389.oracleGeneral.zst Clock cache size   187360, 1338658 req, miss ratio 0.1764, byte miss ratio 0.1764
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size      234, 1338658 req, miss ratio 0.5533, byte miss ratio 0.5533
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size      702, 1338658 req, miss ratio 0.4978, byte miss ratio 0.4978
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size     2342, 1338658 req, miss ratio 0.4770, byte miss ratio 0.4770
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size     7026, 1338658 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size    23420, 1338658 req, miss ratio 0.4160, byte miss ratio 0.4160
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size    46840, 1338658 req, miss ratio 0.3346, byte miss ratio 0.3346
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size    93680, 1338658 req, miss ratio 0.2174, byte miss ratio 0.2174
result/tencentBlock.ns15389.oracleGeneral.zst LIRS cache size   187360, 1338658 req, miss ratio 0.1756, byte miss ratio 0.1756
result/tencentBlock.ns15389.oracleGeneral.zst LRU cache size      234, 1338658 req, miss ratio 0.4941, byte miss ratio 0.4941
result/tencentBlock.ns15389.oracleGeneral.zst LRU cache size      702, 1338658 req, miss ratio 0.4810, byte miss ratio 0.4810
result/tencentBlock.ns15389.oracleGeneral.zst LRU cache size     2342, 1338658 req, miss ratio 0.4749, byte miss ratio 0.4749
result/tencentBlock.ns15389.oracleGeneral.zst LRU cache size     7026, 1338658 req, miss ratio 0.4728, byte miss ratio 0.4728
result/tencentBlock.ns15389.oracleGeneral.zst LRU cache size    23420, 1338658 req, miss ratio 0.4282, byte miss ratio 0.4282
result/tencentBlock.ns15389.oracleGeneral.zst LRU cache size    46840, 1338658 req, miss ratio 0.3926, byte miss ratio 0.3926
