result/tencentBlock.ns3801.oracleGeneral.zst Cacheus cache size  1268444, 23854768 req, miss ratio 0.0689, byte miss ratio 0.0689
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size     1585, 23854768 req, miss ratio 0.6580, byte miss ratio 0.6580
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size     4756, 23854768 req, miss ratio 0.5974, byte miss ratio 0.5974
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size    15855, 23854768 req, miss ratio 0.5341, byte miss ratio 0.5341
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size    47566, 23854768 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size   158555, 23854768 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size   317111, 23854768 req, miss ratio 0.2083, byte miss ratio 0.2083
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size   634222, 23854768 req, miss ratio 0.1282, byte miss ratio 0.1282
result/tencentBlock.ns3801.oracleGeneral.zst FIFO cache size  1268444, 23854768 req, miss ratio 0.0797, byte miss ratio 0.0797
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size     1585, 23854768 req, miss ratio 0.6358, byte miss ratio 0.6358
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size     4756, 23854768 req, miss ratio 0.5771, byte miss ratio 0.5771
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size    15855, 23854768 req, miss ratio 0.5179, byte miss ratio 0.5179
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size    47566, 23854768 req, miss ratio 0.4209, byte miss ratio 0.4209
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size   158555, 23854768 req, miss ratio 0.2474, byte miss ratio 0.2474
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size   317111, 23854768 req, miss ratio 0.1778, byte miss ratio 0.1778
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size   634222, 23854768 req, miss ratio 0.1066, byte miss ratio 0.1066
result/tencentBlock.ns3801.oracleGeneral.zst Clock cache size  1268444, 23854768 req, miss ratio 0.0703, byte miss ratio 0.0703
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size     1585, 23854768 req, miss ratio 0.6235, byte miss ratio 0.6235
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size     4756, 23854768 req, miss ratio 0.5669, byte miss ratio 0.5669
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size    15855, 23854768 req, miss ratio 0.5046, byte miss ratio 0.5046
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size    47566, 23854768 req, miss ratio 0.3936, byte miss ratio 0.3936
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size   158555, 23854768 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size   317111, 23854768 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size   634222, 23854768 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns3801.oracleGeneral.zst ARC cache size  1268444, 23854768 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size     1585, 23854768 req, miss ratio 0.6485, byte miss ratio 0.6485
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size     4756, 23854768 req, miss ratio 0.5971, byte miss ratio 0.5971
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size    15855, 23854768 req, miss ratio 0.5228, byte miss ratio 0.5228
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size    47566, 23854768 req, miss ratio 0.3981, byte miss ratio 0.3981
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size   158555, 23854768 req, miss ratio 0.2512, byte miss ratio 0.2512
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size   317111, 23854768 req, miss ratio 0.1827, byte miss ratio 0.1827
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size   634222, 23854768 req, miss ratio 0.1032, byte miss ratio 0.1032
result/tencentBlock.ns3801.oracleGeneral.zst LIRS cache size  1268444, 23854768 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size     1585, 23854768 req, miss ratio 0.6226, byte miss ratio 0.6226
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size     4756, 23854768 req, miss ratio 0.5601, byte miss ratio 0.5601
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size    15855, 23854768 req, miss ratio 0.4913, byte miss ratio 0.4913
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size    47566, 23854768 req, miss ratio 0.3779, byte miss ratio 0.3779
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size   158555, 23854768 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size   317111, 23854768 req, miss ratio 0.1665, byte miss ratio 0.1665
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size   634222, 23854768 req, miss ratio 0.1098, byte miss ratio 0.1098
result/tencentBlock.ns3801.oracleGeneral.zst S3FIFO-d-1 cache size  1268444, 23854768 req, miss ratio 0.0711, byte miss ratio 0.0711
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size     1585, 23854768 req, miss ratio 0.6248, byte miss ratio 0.6248
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size     4756, 23854768 req, miss ratio 0.5723, byte miss ratio 0.5723
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size    15855, 23854768 req, miss ratio 0.4690, byte miss ratio 0.4690
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size    47566, 23854768 req, miss ratio 0.3560, byte miss ratio 0.3560
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size   158555, 23854768 req, miss ratio 0.2213, byte miss ratio 0.2213
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size   317111, 23854768 req, miss ratio 0.1535, byte miss ratio 0.1535
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size   634222, 23854768 req, miss ratio 0.1045, byte miss ratio 0.1045
result/tencentBlock.ns3801.oracleGeneral.zst LRB cache size  1268444, 23854768 req, miss ratio 0.0729, byte miss ratio 0.0729
result/tencentBlock.ns3801.oracleGeneral.zst B-LRU cache size     1585, 23854768 req, miss ratio 0.6682, byte miss ratio 0.6682
