result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size      310, 3297972 req, miss ratio 0.5118, byte miss ratio 0.5118
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size      930, 3297972 req, miss ratio 0.3523, byte miss ratio 0.3523
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size     3100, 3297972 req, miss ratio 0.2457, byte miss ratio 0.2457
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size     9302, 3297972 req, miss ratio 0.2129, byte miss ratio 0.2129
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size    31006, 3297972 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size    62013, 3297972 req, miss ratio 0.1226, byte miss ratio 0.1226
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size   124027, 3297972 req, miss ratio 0.1008, byte miss ratio 0.1008
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-1 cache size   248055, 3297972 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size      310, 3297972 req, miss ratio 0.5100, byte miss ratio 0.5100
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size      930, 3297972 req, miss ratio 0.4028, byte miss ratio 0.4028
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size     3100, 3297972 req, miss ratio 0.2590, byte miss ratio 0.2590
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size     9302, 3297972 req, miss ratio 0.2227, byte miss ratio 0.2227
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size    31006, 3297972 req, miss ratio 0.1591, byte miss ratio 0.1591
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size    62013, 3297972 req, miss ratio 0.1230, byte miss ratio 0.1230
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size   124027, 3297972 req, miss ratio 0.1003, byte miss ratio 0.1003
result/tencentBlock.ns2257.oracleGeneral.zst Clock cache size   248055, 3297972 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size      310, 3297972 req, miss ratio 0.6013, byte miss ratio 0.6013
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size      930, 3297972 req, miss ratio 0.4471, byte miss ratio 0.4471
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size     3100, 3297972 req, miss ratio 0.3156, byte miss ratio 0.3156
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size     9302, 3297972 req, miss ratio 0.2469, byte miss ratio 0.2469
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size    31006, 3297972 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size    62013, 3297972 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size   124027, 3297972 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns2257.oracleGeneral.zst FIFO cache size   248055, 3297972 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size      310, 3297972 req, miss ratio 0.5152, byte miss ratio 0.5152
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size      930, 3297972 req, miss ratio 0.3761, byte miss ratio 0.3761
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size     3100, 3297972 req, miss ratio 0.2597, byte miss ratio 0.2597
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size     9302, 3297972 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size    31006, 3297972 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size    62013, 3297972 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size   124027, 3297972 req, miss ratio 0.1078, byte miss ratio 0.1078
result/tencentBlock.ns2257.oracleGeneral.zst LIRS cache size   248055, 3297972 req, miss ratio 0.0983, byte miss ratio 0.0983
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size      310, 3297972 req, miss ratio 0.5075, byte miss ratio 0.5075
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size      930, 3297972 req, miss ratio 0.4024, byte miss ratio 0.4024
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size     3100, 3297972 req, miss ratio 0.2482, byte miss ratio 0.2482
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size     9302, 3297972 req, miss ratio 0.2233, byte miss ratio 0.2233
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size    31006, 3297972 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size    62013, 3297972 req, miss ratio 0.1293, byte miss ratio 0.1293
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size   124027, 3297972 req, miss ratio 0.1008, byte miss ratio 0.1008
result/tencentBlock.ns2257.oracleGeneral.zst clock2 cache size   248055, 3297972 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size      310, 3297972 req, miss ratio 0.4976, byte miss ratio 0.4976
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size      930, 3297972 req, miss ratio 0.3747, byte miss ratio 0.3747
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size     3100, 3297972 req, miss ratio 0.2465, byte miss ratio 0.2465
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size     9302, 3297972 req, miss ratio 0.2205, byte miss ratio 0.2205
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size    31006, 3297972 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size    62013, 3297972 req, miss ratio 0.1171, byte miss ratio 0.1171
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size   124027, 3297972 req, miss ratio 0.0983, byte miss ratio 0.0983
result/tencentBlock.ns2257.oracleGeneral.zst Cacheus cache size   248055, 3297972 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size      310, 3297972 req, miss ratio 0.5089, byte miss ratio 0.5089
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size      930, 3297972 req, miss ratio 0.4038, byte miss ratio 0.4038
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size     3100, 3297972 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size     9302, 3297972 req, miss ratio 0.2225, byte miss ratio 0.2225
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size    31006, 3297972 req, miss ratio 0.1536, byte miss ratio 0.1536
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size    62013, 3297972 req, miss ratio 0.1180, byte miss ratio 0.1180
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size   124027, 3297972 req, miss ratio 0.0979, byte miss ratio 0.0979
result/tencentBlock.ns2257.oracleGeneral.zst LeCaR cache size   248055, 3297972 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size      310, 3297972 req, miss ratio 0.5145, byte miss ratio 0.5145
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size      930, 3297972 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size     3100, 3297972 req, miss ratio 0.2652, byte miss ratio 0.2652
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size     9302, 3297972 req, miss ratio 0.2229, byte miss ratio 0.2229
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size    31006, 3297972 req, miss ratio 0.1545, byte miss ratio 0.1545
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size    62013, 3297972 req, miss ratio 0.1185, byte miss ratio 0.1185
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size   124027, 3297972 req, miss ratio 0.0983, byte miss ratio 0.0983
result/tencentBlock.ns2257.oracleGeneral.zst LRU cache size   248055, 3297972 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size      310, 3297972 req, miss ratio 0.5078, byte miss ratio 0.5078
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size      930, 3297972 req, miss ratio 0.3952, byte miss ratio 0.3952
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size     3100, 3297972 req, miss ratio 0.2495, byte miss ratio 0.2495
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size     9302, 3297972 req, miss ratio 0.2162, byte miss ratio 0.2162
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size    31006, 3297972 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size    62013, 3297972 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size   124027, 3297972 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns2257.oracleGeneral.zst LHD cache size   248055, 3297972 req, miss ratio 0.0948, byte miss ratio 0.0948
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size      310, 3297972 req, miss ratio 0.4988, byte miss ratio 0.4988
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size      930, 3297972 req, miss ratio 0.3662, byte miss ratio 0.3662
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size     3100, 3297972 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size     9302, 3297972 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size    31006, 3297972 req, miss ratio 0.1562, byte miss ratio 0.1562
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size    62013, 3297972 req, miss ratio 0.1220, byte miss ratio 0.1220
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size   124027, 3297972 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns2257.oracleGeneral.zst ARC cache size   248055, 3297972 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size      310, 3297972 req, miss ratio 0.4973, byte miss ratio 0.4973
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size      930, 3297972 req, miss ratio 0.3516, byte miss ratio 0.3516
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size     3100, 3297972 req, miss ratio 0.2454, byte miss ratio 0.2454
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size     9302, 3297972 req, miss ratio 0.2129, byte miss ratio 0.2129
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size    31006, 3297972 req, miss ratio 0.1641, byte miss ratio 0.1641
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size    62013, 3297972 req, miss ratio 0.1219, byte miss ratio 0.1219
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size   124027, 3297972 req, miss ratio 0.1005, byte miss ratio 0.1005
result/tencentBlock.ns2257.oracleGeneral.zst S3FIFO-d-1 cache size   248055, 3297972 req, miss ratio 0.0954, byte miss ratio 0.0954
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size      310, 3297972 req, miss ratio 0.5149, byte miss ratio 0.5149
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size      930, 3297972 req, miss ratio 0.3442, byte miss ratio 0.3442
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size     3100, 3297972 req, miss ratio 0.2504, byte miss ratio 0.2504
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size     9302, 3297972 req, miss ratio 0.2248, byte miss ratio 0.2248
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size    31006, 3297972 req, miss ratio 0.1817, byte miss ratio 0.1817
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size    62013, 3297972 req, miss ratio 0.1364, byte miss ratio 0.1364
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size   124027, 3297972 req, miss ratio 0.1004, byte miss ratio 0.1004
result/tencentBlock.ns2257.oracleGeneral.zst LRB cache size   248055, 3297972 req, miss ratio 0.0953, byte miss ratio 0.0953
