result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size       46, 1251610 req, miss ratio 0.2533, byte miss ratio 0.2533
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size      139, 1251610 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size      464, 1251610 req, miss ratio 0.1739, byte miss ratio 0.1739
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size     1392, 1251610 req, miss ratio 0.1461, byte miss ratio 0.1461
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size     4640, 1251610 req, miss ratio 0.1078, byte miss ratio 0.1078
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size     9281, 1251610 req, miss ratio 0.0913, byte miss ratio 0.0913
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size    18562, 1251610 req, miss ratio 0.0645, byte miss ratio 0.0645
result/tencentBlock.ns8324.oracleGeneral.zst LIRS cache size    37124, 1251610 req, miss ratio 0.0385, byte miss ratio 0.0385
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size       46, 1251610 req, miss ratio 0.4223, byte miss ratio 0.4223
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size      139, 1251610 req, miss ratio 0.1992, byte miss ratio 0.1992
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size      464, 1251610 req, miss ratio 0.1732, byte miss ratio 0.1732
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size     1392, 1251610 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size     4640, 1251610 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size     9281, 1251610 req, miss ratio 0.0944, byte miss ratio 0.0944
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size    18562, 1251610 req, miss ratio 0.0679, byte miss ratio 0.0679
result/tencentBlock.ns8324.oracleGeneral.zst LHD cache size    37124, 1251610 req, miss ratio 0.0390, byte miss ratio 0.0390
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size       46, 1251610 req, miss ratio 0.3759, byte miss ratio 0.3759
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size      139, 1251610 req, miss ratio 0.1975, byte miss ratio 0.1975
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size      464, 1251610 req, miss ratio 0.1756, byte miss ratio 0.1756
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size     1392, 1251610 req, miss ratio 0.1610, byte miss ratio 0.1610
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size     4640, 1251610 req, miss ratio 0.1389, byte miss ratio 0.1389
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size     9281, 1251610 req, miss ratio 0.0976, byte miss ratio 0.0976
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size    18562, 1251610 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns8324.oracleGeneral.zst clock2 cache size    37124, 1251610 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size       46, 1251610 req, miss ratio 0.2470, byte miss ratio 0.2470
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size      139, 1251610 req, miss ratio 0.1855, byte miss ratio 0.1855
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size      464, 1251610 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size     1392, 1251610 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns8324.oracleGeneral.zst ARC cache size     4640, 1251610 req, miss ratio 0.1092, byte miss ratio 0.1092
