result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size      635, 7322074 req, miss ratio 0.4792, byte miss ratio 0.4792
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size     1905, 7322074 req, miss ratio 0.3201, byte miss ratio 0.3201
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size     6350, 7322074 req, miss ratio 0.2122, byte miss ratio 0.2122
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size    19050, 7322074 req, miss ratio 0.1505, byte miss ratio 0.1505
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size    63501, 7322074 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size   127002, 7322074 req, miss ratio 0.0966, byte miss ratio 0.0966
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size   254004, 7322074 req, miss ratio 0.0874, byte miss ratio 0.0874
result/tencentBlock.ns12811.oracleGeneral.zst LRU cache size   508008, 7322074 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size      635, 7322074 req, miss ratio 0.4755, byte miss ratio 0.4755
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size     1905, 7322074 req, miss ratio 0.2922, byte miss ratio 0.2922
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size     6350, 7322074 req, miss ratio 0.2123, byte miss ratio 0.2123
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size    19050, 7322074 req, miss ratio 0.1593, byte miss ratio 0.1593
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size    63501, 7322074 req, miss ratio 0.1199, byte miss ratio 0.1199
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size   127002, 7322074 req, miss ratio 0.1007, byte miss ratio 0.1007
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size   254004, 7322074 req, miss ratio 0.0890, byte miss ratio 0.0890
result/tencentBlock.ns12811.oracleGeneral.zst clock2 cache size   508008, 7322074 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns12811.oracleGeneral.zst LHD cache size      635, 7322074 req, miss ratio 0.5001, byte miss ratio 0.5001
result/tencentBlock.ns12811.oracleGeneral.zst LHD cache size     1905, 7322074 req, miss ratio 0.3060, byte miss ratio 0.3060
