result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size      141, 1272678 req, miss ratio 0.3884, byte miss ratio 0.3884
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size      425, 1272678 req, miss ratio 0.3773, byte miss ratio 0.3773
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size     1417, 1272678 req, miss ratio 0.3704, byte miss ratio 0.3704
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size     4252, 1272678 req, miss ratio 0.3667, byte miss ratio 0.3667
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size    14175, 1272678 req, miss ratio 0.3376, byte miss ratio 0.3376
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size    28351, 1272678 req, miss ratio 0.2736, byte miss ratio 0.2736
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size    56703, 1272678 req, miss ratio 0.1736, byte miss ratio 0.1736
result/tencentBlock.ns22890.oracleGeneral.zst Cacheus cache size   113406, 1272678 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size      141, 1272678 req, miss ratio 0.3893, byte miss ratio 0.3893
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size      425, 1272678 req, miss ratio 0.3773, byte miss ratio 0.3773
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size     1417, 1272678 req, miss ratio 0.3702, byte miss ratio 0.3702
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size     4252, 1272678 req, miss ratio 0.3669, byte miss ratio 0.3669
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size    14175, 1272678 req, miss ratio 0.3230, byte miss ratio 0.3230
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size    28351, 1272678 req, miss ratio 0.2640, byte miss ratio 0.2640
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size    56703, 1272678 req, miss ratio 0.1778, byte miss ratio 0.1778
result/tencentBlock.ns22890.oracleGeneral.zst ARC cache size   113406, 1272678 req, miss ratio 0.1162, byte miss ratio 0.1162
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size      141, 1272678 req, miss ratio 0.4487, byte miss ratio 0.4487
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size      425, 1272678 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size     1417, 1272678 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size     4252, 1272678 req, miss ratio 0.3724, byte miss ratio 0.3724
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size    14175, 1272678 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size    28351, 1272678 req, miss ratio 0.2821, byte miss ratio 0.2821
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size    56703, 1272678 req, miss ratio 0.2070, byte miss ratio 0.2070
result/tencentBlock.ns22890.oracleGeneral.zst FIFO cache size   113406, 1272678 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size      141, 1272678 req, miss ratio 0.4918, byte miss ratio 0.4918
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size      425, 1272678 req, miss ratio 0.4428, byte miss ratio 0.4428
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size     1417, 1272678 req, miss ratio 0.3736, byte miss ratio 0.3736
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size     4252, 1272678 req, miss ratio 0.3672, byte miss ratio 0.3672
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size    14175, 1272678 req, miss ratio 0.3283, byte miss ratio 0.3283
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size    28351, 1272678 req, miss ratio 0.2781, byte miss ratio 0.2781
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size    56703, 1272678 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns22890.oracleGeneral.zst LIRS cache size   113406, 1272678 req, miss ratio 0.1157, byte miss ratio 0.1157
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size      141, 1272678 req, miss ratio 0.4794, byte miss ratio 0.4794
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size      425, 1272678 req, miss ratio 0.3799, byte miss ratio 0.3799
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size     1417, 1272678 req, miss ratio 0.3717, byte miss ratio 0.3717
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size     4252, 1272678 req, miss ratio 0.3666, byte miss ratio 0.3666
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size    14175, 1272678 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size    28351, 1272678 req, miss ratio 0.2714, byte miss ratio 0.2714
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size    56703, 1272678 req, miss ratio 0.1829, byte miss ratio 0.1829
result/tencentBlock.ns22890.oracleGeneral.zst LHD cache size   113406, 1272678 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size      141, 1272678 req, miss ratio 0.3884, byte miss ratio 0.3884
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size      425, 1272678 req, miss ratio 0.3757, byte miss ratio 0.3757
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size     1417, 1272678 req, miss ratio 0.3682, byte miss ratio 0.3682
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size     4252, 1272678 req, miss ratio 0.3665, byte miss ratio 0.3665
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size    14175, 1272678 req, miss ratio 0.3319, byte miss ratio 0.3319
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size    28351, 1272678 req, miss ratio 0.2767, byte miss ratio 0.2767
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size    56703, 1272678 req, miss ratio 0.1770, byte miss ratio 0.1770
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-1 cache size   113406, 1272678 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size      141, 1272678 req, miss ratio 0.3934, byte miss ratio 0.3934
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size      425, 1272678 req, miss ratio 0.3793, byte miss ratio 0.3793
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size     1417, 1272678 req, miss ratio 0.3719, byte miss ratio 0.3719
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size     4252, 1272678 req, miss ratio 0.3672, byte miss ratio 0.3672
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size    14175, 1272678 req, miss ratio 0.3145, byte miss ratio 0.3145
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size    28351, 1272678 req, miss ratio 0.2683, byte miss ratio 0.2683
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size    56703, 1272678 req, miss ratio 0.1789, byte miss ratio 0.1789
result/tencentBlock.ns22890.oracleGeneral.zst LeCaR cache size   113406, 1272678 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size      141, 1272678 req, miss ratio 0.3943, byte miss ratio 0.3943
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size      425, 1272678 req, miss ratio 0.3795, byte miss ratio 0.3795
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size     1417, 1272678 req, miss ratio 0.3720, byte miss ratio 0.3720
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size     4252, 1272678 req, miss ratio 0.3677, byte miss ratio 0.3677
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size    14175, 1272678 req, miss ratio 0.3145, byte miss ratio 0.3145
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size    28351, 1272678 req, miss ratio 0.2717, byte miss ratio 0.2717
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size    56703, 1272678 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns22890.oracleGeneral.zst LRU cache size   113406, 1272678 req, miss ratio 0.1157, byte miss ratio 0.1157
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size      141, 1272678 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size      425, 1272678 req, miss ratio 0.3805, byte miss ratio 0.3805
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size     1417, 1272678 req, miss ratio 0.3726, byte miss ratio 0.3726
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size     4252, 1272678 req, miss ratio 0.3676, byte miss ratio 0.3676
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size    14175, 1272678 req, miss ratio 0.3643, byte miss ratio 0.3643
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size    28351, 1272678 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size    56703, 1272678 req, miss ratio 0.2107, byte miss ratio 0.2107
result/tencentBlock.ns22890.oracleGeneral.zst clock2 cache size   113406, 1272678 req, miss ratio 0.1212, byte miss ratio 0.1212
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size      141, 1272678 req, miss ratio 0.3949, byte miss ratio 0.3949
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size      425, 1272678 req, miss ratio 0.3800, byte miss ratio 0.3800
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size     1417, 1272678 req, miss ratio 0.3722, byte miss ratio 0.3722
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size     4252, 1272678 req, miss ratio 0.3677, byte miss ratio 0.3677
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size    14175, 1272678 req, miss ratio 0.3434, byte miss ratio 0.3434
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size    28351, 1272678 req, miss ratio 0.2900, byte miss ratio 0.2900
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size    56703, 1272678 req, miss ratio 0.1951, byte miss ratio 0.1951
result/tencentBlock.ns22890.oracleGeneral.zst Clock cache size   113406, 1272678 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size      141, 1272678 req, miss ratio 0.3859, byte miss ratio 0.3859
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size      425, 1272678 req, miss ratio 0.3752, byte miss ratio 0.3752
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size     1417, 1272678 req, miss ratio 0.3683, byte miss ratio 0.3683
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size     4252, 1272678 req, miss ratio 0.3665, byte miss ratio 0.3665
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size    14175, 1272678 req, miss ratio 0.3310, byte miss ratio 0.3310
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size    28351, 1272678 req, miss ratio 0.2816, byte miss ratio 0.2816
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size    56703, 1272678 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d-1 cache size   113406, 1272678 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size      141, 1272678 req, miss ratio 0.5706, byte miss ratio 0.5706
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size      425, 1272678 req, miss ratio 0.4569, byte miss ratio 0.4569
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size     1417, 1272678 req, miss ratio 0.3856, byte miss ratio 0.3856
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size     4252, 1272678 req, miss ratio 0.3545, byte miss ratio 0.3545
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size    14175, 1272678 req, miss ratio 0.2877, byte miss ratio 0.2877
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size    28351, 1272678 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size    56703, 1272678 req, miss ratio 0.1594, byte miss ratio 0.1594
result/tencentBlock.ns22890.oracleGeneral.zst LRB cache size   113406, 1272678 req, miss ratio 0.1157, byte miss ratio 0.1157
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size      141, 1272678 req, miss ratio 0.3801, byte miss ratio 0.3801
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size      425, 1272678 req, miss ratio 0.3703, byte miss ratio 0.3703
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size     1417, 1272678 req, miss ratio 0.3673, byte miss ratio 0.3673
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size     4252, 1272678 req, miss ratio 0.3660, byte miss ratio 0.3660
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size    14175, 1272678 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size    28351, 1272678 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size    56703, 1272678 req, miss ratio 0.1708, byte miss ratio 0.1708
result/tencentBlock.ns22890.oracleGeneral.zst TwoQ cache size   113406, 1272678 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size      141, 1272678 req, miss ratio 0.4712, byte miss ratio 0.4712
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size      425, 1272678 req, miss ratio 0.4574, byte miss ratio 0.4574
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size     1417, 1272678 req, miss ratio 0.4504, byte miss ratio 0.4504
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size     4252, 1272678 req, miss ratio 0.4468, byte miss ratio 0.4468
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size    14175, 1272678 req, miss ratio 0.3995, byte miss ratio 0.3995
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size    28351, 1272678 req, miss ratio 0.3564, byte miss ratio 0.3564
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size    56703, 1272678 req, miss ratio 0.2701, byte miss ratio 0.2701
result/tencentBlock.ns22890.oracleGeneral.zst B-LRU cache size   113406, 1272678 req, miss ratio 0.2238, byte miss ratio 0.2238
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      141, 1272678 req, miss ratio 0.4065, byte miss ratio 0.4065
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      425, 1272678 req, miss ratio 0.3839, byte miss ratio 0.3839
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1417, 1272678 req, miss ratio 0.3751, byte miss ratio 0.3751
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4252, 1272678 req, miss ratio 0.3691, byte miss ratio 0.3691
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14175, 1272678 req, miss ratio 0.3612, byte miss ratio 0.3612
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    28351, 1272678 req, miss ratio 0.3188, byte miss ratio 0.3188
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    56703, 1272678 req, miss ratio 0.2348, byte miss ratio 0.2348
result/tencentBlock.ns22890.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   113406, 1272678 req, miss ratio 0.1238, byte miss ratio 0.1238
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size      141, 1272678 req, miss ratio 0.4078, byte miss ratio 0.4078
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size      425, 1272678 req, miss ratio 0.3805, byte miss ratio 0.3805
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1417, 1272678 req, miss ratio 0.3722, byte miss ratio 0.3722
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4252, 1272678 req, miss ratio 0.3671, byte miss ratio 0.3671
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14175, 1272678 req, miss ratio 0.3506, byte miss ratio 0.3506
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size    28351, 1272678 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size    56703, 1272678 req, miss ratio 0.1994, byte miss ratio 0.1994
result/tencentBlock.ns22890.oracleGeneral.zst S4LRU(25:25:25:25) cache size   113406, 1272678 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d cache size      141, 1272678 req, miss ratio 0.3855, byte miss ratio 0.3855
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d cache size      425, 1272678 req, miss ratio 0.3749, byte miss ratio 0.3749
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d cache size     1417, 1272678 req, miss ratio 0.3679, byte miss ratio 0.3679
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d cache size     4252, 1272678 req, miss ratio 0.3666, byte miss ratio 0.3666
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d cache size    14175, 1272678 req, miss ratio 0.3222, byte miss ratio 0.3222
result/tencentBlock.ns22890.oracleGeneral.zst S3FIFO-d cache size    28351, 1272678 req, miss ratio 0.2725, byte miss ratio 0.2725
