result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size      373, 1344322 req, miss ratio 0.3214, byte miss ratio 0.3214
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size     1119, 1344322 req, miss ratio 0.3158, byte miss ratio 0.3158
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size     3733, 1344322 req, miss ratio 0.3144, byte miss ratio 0.3144
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size    11199, 1344322 req, miss ratio 0.3059, byte miss ratio 0.3059
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size    37331, 1344322 req, miss ratio 0.2996, byte miss ratio 0.2996
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size    74662, 1344322 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size   149324, 1344322 req, miss ratio 0.2920, byte miss ratio 0.2920
result/tencentBlock.ns14613.oracleGeneral.zst Cacheus cache size   298648, 1344322 req, miss ratio 0.2802, byte miss ratio 0.2802
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size      373, 1344322 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size     1119, 1344322 req, miss ratio 0.3174, byte miss ratio 0.3174
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size     3733, 1344322 req, miss ratio 0.3149, byte miss ratio 0.3149
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size    11199, 1344322 req, miss ratio 0.3059, byte miss ratio 0.3059
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size    37331, 1344322 req, miss ratio 0.2981, byte miss ratio 0.2981
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size    74662, 1344322 req, miss ratio 0.2927, byte miss ratio 0.2927
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size   149324, 1344322 req, miss ratio 0.2854, byte miss ratio 0.2854
result/tencentBlock.ns14613.oracleGeneral.zst LRU cache size   298648, 1344322 req, miss ratio 0.2790, byte miss ratio 0.2790
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size      373, 1344322 req, miss ratio 0.3282, byte miss ratio 0.3282
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size     1119, 1344322 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size     3733, 1344322 req, miss ratio 0.3149, byte miss ratio 0.3149
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size    11199, 1344322 req, miss ratio 0.3065, byte miss ratio 0.3065
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size    37331, 1344322 req, miss ratio 0.2993, byte miss ratio 0.2993
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size    74662, 1344322 req, miss ratio 0.2945, byte miss ratio 0.2945
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size   149324, 1344322 req, miss ratio 0.2870, byte miss ratio 0.2870
result/tencentBlock.ns14613.oracleGeneral.zst Clock cache size   298648, 1344322 req, miss ratio 0.2794, byte miss ratio 0.2794
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size      373, 1344322 req, miss ratio 0.3224, byte miss ratio 0.3224
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size     1119, 1344322 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size     3733, 1344322 req, miss ratio 0.3142, byte miss ratio 0.3142
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size    11199, 1344322 req, miss ratio 0.3049, byte miss ratio 0.3049
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size    37331, 1344322 req, miss ratio 0.3014, byte miss ratio 0.3014
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size    74662, 1344322 req, miss ratio 0.2973, byte miss ratio 0.2973
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size   149324, 1344322 req, miss ratio 0.2892, byte miss ratio 0.2892
result/tencentBlock.ns14613.oracleGeneral.zst S3FIFO-1 cache size   298648, 1344322 req, miss ratio 0.2794, byte miss ratio 0.2794
result/tencentBlock.ns14613.oracleGeneral.zst FIFO cache size      373, 1344322 req, miss ratio 0.3545, byte miss ratio 0.3545
result/tencentBlock.ns14613.oracleGeneral.zst FIFO cache size     1119, 1344322 req, miss ratio 0.3306, byte miss ratio 0.3306
result/tencentBlock.ns14613.oracleGeneral.zst FIFO cache size     3733, 1344322 req, miss ratio 0.3199, byte miss ratio 0.3199
result/tencentBlock.ns14613.oracleGeneral.zst FIFO cache size    11199, 1344322 req, miss ratio 0.3105, byte miss ratio 0.3105
