result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size      249, 2519316 req, miss ratio 0.5346, byte miss ratio 0.5346
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size      747, 2519316 req, miss ratio 0.5153, byte miss ratio 0.5153
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size     2492, 2519316 req, miss ratio 0.4599, byte miss ratio 0.4599
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size     7477, 2519316 req, miss ratio 0.4191, byte miss ratio 0.4191
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size    24924, 2519316 req, miss ratio 0.2951, byte miss ratio 0.2951
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size    49848, 2519316 req, miss ratio 0.1490, byte miss ratio 0.1490
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size    99697, 2519316 req, miss ratio 0.1047, byte miss ratio 0.1047
result/tencentBlock.ns10356.oracleGeneral.zst Cacheus cache size   199395, 2519316 req, miss ratio 0.1020, byte miss ratio 0.1020
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size      249, 2519316 req, miss ratio 0.5576, byte miss ratio 0.5576
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size      747, 2519316 req, miss ratio 0.5217, byte miss ratio 0.5217
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size     2492, 2519316 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size     7477, 2519316 req, miss ratio 0.4388, byte miss ratio 0.4388
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size    24924, 2519316 req, miss ratio 0.3130, byte miss ratio 0.3130
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size    49848, 2519316 req, miss ratio 0.1669, byte miss ratio 0.1669
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size    99697, 2519316 req, miss ratio 0.1053, byte miss ratio 0.1053
result/tencentBlock.ns10356.oracleGeneral.zst LRU cache size   199395, 2519316 req, miss ratio 0.0994, byte miss ratio 0.0994
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size      249, 2519316 req, miss ratio 0.5352, byte miss ratio 0.5352
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size      747, 2519316 req, miss ratio 0.5155, byte miss ratio 0.5155
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size     2492, 2519316 req, miss ratio 0.4434, byte miss ratio 0.4434
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size     7477, 2519316 req, miss ratio 0.4151, byte miss ratio 0.4151
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size    24924, 2519316 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size    49848, 2519316 req, miss ratio 0.1497, byte miss ratio 0.1497
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size    99697, 2519316 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns10356.oracleGeneral.zst ARC cache size   199395, 2519316 req, miss ratio 0.1020, byte miss ratio 0.1020
