result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size      346, 7769266 req, miss ratio 0.6815, byte miss ratio 0.6815
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size     1038, 7769266 req, miss ratio 0.6580, byte miss ratio 0.6580
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size     3460, 7769266 req, miss ratio 0.6164, byte miss ratio 0.6164
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size    10380, 7769266 req, miss ratio 0.4274, byte miss ratio 0.4274
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size    34600, 7769266 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size    69201, 7769266 req, miss ratio 0.1373, byte miss ratio 0.1373
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size   138402, 7769266 req, miss ratio 0.0900, byte miss ratio 0.0900
result/tencentBlock.ns9319.oracleGeneral.zst LIRS cache size   276804, 7769266 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size      346, 7769266 req, miss ratio 0.7045, byte miss ratio 0.7045
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size     1038, 7769266 req, miss ratio 0.6666, byte miss ratio 0.6666
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size     3460, 7769266 req, miss ratio 0.6509, byte miss ratio 0.6509
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size    10380, 7769266 req, miss ratio 0.5283, byte miss ratio 0.5283
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size    34600, 7769266 req, miss ratio 0.2776, byte miss ratio 0.2776
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size    69201, 7769266 req, miss ratio 0.1437, byte miss ratio 0.1437
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size   138402, 7769266 req, miss ratio 0.1002, byte miss ratio 0.1002
result/tencentBlock.ns9319.oracleGeneral.zst LeCaR cache size   276804, 7769266 req, miss ratio 0.0459, byte miss ratio 0.0459
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size      346, 7769266 req, miss ratio 0.7118, byte miss ratio 0.7118
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size     1038, 7769266 req, miss ratio 0.6737, byte miss ratio 0.6737
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size     3460, 7769266 req, miss ratio 0.6559, byte miss ratio 0.6559
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size    10380, 7769266 req, miss ratio 0.5376, byte miss ratio 0.5376
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size    34600, 7769266 req, miss ratio 0.3719, byte miss ratio 0.3719
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size    69201, 7769266 req, miss ratio 0.1449, byte miss ratio 0.1449
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size   138402, 7769266 req, miss ratio 0.1041, byte miss ratio 0.1041
result/tencentBlock.ns9319.oracleGeneral.zst Clock cache size   276804, 7769266 req, miss ratio 0.0473, byte miss ratio 0.0473
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size      346, 7769266 req, miss ratio 0.7133, byte miss ratio 0.7133
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size     1038, 7769266 req, miss ratio 0.6749, byte miss ratio 0.6749
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size     3460, 7769266 req, miss ratio 0.6301, byte miss ratio 0.6301
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size    10380, 7769266 req, miss ratio 0.5121, byte miss ratio 0.5121
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size    34600, 7769266 req, miss ratio 0.2337, byte miss ratio 0.2337
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size    69201, 7769266 req, miss ratio 0.1402, byte miss ratio 0.1402
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size   138402, 7769266 req, miss ratio 0.0921, byte miss ratio 0.0921
result/tencentBlock.ns9319.oracleGeneral.zst LHD cache size   276804, 7769266 req, miss ratio 0.0469, byte miss ratio 0.0469
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size      346, 7769266 req, miss ratio 0.6795, byte miss ratio 0.6795
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size     1038, 7769266 req, miss ratio 0.6536, byte miss ratio 0.6536
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size     3460, 7769266 req, miss ratio 0.6118, byte miss ratio 0.6118
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size    10380, 7769266 req, miss ratio 0.4349, byte miss ratio 0.4349
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size    34600, 7769266 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size    69201, 7769266 req, miss ratio 0.1385, byte miss ratio 0.1385
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size   138402, 7769266 req, miss ratio 0.0950, byte miss ratio 0.0950
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-1 cache size   276804, 7769266 req, miss ratio 0.0471, byte miss ratio 0.0471
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size      346, 7769266 req, miss ratio 0.6810, byte miss ratio 0.6810
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size     1038, 7769266 req, miss ratio 0.6554, byte miss ratio 0.6554
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size     3460, 7769266 req, miss ratio 0.6211, byte miss ratio 0.6211
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size    10380, 7769266 req, miss ratio 0.4928, byte miss ratio 0.4928
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size    34600, 7769266 req, miss ratio 0.1859, byte miss ratio 0.1859
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size    69201, 7769266 req, miss ratio 0.1438, byte miss ratio 0.1438
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size   138402, 7769266 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns9319.oracleGeneral.zst Cacheus cache size   276804, 7769266 req, miss ratio 0.0461, byte miss ratio 0.0461
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size      346, 7769266 req, miss ratio 0.7691, byte miss ratio 0.7691
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size     1038, 7769266 req, miss ratio 0.7054, byte miss ratio 0.7054
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size     3460, 7769266 req, miss ratio 0.6706, byte miss ratio 0.6706
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size    10380, 7769266 req, miss ratio 0.5433, byte miss ratio 0.5433
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size    34600, 7769266 req, miss ratio 0.4351, byte miss ratio 0.4351
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size    69201, 7769266 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size   138402, 7769266 req, miss ratio 0.1234, byte miss ratio 0.1234
result/tencentBlock.ns9319.oracleGeneral.zst FIFO cache size   276804, 7769266 req, miss ratio 0.0582, byte miss ratio 0.0582
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size      346, 7769266 req, miss ratio 0.7216, byte miss ratio 0.7216
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size     1038, 7769266 req, miss ratio 0.6772, byte miss ratio 0.6772
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size     3460, 7769266 req, miss ratio 0.6575, byte miss ratio 0.6575
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size    10380, 7769266 req, miss ratio 0.5337, byte miss ratio 0.5337
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size    34600, 7769266 req, miss ratio 0.4212, byte miss ratio 0.4212
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size    69201, 7769266 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size   138402, 7769266 req, miss ratio 0.1052, byte miss ratio 0.1052
result/tencentBlock.ns9319.oracleGeneral.zst LRU cache size   276804, 7769266 req, miss ratio 0.0459, byte miss ratio 0.0459
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size      346, 7769266 req, miss ratio 0.6787, byte miss ratio 0.6787
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size     1038, 7769266 req, miss ratio 0.6536, byte miss ratio 0.6536
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size     3460, 7769266 req, miss ratio 0.6128, byte miss ratio 0.6128
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size    10380, 7769266 req, miss ratio 0.4277, byte miss ratio 0.4277
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size    34600, 7769266 req, miss ratio 0.1816, byte miss ratio 0.1816
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size    69201, 7769266 req, miss ratio 0.1399, byte miss ratio 0.1399
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size   138402, 7769266 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns9319.oracleGeneral.zst ARC cache size   276804, 7769266 req, miss ratio 0.0470, byte miss ratio 0.0470
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size      346, 7769266 req, miss ratio 0.7051, byte miss ratio 0.7051
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size     1038, 7769266 req, miss ratio 0.6699, byte miss ratio 0.6699
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size     3460, 7769266 req, miss ratio 0.6535, byte miss ratio 0.6535
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size    10380, 7769266 req, miss ratio 0.5339, byte miss ratio 0.5339
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size    34600, 7769266 req, miss ratio 0.3713, byte miss ratio 0.3713
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size    69201, 7769266 req, miss ratio 0.1438, byte miss ratio 0.1438
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size   138402, 7769266 req, miss ratio 0.1045, byte miss ratio 0.1045
result/tencentBlock.ns9319.oracleGeneral.zst clock2 cache size   276804, 7769266 req, miss ratio 0.0471, byte miss ratio 0.0471
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size      346, 7769266 req, miss ratio 0.6760, byte miss ratio 0.6760
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size     1038, 7769266 req, miss ratio 0.6520, byte miss ratio 0.6520
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size     3460, 7769266 req, miss ratio 0.6119, byte miss ratio 0.6119
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size    10380, 7769266 req, miss ratio 0.4302, byte miss ratio 0.4302
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size    34600, 7769266 req, miss ratio 0.1978, byte miss ratio 0.1978
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size    69201, 7769266 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size   138402, 7769266 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d-1 cache size   276804, 7769266 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size      346, 7769266 req, miss ratio 0.6976, byte miss ratio 0.6976
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size     1038, 7769266 req, miss ratio 0.6562, byte miss ratio 0.6562
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size     3460, 7769266 req, miss ratio 0.5866, byte miss ratio 0.5866
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size    10380, 7769266 req, miss ratio 0.4316, byte miss ratio 0.4316
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size    34600, 7769266 req, miss ratio 0.1840, byte miss ratio 0.1840
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size    69201, 7769266 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size   138402, 7769266 req, miss ratio 0.0921, byte miss ratio 0.0921
result/tencentBlock.ns9319.oracleGeneral.zst LRB cache size   276804, 7769266 req, miss ratio 0.0479, byte miss ratio 0.0479
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size      346, 7769266 req, miss ratio 0.6986, byte miss ratio 0.6986
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1038, 7769266 req, miss ratio 0.6561, byte miss ratio 0.6561
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3460, 7769266 req, miss ratio 0.6327, byte miss ratio 0.6327
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10380, 7769266 req, miss ratio 0.6054, byte miss ratio 0.6054
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34600, 7769266 req, miss ratio 0.2335, byte miss ratio 0.2335
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size    69201, 7769266 req, miss ratio 0.1450, byte miss ratio 0.1450
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size   138402, 7769266 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns9319.oracleGeneral.zst S4LRU(25:25:25:25) cache size   276804, 7769266 req, miss ratio 0.0471, byte miss ratio 0.0471
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size      346, 7769266 req, miss ratio 0.6802, byte miss ratio 0.6802
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size     1038, 7769266 req, miss ratio 0.6521, byte miss ratio 0.6521
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size     3460, 7769266 req, miss ratio 0.6293, byte miss ratio 0.6293
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size    10380, 7769266 req, miss ratio 0.4543, byte miss ratio 0.4543
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size    34600, 7769266 req, miss ratio 0.2321, byte miss ratio 0.2321
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size    69201, 7769266 req, miss ratio 0.1405, byte miss ratio 0.1405
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size   138402, 7769266 req, miss ratio 0.1000, byte miss ratio 0.1000
result/tencentBlock.ns9319.oracleGeneral.zst TwoQ cache size   276804, 7769266 req, miss ratio 0.0582, byte miss ratio 0.0582
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      346, 7769266 req, miss ratio 0.7235, byte miss ratio 0.7235
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1038, 7769266 req, miss ratio 0.6747, byte miss ratio 0.6747
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3460, 7769266 req, miss ratio 0.6376, byte miss ratio 0.6376
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10380, 7769266 req, miss ratio 0.5608, byte miss ratio 0.5608
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34600, 7769266 req, miss ratio 0.3506, byte miss ratio 0.3506
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    69201, 7769266 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   138402, 7769266 req, miss ratio 0.1224, byte miss ratio 0.1224
result/tencentBlock.ns9319.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   276804, 7769266 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size      346, 7769266 req, miss ratio 0.7217, byte miss ratio 0.7217
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size     1038, 7769266 req, miss ratio 0.6815, byte miss ratio 0.6815
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size     3460, 7769266 req, miss ratio 0.6598, byte miss ratio 0.6598
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size    10380, 7769266 req, miss ratio 0.5422, byte miss ratio 0.5422
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size    34600, 7769266 req, miss ratio 0.4022, byte miss ratio 0.4022
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size    69201, 7769266 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size   138402, 7769266 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns9319.oracleGeneral.zst B-LRU cache size   276804, 7769266 req, miss ratio 0.0814, byte miss ratio 0.0814
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size      346, 7769266 req, miss ratio 0.6798, byte miss ratio 0.6798
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size     1038, 7769266 req, miss ratio 0.6527, byte miss ratio 0.6527
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size     3460, 7769266 req, miss ratio 0.6165, byte miss ratio 0.6165
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size    10380, 7769266 req, miss ratio 0.4373, byte miss ratio 0.4373
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size    34600, 7769266 req, miss ratio 0.2028, byte miss ratio 0.2028
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size    69201, 7769266 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size   138402, 7769266 req, miss ratio 0.0968, byte miss ratio 0.0968
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO cache size   276804, 7769266 req, miss ratio 0.0465, byte miss ratio 0.0465
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d cache size      346, 7769266 req, miss ratio 0.6776, byte miss ratio 0.6776
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d cache size     1038, 7769266 req, miss ratio 0.6515, byte miss ratio 0.6515
result/tencentBlock.ns9319.oracleGeneral.zst S3FIFO-d cache size     3460, 7769266 req, miss ratio 0.6159, byte miss ratio 0.6159
