result/tencentBlock.ns17681.oracleGeneral.zst ARC cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size      484, 8172887 req, miss ratio 0.3697, byte miss ratio 0.3697
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size     1452, 8172887 req, miss ratio 0.2602, byte miss ratio 0.2602
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size     4841, 8172887 req, miss ratio 0.2380, byte miss ratio 0.2380
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size    14523, 8172887 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size    48412, 8172887 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size    96825, 8172887 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size   193650, 8172887 req, miss ratio 0.0645, byte miss ratio 0.0645
result/tencentBlock.ns17681.oracleGeneral.zst Clock cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size      484, 8172887 req, miss ratio 0.3798, byte miss ratio 0.3798
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size     1452, 8172887 req, miss ratio 0.2638, byte miss ratio 0.2638
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size     4841, 8172887 req, miss ratio 0.2383, byte miss ratio 0.2383
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size    14523, 8172887 req, miss ratio 0.1715, byte miss ratio 0.1715
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size    48412, 8172887 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size    96825, 8172887 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns17681.oracleGeneral.zst LRU cache size   193650, 8172887 req, miss ratio 0.0637, byte miss ratio 0.0637
