result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size      309, 3172939 req, miss ratio 0.4669, byte miss ratio 0.4669
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size      929, 3172939 req, miss ratio 0.4141, byte miss ratio 0.4141
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size     3098, 3172939 req, miss ratio 0.3300, byte miss ratio 0.3300
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size     9296, 3172939 req, miss ratio 0.2810, byte miss ratio 0.2810
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size    30986, 3172939 req, miss ratio 0.2380, byte miss ratio 0.2380
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size    61973, 3172939 req, miss ratio 0.2098, byte miss ratio 0.2098
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size   123947, 3172939 req, miss ratio 0.1282, byte miss ratio 0.1282
result/tencentBlock.ns22555.oracleGeneral.zst clock2 cache size   247894, 3172939 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size      309, 3172939 req, miss ratio 0.4662, byte miss ratio 0.4662
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size      929, 3172939 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size     3098, 3172939 req, miss ratio 0.3206, byte miss ratio 0.3206
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size     9296, 3172939 req, miss ratio 0.2802, byte miss ratio 0.2802
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size    30986, 3172939 req, miss ratio 0.2328, byte miss ratio 0.2328
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size    61973, 3172939 req, miss ratio 0.1827, byte miss ratio 0.1827
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size   123947, 3172939 req, miss ratio 0.1119, byte miss ratio 0.1119
result/tencentBlock.ns22555.oracleGeneral.zst LeCaR cache size   247894, 3172939 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size      309, 3172939 req, miss ratio 0.4487, byte miss ratio 0.4487
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size      929, 3172939 req, miss ratio 0.3974, byte miss ratio 0.3974
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size     3098, 3172939 req, miss ratio 0.3154, byte miss ratio 0.3154
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size     9296, 3172939 req, miss ratio 0.2764, byte miss ratio 0.2764
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size    30986, 3172939 req, miss ratio 0.2329, byte miss ratio 0.2329
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size    61973, 3172939 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size   123947, 3172939 req, miss ratio 0.1140, byte miss ratio 0.1140
result/tencentBlock.ns22555.oracleGeneral.zst Cacheus cache size   247894, 3172939 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size      309, 3172939 req, miss ratio 0.4606, byte miss ratio 0.4606
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size      929, 3172939 req, miss ratio 0.4093, byte miss ratio 0.4093
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size     3098, 3172939 req, miss ratio 0.3151, byte miss ratio 0.3151
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size     9296, 3172939 req, miss ratio 0.2767, byte miss ratio 0.2767
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size    30986, 3172939 req, miss ratio 0.2290, byte miss ratio 0.2290
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size    61973, 3172939 req, miss ratio 0.1776, byte miss ratio 0.1776
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size   123947, 3172939 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns22555.oracleGeneral.zst LHD cache size   247894, 3172939 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size      309, 3172939 req, miss ratio 0.4762, byte miss ratio 0.4762
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size      929, 3172939 req, miss ratio 0.4134, byte miss ratio 0.4134
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size     3098, 3172939 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size     9296, 3172939 req, miss ratio 0.2831, byte miss ratio 0.2831
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size    30986, 3172939 req, miss ratio 0.2360, byte miss ratio 0.2360
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size    61973, 3172939 req, miss ratio 0.1860, byte miss ratio 0.1860
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size   123947, 3172939 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns22555.oracleGeneral.zst LRU cache size   247894, 3172939 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size      309, 3172939 req, miss ratio 0.4558, byte miss ratio 0.4558
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size      929, 3172939 req, miss ratio 0.3866, byte miss ratio 0.3866
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size     3098, 3172939 req, miss ratio 0.2932, byte miss ratio 0.2932
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size     9296, 3172939 req, miss ratio 0.2744, byte miss ratio 0.2744
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size    30986, 3172939 req, miss ratio 0.2328, byte miss ratio 0.2328
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size    61973, 3172939 req, miss ratio 0.1860, byte miss ratio 0.1860
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size   123947, 3172939 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns22555.oracleGeneral.zst S3FIFO-1 cache size   247894, 3172939 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size      309, 3172939 req, miss ratio 0.4461, byte miss ratio 0.4461
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size      929, 3172939 req, miss ratio 0.3917, byte miss ratio 0.3917
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size     3098, 3172939 req, miss ratio 0.2967, byte miss ratio 0.2967
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size     9296, 3172939 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size    30986, 3172939 req, miss ratio 0.2332, byte miss ratio 0.2332
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size    61973, 3172939 req, miss ratio 0.1817, byte miss ratio 0.1817
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size   123947, 3172939 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns22555.oracleGeneral.zst ARC cache size   247894, 3172939 req, miss ratio 0.0982, byte miss ratio 0.0982
result/tencentBlock.ns22555.oracleGeneral.zst FIFO cache size      309, 3172939 req, miss ratio 0.5855, byte miss ratio 0.5855
result/tencentBlock.ns22555.oracleGeneral.zst FIFO cache size      929, 3172939 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tencentBlock.ns22555.oracleGeneral.zst FIFO cache size     3098, 3172939 req, miss ratio 0.3724, byte miss ratio 0.3724
result/tencentBlock.ns22555.oracleGeneral.zst FIFO cache size     9296, 3172939 req, miss ratio 0.3128, byte miss ratio 0.3128
