result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size      396, 3357979 req, miss ratio 0.7080, byte miss ratio 0.7080
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size     1190, 3357979 req, miss ratio 0.5324, byte miss ratio 0.5324
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size     3967, 3357979 req, miss ratio 0.4684, byte miss ratio 0.4684
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size    11901, 3357979 req, miss ratio 0.4165, byte miss ratio 0.4165
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size    39670, 3357979 req, miss ratio 0.3528, byte miss ratio 0.3528
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size    79340, 3357979 req, miss ratio 0.3076, byte miss ratio 0.3076
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size   158680, 3357979 req, miss ratio 0.2319, byte miss ratio 0.2319
result/tencentBlock.ns13279.oracleGeneral.zst S3FIFO-1 cache size   317361, 3357979 req, miss ratio 0.1244, byte miss ratio 0.1244
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size      396, 3357979 req, miss ratio 0.7129, byte miss ratio 0.7129
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size     1190, 3357979 req, miss ratio 0.6101, byte miss ratio 0.6101
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size     3967, 3357979 req, miss ratio 0.4802, byte miss ratio 0.4802
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size    11901, 3357979 req, miss ratio 0.4438, byte miss ratio 0.4438
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size    39670, 3357979 req, miss ratio 0.3449, byte miss ratio 0.3449
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size    79340, 3357979 req, miss ratio 0.3168, byte miss ratio 0.3168
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size   158680, 3357979 req, miss ratio 0.2567, byte miss ratio 0.2567
result/tencentBlock.ns13279.oracleGeneral.zst clock2 cache size   317361, 3357979 req, miss ratio 0.1248, byte miss ratio 0.1248
result/tencentBlock.ns13279.oracleGeneral.zst Cacheus cache size      396, 3357979 req, miss ratio 0.6998, byte miss ratio 0.6998
result/tencentBlock.ns13279.oracleGeneral.zst Cacheus cache size     1190, 3357979 req, miss ratio 0.5760, byte miss ratio 0.5760
result/tencentBlock.ns13279.oracleGeneral.zst Cacheus cache size     3967, 3357979 req, miss ratio 0.4698, byte miss ratio 0.4698
result/tencentBlock.ns13279.oracleGeneral.zst Cacheus cache size    11901, 3357979 req, miss ratio 0.4304, byte miss ratio 0.4304
result/tencentBlock.ns13279.oracleGeneral.zst Cacheus cache size    39670, 3357979 req, miss ratio 0.3421, byte miss ratio 0.3421
result/tencentBlock.ns13279.oracleGeneral.zst Cacheus cache size    79340, 3357979 req, miss ratio 0.3136, byte miss ratio 0.3136
