result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size      131, 1469144 req, miss ratio 0.3734, byte miss ratio 0.3734
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size      395, 1469144 req, miss ratio 0.3644, byte miss ratio 0.3644
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size     1316, 1469144 req, miss ratio 0.3612, byte miss ratio 0.3612
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size     3950, 1469144 req, miss ratio 0.3600, byte miss ratio 0.3600
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size    13167, 1469144 req, miss ratio 0.3296, byte miss ratio 0.3296
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size    26335, 1469144 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size    52670, 1469144 req, miss ratio 0.1771, byte miss ratio 0.1771
result/tencentBlock.ns22468.oracleGeneral.zst Cacheus cache size   105340, 1469144 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size      131, 1469144 req, miss ratio 0.3744, byte miss ratio 0.3744
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size      395, 1469144 req, miss ratio 0.3646, byte miss ratio 0.3646
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size     1316, 1469144 req, miss ratio 0.3607, byte miss ratio 0.3607
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size     3950, 1469144 req, miss ratio 0.3602, byte miss ratio 0.3602
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size    13167, 1469144 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size    26335, 1469144 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size    52670, 1469144 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencentBlock.ns22468.oracleGeneral.zst ARC cache size   105340, 1469144 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size      131, 1469144 req, miss ratio 0.4636, byte miss ratio 0.4636
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size      395, 1469144 req, miss ratio 0.3666, byte miss ratio 0.3666
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size     1316, 1469144 req, miss ratio 0.3620, byte miss ratio 0.3620
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size     3950, 1469144 req, miss ratio 0.3601, byte miss ratio 0.3601
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size    13167, 1469144 req, miss ratio 0.3159, byte miss ratio 0.3159
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size    26335, 1469144 req, miss ratio 0.2551, byte miss ratio 0.2551
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size    52670, 1469144 req, miss ratio 0.1638, byte miss ratio 0.1638
result/tencentBlock.ns22468.oracleGeneral.zst LHD cache size   105340, 1469144 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size      131, 1469144 req, miss ratio 0.3802, byte miss ratio 0.3802
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size      395, 1469144 req, miss ratio 0.3665, byte miss ratio 0.3665
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size     1316, 1469144 req, miss ratio 0.3623, byte miss ratio 0.3623
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size     3950, 1469144 req, miss ratio 0.3603, byte miss ratio 0.3603
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size    13167, 1469144 req, miss ratio 0.3576, byte miss ratio 0.3576
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size    26335, 1469144 req, miss ratio 0.2882, byte miss ratio 0.2882
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size    52670, 1469144 req, miss ratio 0.1855, byte miss ratio 0.1855
result/tencentBlock.ns22468.oracleGeneral.zst Clock cache size   105340, 1469144 req, miss ratio 0.1014, byte miss ratio 0.1014
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size      131, 1469144 req, miss ratio 0.3814, byte miss ratio 0.3814
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size      395, 1469144 req, miss ratio 0.3668, byte miss ratio 0.3668
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size     1316, 1469144 req, miss ratio 0.3623, byte miss ratio 0.3623
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size     3950, 1469144 req, miss ratio 0.3605, byte miss ratio 0.3605
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size    13167, 1469144 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size    26335, 1469144 req, miss ratio 0.2976, byte miss ratio 0.2976
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size    52670, 1469144 req, miss ratio 0.2055, byte miss ratio 0.2055
result/tencentBlock.ns22468.oracleGeneral.zst clock2 cache size   105340, 1469144 req, miss ratio 0.1036, byte miss ratio 0.1036
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size      131, 1469144 req, miss ratio 0.3783, byte miss ratio 0.3783
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size      395, 1469144 req, miss ratio 0.3662, byte miss ratio 0.3662
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size     1316, 1469144 req, miss ratio 0.3623, byte miss ratio 0.3623
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size     3950, 1469144 req, miss ratio 0.3602, byte miss ratio 0.3602
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size    13167, 1469144 req, miss ratio 0.3093, byte miss ratio 0.3093
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size    26335, 1469144 req, miss ratio 0.2629, byte miss ratio 0.2629
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size    52670, 1469144 req, miss ratio 0.1653, byte miss ratio 0.1653
result/tencentBlock.ns22468.oracleGeneral.zst LRU cache size   105340, 1469144 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns22468.oracleGeneral.zst LIRS cache size      131, 1469144 req, miss ratio 0.4728, byte miss ratio 0.4728
result/tencentBlock.ns22468.oracleGeneral.zst LIRS cache size      395, 1469144 req, miss ratio 0.4484, byte miss ratio 0.4484
result/tencentBlock.ns22468.oracleGeneral.zst LIRS cache size     1316, 1469144 req, miss ratio 0.3632, byte miss ratio 0.3632
result/tencentBlock.ns22468.oracleGeneral.zst LIRS cache size     3950, 1469144 req, miss ratio 0.3608, byte miss ratio 0.3608
result/tencentBlock.ns22468.oracleGeneral.zst LIRS cache size    13167, 1469144 req, miss ratio 0.3178, byte miss ratio 0.3178
